cleanDynamic,TOPI,2.791986415450573,strict >,0.6706586826347305,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_TOPI_original,2.531660717784112,strict >,1.0,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,IQ_LOW_ONLY,-0.29295328489993194,strict >,0.8862275449101796,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,IQ_OOD_ONLY,4.2176677782541,strict >,0.9880239520958084,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_TOPI_clamped,1.8831415464256387,strict >,0.718562874251497,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_B0_clamped,1.4292544529575595,strict >,0.6766467065868264,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
DS3,IQ_LOW_ONLY,-0.29295328489993194,strict >,0.0,,0.02256779000259898,,0.7174118182027285,,0.4881716895058314,,0.0,,,censored: no 3-consecutive 0.5s alarm,0.0,
DS3,IQ_OOD_ONLY,4.2176677782541,strict >,1.0,,0.5,,0.8803945745992602,,0.5,,1.0,,2.712935959999996,,1.0,
DS3,NC_TOPI_clamped,1.8831415464256387,strict >,0.0,,0.9865719483669756,,0.9982744255857098,,0.977645829677364,,0.9495798319327731,,21.212935959999996,,1.0,
DS3,NC_B0_clamped,1.4292544529575595,strict >,0.0,,0.9826734817638396,,0.997802575733842,,0.9779420094762727,,0.9509803921568627,,21.212935959999996,,1.0,
DS3,NC_total_clamped,1.7276689232262399,strict >,0.0,,0.9851425106124924,,0.9980777914386372,,0.9780086499310272,,0.9481792717086834,,21.212935959999996,,1.0,
DS7,B0,0.1077117757998523,strict >,0.0,,0.9126008091525333,,0.9708180568622147,,0.8591368352641562,,0.6614420062695925,,18.123601440000016,,0.8158995815899581,
DS7,TOPI,2.791986415450573,strict >,0.008547008547008548,,0.9260509605337192,,0.9745271885004794,,0.8422090729783037,,0.5705329153605015,,27.623601439999987,,0.7280334728033473,
DS7,NC_TOPI_original,2.531660717784112,strict >,0.0,,0.981459153872947,,0.994329994049002,,0.972973288623156,,0.8871473354231975,,15.623601440000002,,0.9539748953974896,
DS7,IQ_LOW_ONLY,-0.29295328489993194,strict >,0.008547008547008548,,0.01835329421536318,,0.5202337523393149,,0.48717948717948717,,0.0,,,censored: no 3-consecutive 0.5s alarm,0.0,
DS7,IQ_OOD_ONLY,4.2176677782541,strict >,0.0,,0.8256972912145325,,0.9409449744000169,,0.7725194542170669,,0.45454545454545453,,17.12360144,,0.4560669456066946,
DS7,NC_TOPI_clamped,1.8831415464256387,strict >,0.017094017094017096,,0.9009457974975216,,0.9658561444590402,,0.8171334510857058,,0.5705329153605015,,27.623601439999987,,0.7322175732217573,
DS7,NC_B0_clamped,1.4292544529575595,strict >,0.0,,0.9080459770114943,,0.9692059664655894,,0.8505080733197443,,0.6426332288401254,,18.123601440000016,,0.803347280334728,
DS7,NC_total_clamped,1.7276689232262399,strict >,0.017094017094017096,,0.9134849824504998,,0.9685876499473958,,0.8126267091784334,,0.6175548589341693,,69.12360143999999,,0.7949790794979079,
DS8,B0,0.1077117757998523,strict >,0.008547008547008548,,0.9713949003642597,,0.9956082729356794,,0.9466765804884509,,0.8649025069637883,,18.18254872,,0.9467084639498433,
DS8,TOPI,2.791986415450573,strict >,0.0,,0.9714306120991356,,0.9956010360873634,,0.946102750902408,,0.8189415041782729,,77.68254872,,0.9106583072100314,
DS8,NC_TOPI_original,2.531660717784112,strict >,0.0,,0.9901911768207031,,0.9985632704267302,,0.9910629094258836,,0.9693593314763231,,14.68254872,,1.0,
DS8,IQ_LOW_ONLY,-0.29295328489993194,strict >,0.008547008547008548,,0.004630621622265076,,0.6805933720400044,,0.48717948717948717,,0.0,,,censored: no 3-consecutive 0.5s alarm,0.0,
DS8,IQ_OOD_ONLY,4.2176677782541,strict >,0.0,,0.982513153822346,,0.9974031446491799,,0.9858801294413037,,0.9651810584958217,,12.18254872,,0.9905956112852664,
DS8,NC_TOPI_clamped,1.8831415464256387,strict >,0.0,,0.9618360593290957,,0.9941106410989986,,0.9334723954393978,,0.8175487465181058,,77.68254872,,0.9090909090909091,
DS8,NC_B0_clamped,1.4292544529575595,strict >,0.008547008547008548,,0.9648358450586862,,0.9945488342789683,,0.9376967579238846,,0.8426183844011143,,18.18254872,,0.9294670846394985,
DS8,NC_total_clamped,1.7276689232262399,strict >,0.0,,0.9667999904768707,,0.9947371380544414,,0.933686055391648,,0.8356545961002786,,68.68254872,,0.9278996865203761,
