namespace,scenario,phase,event_count,predicted_scale_q1,predicted_scale_median,predicted_scale_q99,lower_clamp_hit_ratio,upper_clamp_hit_ratio,iq_only_auc,topi_vs_iq_pearson_correlation,original_nc_iq_low_alarm_overlap,clamp_preserved_direction_ratio,scale_below_clean_q1_highlight
time_shuffle,cleanStatic,normal_train,586,1.2670862567865988,1.3874971577540918,1.4691780675831947,0.11262798634812286,0.0,,0.04167667073886862,,1.0,False
time_shuffle,cleanStatic,normal_calibration,157,1.3404520605374715,1.4331472114345194,1.5227287962852663,0.006369426751592357,0.006369426751592357,,-0.14386930072669674,0.0,1.0,False
time_shuffle,cleanStatic,normal_holdout,118,1.3333784372302657,1.4024915016190338,1.4612439792214178,0.03389830508474576,0.0,,0.06880212020784782,,1.0,False
time_shuffle,cleanDynamic,normal_holdout,167,0.8707856788331394,1.1086323256656014,4.486424418588357,0.8862275449101796,0.10778443113772455,,-0.030167699119209638,0.8862275449101796,1.0,False
time_shuffle,DS1,stable_pre,97,900.9418244395192,1002.3780924629034,1062.8079527217553,0.0,1.0,0.014055507099246465,-0.08325950360066087,,1.0,False
time_shuffle,DS1,post,721,1006.1456960937903,4644254.374428048,6016552.808586901,0.0,1.0,0.014055507099246465,-0.849450567170627,0.0,1.0,False
time_shuffle,DS1,persistent,641,3870602.0496606175,4686606.924788995,6017627.004549517,0.0,1.0,0.014055507099246465,0.056582397453113484,0.0,1.0,False
time_shuffle,DS2,stable_pre,97,1165.9029000904452,1273.6735002060177,1373.1426989449415,0.0,1.0,0.008919263292018996,-0.03428108681478669,,1.0,False
time_shuffle,DS2,post,712,1287.127545472006,21254.88871427114,22490.394553825772,0.0,1.0,0.008919263292018996,-0.6715382027759643,0.0,1.0,False
time_shuffle,DS2,persistent,632,19425.225430350038,21402.318398912284,22536.86436765669,0.0,1.0,0.008919263292018996,0.03295359867673989,0.0,1.0,False
time_shuffle,DS3,stable_pre,97,1139.5672521666447,1212.104056730237,1312.7833281037506,0.0,1.0,0.02256779000259898,-0.06584490312590278,,1.0,False
time_shuffle,DS3,post,714,1197.8425771820594,3844.3035862179922,4227.240878912624,0.0,1.0,0.02256779000259898,-0.09898889890846309,0.0,1.0,False
time_shuffle,DS3,persistent,634,3429.201237992546,3861.7683484191575,4233.583153106422,0.0,1.0,0.02256779000259898,0.09897979045775177,0.0,1.0,False
time_shuffle,DS7,stable_pre,117,1.344424068445274,1.378302283875061,1.4489723682795925,0.008547008547008548,0.0,0.01835329421536318,0.11706868391741541,,1.0,False
time_shuffle,DS7,post,319,1.387688795477196,1.5276316033422421,1.751466736854303,0.0,0.5141065830721003,0.01835329421536318,-0.6990540975320523,0.0,1.0,False
time_shuffle,DS7,persistent,239,1.4107793968280242,1.5250361275369362,1.7522001174524586,0.0,0.5062761506276151,0.01835329421536318,-0.8288003176911876,0.0,1.0,False
time_shuffle,DS8,stable_pre,117,1.344424068445274,1.378302283875061,1.4489723682795925,0.008547008547008548,0.0,0.004630621622265076,-0.07819764011394323,,1.0,False
time_shuffle,DS8,post,718,1.4057049990009194,1.9576498830997222,2.3118301106449826,0.0,0.9721448467966574,0.004630621622265076,-0.17246683537007368,0.0,1.0,False
time_shuffle,DS8,persistent,638,1.571609285250165,1.9806596476510956,2.313242615169946,0.0,0.9968652037617555,0.004630621622265076,0.007807510685677578,0.0,1.0,False
