scope,metric,estimate,ci_lower,ci_upper,unit
oakbat_os3,attack_detection_rate,0.016666666666666666,0.0,0.05000000000000001,10s_block
oakbat_os4,attack_detection_rate,0.06666666666666667,0.016666666666666666,0.11666666666666668,10s_block
texbat_ds1,attack_detection_rate,0.04918032786885246,0.0,0.0923076923076923,10s_block
texbat_ds3,attack_detection_rate,0.4827586206896552,0.3128205128205129,0.6358974358974359,10s_block
texbat_ds7,attack_detection_rate,0.22784810126582278,0.1125,0.375,10s_block
texbat_ds8,attack_detection_rate,0.0125,0.0,0.037500000000000006,10s_block
oakbat_os3,temporal_desynchronization_1_10s,0.27006278334772177,-3.407419544274515,3.998408220478109,10s_block
oakbat_os3,cross_prn_time_block_reassignment,-2.4539976489561766,-8.829270938421597,3.8992833025042524,10s_block
oakbat_os3,phase_norm_psd_surrogate,8.068466292511026,5.22011145381751,11.04322817088347,10s_block
oakbat_os4,temporal_desynchronization_1_10s,0.408467189459393,-3.7741485031891906,4.933472053708859,10s_block
oakbat_os4,cross_prn_time_block_reassignment,5.935964931982782,-0.048124999853326515,12.842646312325417,10s_block
oakbat_os4,phase_norm_psd_surrogate,11.7214527293671,7.0294823716724855,16.96719141751252,10s_block
texbat_ds1,temporal_desynchronization_1_10s,4.271674336849671,-6.008797294369248,18.765457502177245,10s_block
texbat_ds1,cross_prn_time_block_reassignment,8.621723604539646,-0.9035308233930549,23.648832352938754,10s_block
texbat_ds1,phase_norm_psd_surrogate,12.216008499146664,4.044742058601905,25.89964982270251,10s_block
texbat_ds3,temporal_desynchronization_1_10s,56.250938526471224,33.97078856609276,80.01379734102575,10s_block
texbat_ds3,cross_prn_time_block_reassignment,54.37634082531583,31.93349619456317,79.90044622108768,10s_block
texbat_ds3,phase_norm_psd_surrogate,59.411174775061504,37.42337712834627,83.56135202364817,10s_block
texbat_ds7,temporal_desynchronization_1_10s,29.567427687002684,8.178019465098494,61.30408492779255,10s_block
texbat_ds7,cross_prn_time_block_reassignment,33.511844218865626,10.563187211293954,67.89262044928522,10s_block
texbat_ds7,phase_norm_psd_surrogate,38.4628024997222,15.10409790565517,71.38701085840307,10s_block
texbat_ds8,temporal_desynchronization_1_10s,2.1516061839138123,0.18853953251402544,3.930398866777787,10s_block
texbat_ds8,cross_prn_time_block_reassignment,1.3832001592802943,-0.8888744540680252,3.7506360667550687,10s_block
texbat_ds8,phase_norm_psd_surrogate,4.801030447803312,3.3177742153817533,6.488748213374148,10s_block
