scope,method,pauc_0_05,attack_detection_rate
OAK_OS3_OS4,Full,0.48717948717948717,0.041666666666666664
OAK_OS3_OS4,A0,0.7948717948717948,0.5083333333333333
OAK_OS3_OS4,A1,0.5,0.0
OAK_OS3_OS4,A2,0.49572649572649574,0.008333333333333333
OAK_OS3_OS4,A3,0.5170940170940171,0.03333333333333333
OAK_OS3_OS4,A4,0.49572649572649574,0.008333333333333333
TEX_DS1,Full,0.537620849096259,0.04918032786885246
TEX_DS1,A0,0.48717948717948717,0.0
TEX_DS1,A1,0.5039932744850778,0.04918032786885246
TEX_DS1,A2,0.6132828919714165,0.18032786885245902
TEX_DS1,A3,0.5460277427490542,0.04918032786885246
TEX_DS1,A4,0.6132828919714165,0.18032786885245902
TEX_DS3,Full,0.7966401414677277,0.4827586206896552
TEX_DS3,A0,1.0,0.5517241379310345
TEX_DS3,A1,0.9292661361626879,0.8793103448275862
TEX_DS3,A2,0.5755968169761273,0.15517241379310345
TEX_DS3,A3,0.9734748010610079,0.8620689655172413
TEX_DS3,A4,0.5755968169761273,0.15517241379310345
TEX_DS7_DS8,Full,0.5452346395742622,0.11949685534591195
TEX_DS7_DS8,A0,0.790356394129979,0.5157232704402516
TEX_DS7_DS8,A1,0.7484276729559749,0.25157232704402516
TEX_DS7_DS8,A2,0.5613610707950331,0.0440251572327044
TEX_DS7_DS8,A3,0.7548782454442832,0.1949685534591195
TEX_DS7_DS8,A4,0.5613610707950331,0.0440251572327044
