window_mid_s,score_mean,score_soft_quorum_gate,score_quorum_offset_gate,prn_count,soft_high_fraction
0.5,1.9441842277243777,3.8883684554487554,5.388368455448756,8,0.5
1.0,1.4765008788231573,2.9530017576463146,4.453001757646314,8,0.5
1.5,1.0138150360023235,1.4643994964478007,2.1310661631144674,9,0.2222222222222222
2.0,0.9709296849949488,1.618216141658248,2.618216141658248,9,0.3333333333333333
2.5,0.9897502090940026,1.6495836818233376,2.6495836818233376,9,0.3333333333333333
3.0,0.9908942213227038,1.6514903688711728,2.6514903688711726,9,0.3333333333333333
3.5,1.1049485341181042,2.2098970682362085,3.7098970682362085,10,0.5
4.0,1.0957082294438438,2.1914164588876877,3.6914164588876877,10,0.5
4.5,1.0404085391332263,1.8727353704398073,3.0727353704398075,10,0.4
5.0,0.9788930426014808,1.5662288681623693,2.466228868162369,10,0.3
5.5,0.9273060934002817,1.2982285307603942,1.8982285307603943,10,0.2
6.0,0.9231043174701755,1.2923460444582457,1.8923460444582458,10,0.2
6.5,0.9571525405688007,1.340013556796321,1.940013556796321,10,0.2
7.0,0.9426058956341107,1.319648253887755,1.919648253887755,10,0.2
7.5,0.8946599253909614,1.252523895547346,1.852523895547346,10,0.2
8.0,0.8976678813137948,1.2567350338393126,1.8567350338393127,10,0.2
8.5,0.9208924491311272,1.289249428783578,1.8892494287835782,10,0.2
9.0,0.909012210599545,1.272617094839363,1.872617094839363,10,0.2
9.5,0.9045744474244175,1.2664042263941844,1.8664042263941845,10,0.2
10.0,0.909186005854729,1.4546976093675665,2.3546976093675664,10,0.3
10.5,0.9393084749906391,1.6907552549831504,2.8907552549831506,10,0.4
11.0,0.9523028882348342,1.5236846211757349,2.4236846211757346,10,0.3
11.5,0.9040812343002582,1.2657137280203614,1.8657137280203615,10,0.2
12.0,0.9194581331957901,1.4711330131132643,2.371133013113264,10,0.3
12.5,1.005814869129955,1.6093037906079282,2.509303790607928,10,0.3
13.0,1.0575930914703544,1.6921489463525672,2.592148946352567,10,0.3
13.5,1.0458823966731836,1.464235355342457,2.064235355342457,10,0.2
14.0,1.1865414122709566,2.135774542087722,3.335774542087722,10,0.4
14.5,1.112555018246599,2.225110036493198,3.725110036493198,10,0.5
15.0,0.9767713925927529,1.367479949629854,1.967479949629854,10,0.2
15.5,0.9203904178595106,1.2885465850033146,1.8885465850033147,10,0.2
16.0,0.9572831248734739,1.3401963748228634,1.9401963748228634,10,0.2
16.5,1.0403436921304103,1.6645499074086567,2.5645499074086566,10,0.3
17.0,1.1309081988088607,1.583271478332405,2.183271478332405,10,0.2
17.5,1.0778374518836789,1.7245399230138863,2.624539923013886,10,0.3
18.0,1.0821463939277811,1.947863509070006,3.1478635090700062,10,0.4
18.5,1.2493766568675433,2.7486286451085955,4.548628645108595,10,0.6
19.0,1.3254155796813498,2.9159142752989697,4.715914275298969,10,0.6
19.5,1.1368427130789163,2.0463168835420493,3.2463168835420495,10,0.4
20.0,1.0748636938233762,1.7197819101174021,2.619781910117402,10,0.3
20.5,1.3084028470284825,2.3551251246512686,3.5551251246512687,10,0.4
21.0,1.1271802423932027,2.2543604847864054,3.7543604847864054,10,0.5
21.5,1.0900335345048506,1.744053655207761,2.644053655207761,10,0.3
22.0,1.0370439130108844,1.4518614782152381,2.0518614782152382,10,0.2
22.5,1.0457378436536509,1.8823281185765717,3.082328118576572,10,0.4
23.0,1.0012563743398841,1.8022614738117915,3.0022614738117914,10,0.4
23.5,1.0481124382431906,1.886602388837743,3.0866023888377434,10,0.4
24.0,1.0745649006128979,1.7193038409806367,2.6193038409806366,10,0.3
24.5,1.035352752684376,1.863634954831877,3.063634954831877,10,0.4
25.0,1.1456770440647435,2.0622186793165382,3.2622186793165384,10,0.4
25.5,1.0697362745563344,1.9255252942014018,3.125525294201402,10,0.4
26.0,1.157187280168246,2.0829371043028426,3.282937104302843,10,0.4
26.5,1.18516638403433,2.37033276806866,3.87033276806866,10,0.5
27.0,1.1063421080044216,2.212684216008843,3.712684216008843,10,0.5
27.5,0.9002399876173331,1.4403839801877332,2.340383980187733,10,0.3
28.0,1.1235124044242795,1.7976198470788471,2.697619847078847,10,0.3
28.5,1.1078053388203755,1.9940496098766758,3.194049609876676,10,0.4
29.0,1.069646672468949,1.9253640104441083,3.1253640104441085,10,0.4
29.5,1.1152164426866646,1.7843463082986635,2.6843463082986636,10,0.3
30.0,1.1849999376969687,2.1329998878545435,3.3329998878545437,10,0.4
30.5,1.1778451561378929,2.5912593435033644,4.391259343503364,10,0.6
31.0,1.1104136570378715,1.998744582668169,3.1987445826681693,10,0.4
31.5,1.3771573270520503,2.7543146541041006,4.254314654104101,10,0.5
32.0,1.3832213305357532,2.489798394964356,3.689798394964356,10,0.4
32.5,1.2549905856563477,2.0079849370501566,2.9079849370501565,10,0.3
33.0,1.1473434107525429,2.0652181393545774,3.2652181393545776,10,0.4
33.5,1.1641404897034047,2.0954528814661284,3.2954528814661286,10,0.4
34.0,1.130013002392505,2.26002600478501,3.76002600478501,10,0.5
34.5,1.15878409010661,2.31756818021322,3.81756818021322,10,0.5
35.0,1.1913956341103618,2.3827912682207235,3.8827912682207235,10,0.5
35.5,0.9464964525843312,1.51439432413493,2.41439432413493,10,0.3
36.0,0.9221461000513184,1.2910045400718457,1.8910045400718458,10,0.2
36.5,1.2677945663834764,2.2820302194902577,3.482030219490258,10,0.4
37.0,1.3050122878660164,2.3490221181588296,3.5490221181588297,10,0.4
37.5,1.1087791507867246,1.9958024714161045,3.195802471416105,10,0.4
38.0,1.1166041043126098,2.2332082086252196,3.7332082086252196,10,0.5
38.5,1.2564758968600178,2.2616566143480323,3.4616566143480325,10,0.4
39.0,1.0203279474270135,1.8365903053686243,3.0365903053686245,10,0.4
39.5,1.0990671669337786,2.198134333867557,3.698134333867557,10,0.5
40.0,1.1740184838623895,2.113233270952301,3.3132332709523014,10,0.4
40.5,1.2230485480514888,2.20148738649268,3.40148738649268,10,0.4
41.0,1.27639194018487,2.2975054923327662,3.4975054923327664,10,0.4
41.5,1.4096406547579996,2.819281309515999,4.319281309515999,10,0.5
42.0,1.2610519739822865,2.7743143427610306,4.57431434276103,10,0.6
42.5,1.12430294807749,2.023745306539482,3.2237453065394823,10,0.4
43.0,1.0884608773678202,1.9592295792620764,3.1592295792620764,10,0.4
43.5,1.0458194415000872,1.8824749947001571,3.0824749947001573,10,0.4
44.0,1.10685178004058,1.770962848064928,2.670962848064928,10,0.3
44.5,1.0024412357456638,1.6039059771930622,2.503905977193062,10,0.3
45.0,1.0166610008949266,1.6266576014318828,2.5266576014318827,10,0.3
