window_mid_s,score_mean,score_q75,score_q75_quorum,prn_count,high_fraction
0.5,1.7827254193131319,1.9880319382690415,4.974567868821713,8,0.375
1.0,1.3776721634680638,1.8407879758224963,2.7810834667559323,8,0.125
1.5,0.9587431915337865,1.1286762394897718,1.727123874875251,9,0.1111111111111111
2.0,0.8665175155233074,1.2576650225146992,1.2576650225146992,9,0.0
2.5,0.8531030107809483,0.9642229462629065,1.507852817239431,9,0.1111111111111111
3.0,0.7939277406413755,1.0663526638497534,1.6440257740218933,9,0.1111111111111111
3.5,0.9980420887916932,1.357136936722407,1.9642780177391292,10,0.1
4.0,0.9729475617754542,1.412381714336655,2.659810742938648,10,0.2
4.5,0.9435803954954753,1.2873202481982715,2.4597123971172343,10,0.2
5.0,0.9352832539368668,1.2662684769591661,1.2662684769591661,10,0.0
5.5,0.9112851971464995,1.3095239799570275,1.3095239799570275,10,0.0
6.0,0.890551250996916,1.4165216985298161,1.4165216985298161,10,0.0
6.5,0.9237651947057156,1.4823938161988977,2.127111961058567,10,0.1
7.0,0.9203407245431853,1.4683784474577137,2.108891981695028,10,0.1
7.5,0.8819425997425079,1.373632589119352,1.9857223658551575,10,0.1
8.0,0.8536849932318565,1.3177220489321033,1.3177220489321033,10,0.0
8.5,0.8601758281206028,1.3961854401556042,1.3961854401556042,10,0.0
9.0,0.8759052897251095,1.3663155551582022,1.3663155551582022,10,0.0
9.5,0.8378313376413015,1.3254509665291592,1.3254509665291592,10,0.0
10.0,0.8497166483820582,1.3822833976318836,1.3822833976318836,10,0.0
10.5,0.8943035491592829,1.3734029445614164,1.9854238279298413,10,0.1
11.0,0.9024322098731663,1.3260923143265573,1.9239200086245245,10,0.1
11.5,0.9012945149932567,1.3350365767530896,1.9355475497790164,10,0.1
12.0,0.9109270690149647,1.4469284985231026,1.4469284985231026,10,0.0
12.5,1.1096974904304364,1.4810351318924433,2.1253456714601766,10,0.1
13.0,1.1581062215181337,1.4864039370041653,2.132325118105415,10,0.1
13.5,0.9903936203035512,1.53670599747039,2.1977177967115074,10,0.1
14.0,1.0204060769626475,1.3349361089909617,1.9354169416882503,10,0.1
14.5,0.9654961298396207,1.0502854777061084,1.0502854777061084,10,0.0
15.0,0.985465915853263,1.036142506392708,2.057828010228333,10,0.2
15.5,0.9929118294942274,1.2711080139178694,2.4337728222685913,10,0.2
16.0,0.9853467680753585,1.391265903624828,2.0086456747122767,10,0.1
16.5,1.053744180080253,1.6746383917418122,1.6746383917418122,10,0.0
