comparison,block_s,replicates,estimate,lower,upper,status
Full_minus_A0,10,2000,,,,NOT_EVALUATED_PHASE_A_BLOCKED
Full_minus_A1,30,2000,,,,NOT_EVALUATED_PHASE_A_BLOCKED
