window_mid_s,score_mean,score_q70,score_mean_tau50_gate,score_q70_tau50_gate,prn_count,low_high_fraction,low_high_fraction_roll3
0.5,1.9441842277243777,1.5773305481930666,6.2494145123798495,5.4239937334344,8,0.625,0.625
1.0,1.4765008788231573,1.9282023562576247,5.197126977352104,6.213455301579655,8,0.625,0.625
1.5,1.0138150360023235,1.1171721485021449,3.8534949840790222,4.073607353291605,9,0.4444444444444444,0.5648148148148148
2.0,0.9709296849949488,1.2743101729550155,3.4647383485546657,4.074308403067022,9,0.4444444444444444,0.5046296296296297
2.5,0.9897502090940026,1.1165856236106957,0.9897502090940026,1.1165856236106957,9,0.3333333333333333,0.4074074074074074
3.0,0.9908942213227038,1.138091512398857,0.9908942213227038,1.138091512398857,9,0.4444444444444444,0.4074074074074074
3.5,1.1049485341181042,1.4828460116502584,1.1049485341181042,1.4828460116502584,10,0.5,0.4259259259259259
4.0,1.0957082294438438,1.5266041881744243,1.0957082294438438,1.5266041881744243,10,0.5,0.48148148148148145
4.5,1.0404085391332263,1.3558524259686435,1.0404085391332263,1.3558524259686435,10,0.4,0.4666666666666666
5.0,0.9788930426014808,1.0714504528860225,0.9788930426014808,1.0714504528860225,10,0.3,0.39999999999999997
5.5,0.9273060934002817,0.9889014691296959,0.9273060934002817,0.9889014691296959,10,0.2,0.3
6.0,0.9231043174701755,0.9938590386795435,0.9231043174701755,0.9938590386795435,10,0.2,0.2333333333333333
6.5,0.9571525405688007,1.0084910136157204,0.9571525405688007,1.0084910136157204,10,0.2,0.2
7.0,0.9426058956341107,1.0182208712193486,0.9426058956341107,1.0182208712193486,10,0.2,0.2
7.5,0.8946599253909614,0.9922133016782859,0.8946599253909614,0.9922133016782859,10,0.2,0.2
8.0,0.8976678813137948,1.0017883944386745,0.8976678813137948,1.0017883944386745,10,0.3,0.2333333333333333
8.5,0.9208924491311272,1.071315849983089,0.9208924491311272,1.071315849983089,10,0.4,0.3
9.0,0.909012210599545,1.0639883298785358,0.909012210599545,1.0639883298785358,10,0.3,0.3333333333333333
9.5,0.9045744474244175,1.1307857263331649,0.9045744474244175,1.1307857263331649,10,0.4,0.3666666666666667
10.0,0.909186005854729,1.1624430453973567,0.909186005854729,1.1624430453973567,10,0.4,0.3666666666666667
10.5,0.9393084749906391,1.1733840208270754,0.9393084749906391,1.1733840208270754,10,0.4,0.4
