run,elapsed_s,state,raw_fd,raw_fd_position,max_raw_fd_position,dump_count,dump_bytes,rchar,wchar,read_bytes,write_bytes,signal
C0,33.862962,running,27,4500000000,4500000000,10,62337920,4500186264,62415248,0,106496,
C0,34.367816,running,27,4500000000,4500000000,10,62337920,4500186264,62415248,0,106496,SIGINT
C1,9e-06,running,,,,0,0,1748,0,0,0,
C1,0.502542,running,,,,6,0,145983,43656,0,57344,
C1,1.005752,running,,,,10,0,182899,73232,0,94208,
C1,1.51029,running,27,16138240,16138240,10,0,16574358,73232,0,94208,
C1,2.013121,running,27,54681600,54681600,10,0,54867862,73232,0,94208,
C1,2.515775,running,27,92504064,92504064,10,0,92690326,73232,0,94208,
C1,3.018197,running,27,162660352,162660352,10,0,163190678,73232,0,94208,
C1,3.521191,running,27,317136896,317136896,10,0,317835158,73232,0,94208,
C1,4.024043,running,27,471986176,471986176,10,0,472524694,73232,0,94208,
C1,4.527186,running,27,614957056,614957056,10,0,615143318,73232,0,94208,
C1,5.03044,running,27,748347392,748347392,10,0,748791702,73232,0,94208,
C1,5.533007,running,27,892567552,892567552,10,0,893208470,73232,0,94208,
C1,6.035645,running,27,1040142336,1040142336,10,0,1040836502,73232,0,94208,
C1,6.538701,running,27,1185816576,1185816576,10,0,1186457494,73232,0,94208,
C1,7.041804,running,27,1332162560,1332162560,10,0,1332754326,73232,0,94208,
C1,7.546673,running,27,1472692224,1472692224,10,0,1473140630,73232,0,94208,
C1,8.048761,running,27,1600516096,1600516096,10,0,1600894870,73232,0,94208,
C1,8.551717,running,27,1660592128,1660592128,10,0,1660974998,73232,0,94208,
C1,9.054698,running,27,1711403008,1711403008,10,0,1711720342,73232,0,94208,
C1,9.557716,running,27,1781219328,1781219328,10,0,1781843862,73232,0,94208,
C1,10.06049,running,27,1909424128,1909424128,10,0,1910126486,73232,0,94208,
C1,10.566595,running,27,2047815680,2047815680,10,0,2048415638,73232,0,94208,
C1,11.069303,running,27,2189918208,2189918208,10,0,2190366614,73232,0,94208,
C1,11.571701,running,27,2326749184,2326749184,10,0,2327193494,73232,0,94208,
