scenario,phase,time_s,channel,prn,step,index,delay_chips,doppler_hz,actual_real,actual_imag,mu_real,mu_imag,var_real,var_imag,innovation_real,innovation_imag,sequential_surprise,pre_observation
ds3,strict_pre,100.02430976,0,23,1,93,0.0,0.0,1.0,2.235546595291938e-18,0.06959429383277893,0.05631835386157036,0.6989383101463318,0.572509765625,0.9304057061672211,-0.05631835386157036,0.3281499601042579,True
ds3,strict_pre,100.02430976,0,23,2,16,1.0,-250.0,0.03490116819739342,-0.016530664637684822,0.42893490195274353,0.3450300693511963,0.05482688173651695,0.010014639236032963,-0.3940337337553501,-0.3615607339888811,8.37809450923648,True
ds3,strict_pre,100.02430976,0,23,3,33,1.0,-200.0,0.04200856015086174,-0.031778767704963684,0.42605942487716675,0.2864372730255127,0.0699320062994957,0.014972202479839325,-0.384050864726305,-0.3182160407304764,2.0106262050679966,True
ds3,strict_pre,100.02430976,0,23,4,15,0.875,-250.0,0.11461783945560455,0.05787565931677818,0.4179781973361969,0.34872758388519287,0.0760752409696579,0.017597230151295662,-0.30336035788059235,-0.2908519245684147,-0.5990736401935646,True
ds3,strict_pre,100.02430976,0,23,5,50,1.0,-150.0,0.03900601342320442,-0.034919917583465576,0.42370566725730896,0.22501516342163086,0.07866812497377396,0.018063023686408997,-0.38469965383410454,-0.25993508100509644,-0.9345796110477282,True
ds3,strict_pre,100.02430976,0,23,6,32,0.875,-200.0,0.11573861539363861,0.04519719257950783,0.41758713126182556,0.28623902797698975,0.08103352785110474,0.019347738474607468,-0.30184851586818695,-0.24104183539748192,-2.3306958771609443,True
ds3,strict_pre,100.02430976,0,23,7,67,1.0,-100.0,0.03785274550318718,-0.03696318715810776,0.4231899678707123,0.16172537207603455,0.08289561420679092,0.01949019357562065,-0.3853372223675251,-0.1986885592341423,-2.6113032113470185,True
ds3,strict_pre,100.02430976,0,23,8,14,0.75,-250.0,0.1869819015264511,0.1414443850517273,0.4115009605884552,0.34670716524124146,0.08318226784467697,0.02058282680809498,-0.2245190590620041,-0.20526278018951416,-3.717026249455359,True
ds3,strict_pre,100.02430976,0,23,9,84,1.0,-50.0,0.035435330122709274,-0.03186002001166344,0.4243406653404236,0.09845485538244247,0.08438505977392197,0.019826378673315048,-0.3889053352177143,-0.1303148753941059,-3.74422536705609,True
ds3,strict_pre,100.02430976,0,23,10,49,0.875,-150.0,0.13204778730869293,0.02850922755897045,0.41759905219078064,0.2217903584241867,0.08479881286621094,0.020624691620469093,-0.2855512648820877,-0.19328113086521626,-3.575871196742731,True
ds3,strict_pre,100.02430976,0,23,11,101,1.0,0.0,0.02741609886288643,-0.029707197099924088,0.4247850477695465,0.03448307141661644,0.08652669191360474,0.020408807322382927,-0.3973689489066601,-0.06419026851654053,-4.3123040647110304,True
ds3,strict_pre,100.02430976,0,23,12,31,0.75,-200.0,0.20920470356941223,0.11511565744876862,0.4125598967075348,0.28196996450424194,0.08552496880292892,0.021300453692674637,-0.20335519313812256,-0.16685430705547333,-4.517419029720544,True
ds3,strict_pre,100.02430976,0,23,13,66,0.875,-100.0,0.14504960179328918,0.011752098798751831,0.41899409890174866,0.1580311506986618,0.08603914827108383,0.020867230370640755,-0.2739444971084595,-0.14627905189990997,-4.424887302681958,True
ds3,strict_pre,100.02430976,0,23,14,118,1.0,50.0,0.021884173154830933,-0.03084738925099373,0.42573824524879456,-0.029653046280145645,0.08780656009912491,0.020632166415452957,-0.4038540720939636,-0.0011943429708480835,-4.455983467688135,True
ds3,strict_pre,100.02430976,0,23,15,13,0.625,-250.0,0.274905800819397,0.22969669103622437,0.40791651606559753,0.34198611974716187,0.08546066284179688,0.021644173189997673,-0.13301071524620056,-0.1122894287109375,-5.503145716418682,True
ds3,strict_pre,100.02430976,0,23,16,135,1.0,100.0,0.012365637347102165,-0.030825940892100334,0.4275236427783966,-0.09361916035413742,0.08789777755737305,0.020374367013573647,-0.41515800543129444,0.06279321946203709,-4.170660925550564,True
ds3,strict_pre,100.0101998,2,3,1,93,0.0,0.0,1.0,-1.5889881486792545e-17,0.06959429383277893,0.05631835386157036,0.6989383101463318,0.572509765625,0.9304057061672211,-0.05631835386157037,0.3281499601042579,True
ds3,strict_pre,100.0101998,2,3,2,16,1.0,-250.0,-0.01795162819325924,0.03066396526992321,0.42893490195274353,0.3450300693511963,0.05482688173651695,0.010014639236032963,-0.44688653014600277,-0.3143661040812731,6.003388182572099,True
ds3,strict_pre,100.0101998,2,3,3,33,1.0,-200.0,-0.003326879581436515,0.021716903895139694,0.4256599247455597,0.28596317768096924,0.0707530826330185,0.015264793299138546,-0.4289868043269962,-0.26424627378582954,0.34457049692274655,True
ds3,strict_pre,100.0101998,2,3,4,15,0.875,-250.0,0.08028564602136612,0.08604542911052704,0.41744306683540344,0.34804314374923706,0.0771140530705452,0.017993606626987457,-0.3371574208140373,-0.26199771463871,-1.2912478992118954,True
ds3,strict_pre,100.0101998,2,3,5,50,1.0,-150.0,0.011300351470708847,-0.0006474265246652067,0.4230511784553528,0.22442516684532166,0.07980324327945709,0.018495779484510422,-0.41175082698464394,-0.22507259336998686,-1.6550672998573717,True
ds3,strict_pre,100.0101998,2,3,6,32,0.875,-200.0,0.09314282238483429,0.07218940556049347,0.4169448912143707,0.2856147587299347,0.08214059472084045,0.01978437602519989,-0.32380206882953644,-0.21342535316944122,-2.8434019221707247,True
ds3,strict_pre,100.0101998,2,3,7,67,1.0,-100.0,0.014966519549489021,-0.006483460310846567,0.42253562808036804,0.16122007369995117,0.08396698534488678,0.0199073888361454,-0.407569108530879,-0.16770353401079774,-3.0029223482592116,True
ds3,strict_pre,100.0101998,2,3,8,14,0.75,-250.0,0.17267769575119019,0.15902134776115417,0.41091188788414,0.34607094526290894,0.0841982439160347,0.020995590835809708,-0.23823419213294983,-0.18704959750175476,-3.9975301176878855,True
ds3,strict_pre,100.0101998,2,3,9,84,1.0,-50.0,0.014529531821608543,-0.006819872185587883,0.4237358272075653,0.0980399027466774,0.08535147458314896,0.020202109590172768,-0.40920629538595676,-0.10485977493226528,-3.8567819616286494,True
ds3,strict_pre,100.0101998,2,3,10,49,0.875,-150.0,0.12309890240430832,0.03916973993182182,0.4170294404029846,0.22129696607589722,0.08573859930038452,0.021001121029257774,-0.2939305379986763,-0.1821272261440754,-3.732518817989,True
ds3,strict_pre,100.0101998,2,3,11,101,1.0,0.0,0.017954980954527855,-0.007101391442120075,0.42419999837875366,0.03416883572936058,0.08742724359035492,0.020760582759976387,-0.4062450174242258,-0.041270227171480656,-4.341921743825792,True
ds3,strict_pre,100.0101998,2,3,12,31,0.75,-200.0,0.2007630169391632,0.12507550418376923,0.41208043694496155,0.2814871668815613,0.08633638918399811,0.02163132280111313,-0.21131742000579834,-0.15641166269779205,-4.634914934699891,True
ds3,strict_pre,100.0101998,2,3,13,66,0.875,-100.0,0.13478676974773407,0.022923782467842102,0.4185190796852112,0.15764959156513214,0.08681441843509674,0.021176394075155258,-0.2837323099374771,-0.13472580909729004,-4.514403625878428,True
ds3,strict_pre,100.0101998,2,3,14,118,1.0,50.0,-0.003593685571104288,-0.007242400664836168,0.4252351224422455,-0.029890868812799454,0.08857240527868271,0.02092980593442917,-0.42882880801334977,0.022648468147963285,-4.189806299802508,True
ds3,strict_pre,100.0101998,2,3,15,13,0.625,-250.0,0.24381719529628754,0.2520783841609955,0.4074697494506836,0.3415239453315735,0.08621730655431747,0.0219575222581625,-0.16365255415439606,-0.089445561170578,-5.594531304489581,True
ds3,strict_pre,100.0101998,2,3,16,135,1.0,100.0,-0.011427056044340134,-0.018584977835416794,0.4269539415836334,-0.09378991276025772,0.08873003721237183,0.02069510705769062,-0.43838099762797356,0.07520493492484093,-3.8608517479146065,True
ds3,strict_pre,100.02910524,3,19,1,93,0.0,0.0,1.0,4.349498964027561e-17,0.06959429383277893,0.05631835386157036,0.6989383101463318,0.572509765625,0.9304057061672211,-0.05631835386157032,0.3281499601042579,True
ds3,strict_pre,100.02910524,3,19,2,16,1.0,-250.0,0.015375249087810516,0.022486193105578423,0.42893490195274353,0.3450300693511963,0.05482688173651695,0.010014639236032963,-0.413559652864933,-0.32254387624561787,6.000449464223546,True
ds3,strict_pre,100.02910524,3,19,3,33,1.0,-200.0,0.030918072909116745,0.017875293269753456,0.4260948598384857,0.2860988974571228,0.07003603875637054,0.015003655105829239,-0.395176786929369,-0.26822360418736935,0.1666611441737249,True
ds3,strict_pre,100.02910524,3,19,4,15,0.875,-250.0,0.10072598606348038,0.08823627233505249,0.41816750168800354,0.34825628995895386,0.07601767778396606,0.017563121393322945,-0.31744151562452316,-0.26002001762390137,-1.4435755076612562,True
ds3,strict_pre,100.02910524,3,19,5,50,1.0,-150.0,0.040913213044404984,0.01979028806090355,0.42386651039123535,0.22450308501720428,0.07865580171346664,0.01804627850651741,-0.38295329734683037,-0.20471279695630074,-2.3707814554642628,True
ds3,strict_pre,100.02910524,3,19,6,32,0.875,-200.0,0.11082613468170166,0.06557860225439072,0.4179532825946808,0.28567802906036377,0.08077536523342133,0.01922827772796154,-0.3071271479129791,-0.22009942680597305,-2.7802845545482286,True
ds3,strict_pre,100.02910524,3,19,7,67,1.0,-100.0,0.03169269114732742,0.016571583226323128,0.42354652285575867,0.16115503013134003,0.08264806866645813,0.0193770918995142,-0.39185383170843124,-0.1445834469050169,-3.5001380489549674,True
ds3,strict_pre,100.02910524,3,19,8,14,0.75,-250.0,0.17900632321834564,0.14653922617435455,0.41191694140434265,0.3461728096008301,0.08286236226558685,0.020432883873581886,-0.232910618185997,-0.19963358342647552,-3.776053670828963,True
ds3,strict_pre,100.02910524,3,19,9,84,1.0,-50.0,0.031192166730761528,0.007273021619766951,0.4247005879878998,0.09787742793560028,0.08414153009653091,0.019714832305908203,-0.39350842125713825,-0.09060440631583333,-4.1449056757314064,True
ds3,strict_pre,100.02910524,3,19,10,49,0.875,-150.0,0.12340366840362549,0.05509800836443901,0.4179844558238983,0.22124451398849487,0.08451904356479645,0.020494190976023674,-0.2945807874202728,-0.16614650562405586,-3.984716412341364,True
ds3,strict_pre,100.02910524,3,19,11,101,1.0,0.0,0.010512609966099262,0.006661970634013414,0.42517438530921936,0.033878859132528305,0.08626019209623337,0.02028699964284897,-0.4146617753431201,-0.02721688849851489,-4.3183251497762996,True
ds3,strict_pre,100.02910524,3,19,12,31,0.75,-200.0,0.2022494524717331,0.11922087520360947,0.41289272904396057,0.28145426511764526,0.08531074970960617,0.02119474858045578,-0.21064327657222748,-0.1622333899140358,-4.553549287434269,True
ds3,strict_pre,100.02910524,3,19,13,66,0.875,-100.0,0.12393666058778763,0.047600921243429184,0.4192896783351898,0.15751418471336365,0.08586747944355011,0.020782416686415672,-0.2953530177474022,-0.10991326346993446,-4.731385521279418,True
ds3,strict_pre,100.02910524,3,19,14,118,1.0,50.0,-0.0015719537623226643,0.0020276675932109356,0.4260096848011017,-0.03021230176091194,0.08768220990896225,0.02056826464831829,-0.42758163856342435,0.03223996935412288,-4.1824087060989825,True
ds3,strict_pre,100.02910524,3,19,15,13,0.625,-250.0,0.24491764605045319,0.24144159257411957,0.40812113881111145,0.34150803089141846,0.0854019969701767,0.02160434052348137,-0.16320349276065826,-0.10006643831729889,-5.519879475290879,True
ds3,strict_pre,100.02910524,3,19,16,135,1.0,100.0,0.0020410839933902025,-0.001064043608494103,0.42765095829963684,-0.0941198393702507,0.08794408291578293,0.02037946693599224,-0.42560987430624664,0.0930557957617566,-3.8396138546312932,True
ds3,strict_pre,100.0231174,4,20,1,93,0.0,0.0,1.0,2.2626321281416195e-17,0.06959429383277893,0.05631835386157036,0.6989383101463318,0.572509765625,0.9304057061672211,-0.05631835386157034,0.3281499601042579,True
ds3,strict_pre,100.0231174,4,20,2,16,1.0,-250.0,-0.004366796929389238,-0.040761798620224,0.42893490195274353,0.3450300693511963,0.05482688173651695,0.010014639236032963,-0.43330169888213277,-0.3857918679714203,10.778919447784862,True
ds3,strict_pre,100.0231174,4,20,3,33,1.0,-200.0,0.010493069887161255,-0.049023255705833435,0.4252539277076721,0.2865215539932251,0.07109781354665756,0.015403851866722107,-0.41476085782051086,-0.33554480969905853,2.911971227419583,True
ds3,strict_pre,100.0231174,4,20,4,15,0.875,-250.0,0.003102821297943592,0.03493478149175644,0.4168717563152313,0.34872838854789734,0.0775986909866333,0.018204936757683754,-0.41376893501728773,-0.3137936070561409,1.0527926092930864,True
ds3,strict_pre,100.0231174,4,20,5,50,1.0,-150.0,0.048568740487098694,-0.057193364948034286,0.42155954241752625,0.22515207529067993,0.08151955902576447,0.019198071211576462,-0.37299080193042755,-0.2823454402387142,-0.6008017373289007,True
ds3,strict_pre,100.0231174,4,20,6,32,0.875,-200.0,0.024963069707155228,0.043322913348674774,0.41579991579055786,0.2862946093082428,0.08336623758077621,0.02030993066728115,-0.39083684608340263,-0.24297169595956802,-1.6421209344018042,True
ds3,strict_pre,100.0231174,4,20,7,67,1.0,-100.0,0.0792604610323906,-0.040936149656772614,0.4208970367908478,0.16203796863555908,0.08579712361097336,0.02067289687693119,-0.3416365757584572,-0.2029741182923317,-2.981460160823922,True
ds3,strict_pre,100.0231174,4,20,8,14,0.75,-250.0,0.08904178440570831,0.11255612969398499,0.40987059473991394,0.346585214138031,0.08531858026981354,0.02149084582924843,-0.3208288103342056,-0.23402908444404602,-2.5465496326829866,True
ds3,strict_pre,100.0231174,4,20,9,84,1.0,-50.0,0.07226043194532394,-0.026213647797703743,0.4221266508102417,0.0989212766289711,0.08711475878953934,0.020939016714692116,-0.34986621886491776,-0.12513492442667484,-4.153727456573396,True
ds3,strict_pre,100.0231174,4,20,10,49,0.875,-150.0,0.060677420347929,0.04470816254615784,0.41589751839637756,0.22189921140670776,0.08696155250072479,0.021531326696276665,-0.35522009804844856,-0.17719104886054993,-3.3713490134563786,True
ds3,strict_pre,100.0231174,4,20,11,101,1.0,0.0,0.10171246528625488,-0.014719762839376926,0.4227936565876007,0.03499327227473259,0.08893848955631256,0.021393820643424988,-0.3210811913013458,-0.049713035114109516,-4.989793834095458,True
ds3,strict_pre,100.0231174,4,20,12,31,0.75,-200.0,0.10648151487112045,0.1122199073433876,0.41124996542930603,0.28189969062805176,0.08722799271345139,0.022026551887392998,-0.3047684505581856,-0.16967978328466415,-3.8827827838162943,True
ds3,strict_pre,100.0231174,4,20,13,66,0.875,-100.0,0.09502784162759781,0.0035588028840720654,0.4173267185688019,0.1581743359565735,0.08814767748117447,0.021747013553977013,-0.32229887694120407,-0.15461553307250142,-3.9793068713189674,True
ds3,strict_pre,100.0231174,4,20,14,118,1.0,50.0,0.07941307127475739,-0.05959627032279968,0.42384395003318787,-0.029080171138048172,0.09006976336240768,0.021552391350269318,-0.3444308787584305,-0.03051609918475151,-4.884111910601662,True
ds3,strict_pre,100.0231174,4,20,15,135,1.0,100.0,0.07771330326795578,-0.09037421643733978,0.42501282691955566,-0.09305877238512039,0.09085023403167725,0.02156047336757183,-0.3472995236515999,0.002684555947780609,-4.907456075249033,True
