scenario,phase,method,budget,n,mean_score,alarm_fraction,tracked_prn_min
ds7,strict_pre,dense_nf,187,10,1.4947833323307065,0.1,10
ds7,strict_pre,dense_one_source_residual,187,10,0.14520294892641156,0.0,10
ds7,strict_pre,epl_3,3,10,-0.28967934356931335,0.0,10
ds7,strict_pre,epl_3_complex,3,10,0.14555934746233673,0.0,10
ds7,strict_pre,fixed_9_delay_tap_complex,9,10,0.9373300820310518,0.0,10
ds7,strict_pre,fixed_delay_9,9,10,0.34197089159726496,0.1,10
ds7,strict_pre,learned_fixed,3,10,-0.503175445048201,0.0,10
ds7,strict_pre,learned_fixed,5,10,-0.4836994571497778,0.0,10
ds7,strict_pre,learned_fixed,9,10,-0.5007615977013204,0.0,10
ds7,strict_pre,learned_fixed,16,10,-0.2759234219791825,0.0,10
ds7,strict_pre,previous_acaf_r1_proxy,187,10,0.10847281978832637,0.0,10
ds7,strict_pre,prompt_magnitude_only,0,10,0.5696519493369514,0.0,10
ds7,strict_pre,random_fixed,3,10,0.42211303045274506,0.2,10
ds7,strict_pre,random_fixed,5,10,3.2864386855780645,0.4,10
ds7,strict_pre,random_fixed,9,10,1.3613947504628165,0.1,10
ds7,strict_pre,random_fixed,16,10,0.8743538986434274,0.0,10
ds7,strict_pre,raw_power_only,0,10,-0.3848066862532698,0.0,10
ds7,strict_pre,uniform_fixed,3,10,0.34806183910248367,0.2,10
ds7,strict_pre,uniform_fixed,5,10,0.9454495140216924,0.0,10
ds7,strict_pre,uniform_fixed,9,10,0.9047452898327977,0.2,10
ds7,strict_pre,uniform_fixed,16,10,0.8877580999713421,0.2,10
ds8,established_pull_off,active_adaptive,3,24,86.68515613403105,0.8333333333333334,9
ds8,established_pull_off,active_adaptive,5,24,70.33346106063964,0.8333333333333334,9
ds8,established_pull_off,active_adaptive,9,24,68.23686180313403,0.8333333333333334,9
ds8,established_pull_off,active_adaptive,16,24,65.75168254327188,0.8333333333333334,9
ds8,established_pull_off,active_context,9,24,79.37635347691044,0.8333333333333334,9
ds8,established_pull_off,active_magnitude,3,24,-22.137619851520956,0.0,9
ds8,established_pull_off,active_magnitude,5,24,-18.091211657133613,0.0,9
ds8,established_pull_off,active_magnitude,9,24,-15.650381064591292,0.0,9
ds8,established_pull_off,active_no_context,9,24,68.23686180313403,0.8333333333333334,9
ds8,established_pull_off,analytic_two_source_glrt,187,24,325.78855855924934,0.8333333333333334,9
ds8,established_pull_off,dense_nf,187,24,116.35603237187159,0.8333333333333334,9
ds8,established_pull_off,dense_one_source_residual,187,24,301.9767939240349,0.8333333333333334,9
ds8,established_pull_off,epl_3,3,24,32.369122320464776,0.7916666666666666,9
ds8,established_pull_off,epl_3_complex,3,24,230.2054693964864,0.8333333333333334,9
ds8,established_pull_off,fixed_9_delay_tap_complex,9,24,284.65927614145363,0.8333333333333334,9
ds8,established_pull_off,fixed_delay_9,9,24,6.3755750641357976,0.5,9
ds8,established_pull_off,learned_fixed,3,24,86.68515613403105,0.8333333333333334,9
ds8,established_pull_off,learned_fixed,5,24,70.0554443591323,0.8333333333333334,9
ds8,established_pull_off,learned_fixed,9,24,65.6051316608772,0.8333333333333334,9
ds8,established_pull_off,learned_fixed,16,24,72.27476686794488,0.8333333333333334,9
ds8,established_pull_off,previous_acaf_r1_proxy,187,24,221.79462247005335,0.8333333333333334,9
ds8,established_pull_off,prompt_magnitude_only,0,24,-1.5388216855478767,0.08333333333333333,9
ds8,established_pull_off,random_fixed,3,24,144.71347438784179,0.9166666666666666,9
ds8,established_pull_off,random_fixed,5,24,153.13461257892652,0.8333333333333334,9
ds8,established_pull_off,random_fixed,9,24,106.7931266294061,0.8333333333333334,9
ds8,established_pull_off,random_fixed,16,24,72.87723051999966,0.8333333333333334,9
ds8,established_pull_off,raw_power_only,0,24,5.053663737604806,1.0,9
ds8,established_pull_off,uniform_fixed,3,24,28.864228123605475,0.8333333333333334,9
ds8,established_pull_off,uniform_fixed,5,24,54.06953324623522,0.7916666666666666,9
ds8,established_pull_off,uniform_fixed,9,24,63.66632997261047,0.8333333333333334,9
ds8,established_pull_off,uniform_fixed,16,24,70.73714871719774,0.8333333333333334,9
ds8,injection_takeover,active_adaptive,3,24,-0.8235212810802314,0.0,10
ds8,injection_takeover,active_adaptive,5,24,-0.7721443740395709,0.041666666666666664,10
ds8,injection_takeover,active_adaptive,9,24,-0.6915508266908784,0.041666666666666664,10
ds8,injection_takeover,active_adaptive,16,24,-0.33196271263403804,0.125,10
ds8,injection_takeover,active_context,9,24,-4.203397867921706,0.041666666666666664,10
ds8,injection_takeover,active_magnitude,3,24,-0.8341082170118485,0.0,10
ds8,injection_takeover,active_magnitude,5,24,-0.6090082159273219,0.0,10
ds8,injection_takeover,active_magnitude,9,24,-0.889173275230946,0.0,10
ds8,injection_takeover,active_no_context,9,24,-0.6915508266908784,0.041666666666666664,10
ds8,injection_takeover,analytic_two_source_glrt,187,24,1.4026920073604439,0.4583333333333333,10
ds8,injection_takeover,dense_nf,187,24,0.7765944691759076,0.20833333333333334,10
ds8,injection_takeover,dense_one_source_residual,187,24,1.9986029610947078,0.375,10
ds8,injection_takeover,epl_3,3,24,0.69593961962861,0.08333333333333333,10
ds8,injection_takeover,epl_3_complex,3,24,0.8501523640580224,0.125,10
ds8,injection_takeover,fixed_9_delay_tap_complex,9,24,3.2910384164431576,0.20833333333333334,10
ds8,injection_takeover,fixed_delay_9,9,24,0.26918800967041,0.2916666666666667,10
ds8,injection_takeover,learned_fixed,3,24,-0.8235212810802314,0.0,10
ds8,injection_takeover,learned_fixed,5,24,-0.7721443740395709,0.041666666666666664,10
ds8,injection_takeover,learned_fixed,9,24,-0.6915508266908784,0.041666666666666664,10
ds8,injection_takeover,learned_fixed,16,24,-0.4064515479648638,0.125,10
