scenario,phase,method,budget,n,mean_score,alarm_fraction,tracked_prn_min
ds3,injection_takeover,active_adaptive,5,24,-3.9003482477007196,0.0,6
ds3,injection_takeover,active_adaptive,9,24,-3.6556965528326146,0.0,6
ds3,injection_takeover,active_adaptive,16,24,-2.4135854569416897,0.041666666666666664,6
ds3,injection_takeover,active_context,9,24,1.6171430867325223,0.75,6
ds3,injection_takeover,active_magnitude,3,24,-5.360156580667443,0.08333333333333333,6
ds3,injection_takeover,active_magnitude,5,24,-5.000035017003096,0.0,6
ds3,injection_takeover,active_magnitude,9,24,-5.754099780723155,0.0,6
ds3,injection_takeover,active_no_context,9,24,-3.6556965528326146,0.0,6
ds3,injection_takeover,analytic_two_source_glrt,187,24,64.36496537352728,0.9583333333333334,6
ds3,injection_takeover,dense_nf,187,24,27.164671759019047,0.9166666666666666,6
ds3,injection_takeover,dense_one_source_residual,187,24,57.59693817046517,0.9583333333333334,6
ds3,injection_takeover,epl_3,3,24,62.137812701623126,0.625,6
ds3,injection_takeover,epl_3_complex,3,24,64.60518759596845,0.75,6
ds3,injection_takeover,fixed_9_delay_tap_complex,9,24,131.02272362931643,0.9583333333333334,6
ds3,injection_takeover,fixed_delay_9,9,24,33.82248311274771,1.0,6
ds3,injection_takeover,learned_fixed,3,24,-4.660798909947782,0.0,6
ds3,injection_takeover,learned_fixed,5,24,-3.9003482477007196,0.0,6
ds3,injection_takeover,learned_fixed,9,24,-3.6814407318575806,0.0,6
ds3,injection_takeover,learned_fixed,16,24,-3.0068208006146455,0.0,6
ds3,injection_takeover,previous_acaf_r1_proxy,187,24,35.81480371448409,0.9583333333333334,6
ds3,injection_takeover,prompt_magnitude_only,0,24,-16.43265848828975,0.0,6
ds3,injection_takeover,random_fixed,3,24,10.084621845713146,0.9583333333333334,6
ds3,injection_takeover,random_fixed,5,24,23.65133978866287,0.6666666666666666,6
ds3,injection_takeover,random_fixed,9,24,19.187868753328274,0.7916666666666666,6
ds3,injection_takeover,random_fixed,16,24,22.836576557440548,0.9166666666666666,6
ds3,injection_takeover,raw_power_only,0,24,-73.64279041970028,0.0,6
ds3,injection_takeover,uniform_fixed,3,24,-2.9279918610032816,0.0,6
ds3,injection_takeover,uniform_fixed,5,24,-4.69880532631655,0.0,6
ds3,injection_takeover,uniform_fixed,9,24,-4.826976373525558,0.0,6
ds3,injection_takeover,uniform_fixed,16,24,2.770561402405178,0.3333333333333333,6
ds3,strict_pre,active_adaptive,3,12,-0.5562973078084639,0.0,10
ds3,strict_pre,active_adaptive,5,12,-0.6147559335050496,0.0,10
ds3,strict_pre,active_adaptive,9,12,-0.566297449254313,0.0,10
ds3,strict_pre,active_adaptive,16,12,-0.2212457950582353,0.0,10
ds3,strict_pre,active_context,9,12,0.7173332351241707,0.08333333333333333,10
ds3,strict_pre,active_magnitude,3,12,0.4043010911965445,0.08333333333333333,10
ds3,strict_pre,active_magnitude,5,12,0.3249422656118059,0.0,10
ds3,strict_pre,active_magnitude,9,12,-0.0954677570248283,0.0,10
ds3,strict_pre,active_no_context,9,12,-0.566297449254313,0.0,10
ds3,strict_pre,analytic_two_source_glrt,187,12,0.2758377949251066,0.0,10
ds3,strict_pre,dense_nf,187,12,1.1462548543851558,0.08333333333333333,10
ds3,strict_pre,dense_one_source_residual,187,12,0.44447342977162796,0.0,10
ds3,strict_pre,epl_3,3,12,-0.12557811655350853,0.0,10
ds3,strict_pre,epl_3_complex,3,12,0.2121979233492404,0.0,10
ds3,strict_pre,fixed_9_delay_tap_complex,9,12,1.1760992969219333,0.0,10
ds3,strict_pre,fixed_delay_9,9,12,0.3392672885659571,0.08333333333333333,10
ds3,strict_pre,learned_fixed,3,12,-0.5562973078084639,0.0,10
ds3,strict_pre,learned_fixed,5,12,-0.6147559335050496,0.0,10
ds3,strict_pre,learned_fixed,9,12,-0.566297449254313,0.0,10
ds3,strict_pre,learned_fixed,16,12,-0.2696505293180083,0.0,10
ds3,strict_pre,previous_acaf_r1_proxy,187,12,0.23994103447217677,0.0,10
ds3,strict_pre,prompt_magnitude_only,0,12,-23.768116551829497,0.0,10
ds3,strict_pre,random_fixed,3,12,0.7357353336523573,0.3333333333333333,10
ds3,strict_pre,random_fixed,5,12,2.110562086070117,0.16666666666666666,10
ds3,strict_pre,random_fixed,9,12,0.9844835085999977,0.16666666666666666,10
ds3,strict_pre,random_fixed,16,12,0.6260217978323022,0.08333333333333333,10
ds3,strict_pre,raw_power_only,0,12,-77.1647858433479,0.0,10
ds3,strict_pre,uniform_fixed,3,12,0.3470952694104992,0.16666666666666666,10
ds3,strict_pre,uniform_fixed,5,12,0.7167625228410235,0.08333333333333333,10
ds3,strict_pre,uniform_fixed,9,12,0.32373649946014993,0.16666666666666666,10
ds3,strict_pre,uniform_fixed,16,12,0.31688018756272934,0.16666666666666666,10
ds4,injection_takeover,active_adaptive,3,16,-3.6501917649491538,0.0,10
ds4,injection_takeover,active_adaptive,5,16,-3.1772755776626393,0.0,10
ds4,injection_takeover,active_adaptive,9,16,-3.0154359614158794,0.0,10
ds4,injection_takeover,active_adaptive,16,16,-2.199705453180094,0.0,10
ds4,injection_takeover,active_context,9,16,0.7804453699907403,0.25,10
ds4,injection_takeover,active_magnitude,3,16,-1.8817363352231418,0.0,10
ds4,injection_takeover,active_magnitude,5,16,-1.5735857069287675,0.0,10
ds4,injection_takeover,active_magnitude,9,16,-1.9289621758010869,0.0,10
ds4,injection_takeover,active_no_context,9,16,-3.0154359614158794,0.0,10
ds4,injection_takeover,analytic_two_source_glrt,187,16,3.648359612315513,0.9375,10
ds4,injection_takeover,dense_nf,187,16,2.969503066784976,0.625,10
ds4,injection_takeover,dense_one_source_residual,187,16,5.478703267592527,0.9375,10
ds4,injection_takeover,epl_3,3,16,1.1252571710719854,0.0,10
ds4,injection_takeover,epl_3_complex,3,16,3.315581280445755,0.4375,10
ds4,injection_takeover,fixed_9_delay_tap_complex,9,16,7.978227911231205,0.9375,10
ds4,injection_takeover,fixed_delay_9,9,16,3.539667231267396,0.9375,10
ds4,injection_takeover,learned_fixed,3,16,-3.6501917649491538,0.0,10
ds4,injection_takeover,learned_fixed,5,16,-3.1772755776626393,0.0,10
ds4,injection_takeover,learned_fixed,9,16,-3.0129776714903613,0.0,10
ds4,injection_takeover,learned_fixed,16,16,-2.674936704310494,0.0,10
ds4,injection_takeover,previous_acaf_r1_proxy,187,16,4.23938578339977,0.9375,10
ds4,injection_takeover,prompt_magnitude_only,0,16,-20.317661055724862,0.0,10
ds4,injection_takeover,random_fixed,3,16,2.2193616556638625,0.8125,10
ds4,injection_takeover,random_fixed,5,16,4.566590050932383,0.5,10
ds4,injection_takeover,random_fixed,9,16,4.926746895302552,1.0,10
ds4,injection_takeover,random_fixed,16,16,3.6380879694813215,0.9375,10
ds4,injection_takeover,raw_power_only,0,16,-74.5743742068089,0.0,10
ds4,injection_takeover,uniform_fixed,3,16,-2.320636905394272,0.0,10
ds4,injection_takeover,uniform_fixed,5,16,-2.074850955534515,0.0,10
ds4,injection_takeover,uniform_fixed,9,16,-2.1968680316354705,0.0,10
ds4,injection_takeover,uniform_fixed,16,16,-2.038203367981585,0.0,10
ds4,strict_pre,active_adaptive,3,12,-0.7217891414684953,0.0,10
ds4,strict_pre,active_adaptive,5,12,-0.6481859062000793,0.0,10
ds4,strict_pre,active_adaptive,9,12,-0.6050190348788543,0.0,10
ds4,strict_pre,active_adaptive,16,12,-0.33746632630113643,0.0,10
ds4,strict_pre,active_context,9,12,0.5227229234324975,0.16666666666666666,10
ds4,strict_pre,active_magnitude,3,12,0.21691227378023192,0.08333333333333333,10
ds4,strict_pre,active_magnitude,5,12,0.16494151087349337,0.0,10
ds4,strict_pre,active_magnitude,9,12,-0.2447860885843791,0.0,10
ds4,strict_pre,active_no_context,9,12,-0.6050190348788543,0.0,10
ds4,strict_pre,analytic_two_source_glrt,187,12,0.36799958058937227,0.16666666666666666,10
ds4,strict_pre,dense_nf,187,12,0.9193372051441443,0.16666666666666666,10
ds4,strict_pre,dense_one_source_residual,187,12,0.36049069357829566,0.0,10
ds4,strict_pre,epl_3,3,12,0.083965408679494,0.0,10
ds4,strict_pre,epl_3_complex,3,12,0.7454962369271622,0.0,10
ds4,strict_pre,fixed_9_delay_tap_complex,9,12,1.494362227742706,0.0,10
ds4,strict_pre,fixed_delay_9,9,12,0.28538882198489207,0.08333333333333333,10
ds4,strict_pre,learned_fixed,3,12,-0.7217891414684953,0.0,10
ds4,strict_pre,learned_fixed,5,12,-0.6481859062000793,0.0,10
ds4,strict_pre,learned_fixed,9,12,-0.6011195395328167,0.0,10
ds4,strict_pre,learned_fixed,16,12,-0.38166865967505537,0.0,10
ds4,strict_pre,previous_acaf_r1_proxy,187,12,0.30002008154794835,0.08333333333333333,10
ds4,strict_pre,prompt_magnitude_only,0,12,-23.95848037875186,0.0,10
ds4,strict_pre,random_fixed,3,12,0.9943134932259423,0.5,10
ds4,strict_pre,random_fixed,5,12,2.8255484983765555,0.25,10
