scenario,family,method,budget,roc_auc,pr_auc,normalized_partial_auc_fpr_0_05,clean_holdout_fpr,strict_external_pre_onset_fpr,attack_detection_rate,first_alarm_delay_s,sustained_alarm_fraction,tracked_prn_count_min,evaluation_epochs,correlator_count,ds4_full_recording,status
ds3,ds3,analytic_two_source_glrt,187,0.9982638888888888,0.9995748299319729,0.9893162393162394,0.0,0.0,0.9791666666666666,2.0953528549999874,0.9791666666666666,6,60,187,True,PASS
ds3,ds3,dense_one_source_residual,187,0.9947916666666666,0.9987745098039218,0.9893162393162394,0.08333333333333333,0.0,0.9791666666666666,2.0953528549999874,0.9791666666666666,6,60,187,True,PASS
ds3,ds3,epl_3_complex,3,0.9861111111111112,0.9966564542483662,0.9679487179487178,0.0,0.0,0.8125,15.101513675555566,0.8125,6,60,3,True,PASS
ds3,ds3,fixed_9_delay_tap_complex,9,0.9965277777777778,0.9991666666666668,0.9893162393162394,0.0,0.0,0.9791666666666666,2.0953528549999874,0.9791666666666666,6,60,9,True,PASS
ds3,ds3,previous_acaf_r1_proxy,187,1.0,1.0000000000000002,1.0,0.08333333333333333,0.0,0.9791666666666666,2.0953528549999874,0.9791666666666666,6,60,187,True,PASS
ds3,ds3,prompt_magnitude_only,0,0.9565972222222222,0.9911527827863928,0.9679487179487178,0.0,0.0,0.0,,0.0,6,60,0,True,PASS
ds3,ds3,raw_power_only,0,0.9982638888888888,0.9995748299319729,0.9893162393162394,0.08333333333333333,0.0,0.0,,0.0,6,60,0,True,PASS
ds4,ds4,analytic_two_source_glrt,187,0.9427083333333334,0.974537037037037,0.9679487179487178,0.0,0.16666666666666666,0.9375,0.1945079040000195,0.9375,10,28,187,False,TRANSITION_ONLY
ds4,ds4,dense_one_source_residual,187,0.9583333333333334,0.9791666666666666,0.9679487179487178,0.08333333333333333,0.0,0.9375,0.1945079040000195,0.9375,10,28,187,False,TRANSITION_ONLY
ds4,ds4,epl_3_complex,3,0.9114583333333334,0.9518435846560847,0.8717948717948718,0.0,0.0,0.4375,0.1945079040000195,0.4375,10,28,3,False,TRANSITION_ONLY
ds4,ds4,fixed_9_delay_tap_complex,9,0.9427083333333334,0.974537037037037,0.9679487179487178,0.0,0.0,0.9375,0.1945079040000195,0.9375,10,28,9,False,TRANSITION_ONLY
ds4,ds4,previous_acaf_r1_proxy,187,0.953125,0.9775,0.9679487179487178,0.08333333333333333,0.08333333333333333,0.9375,0.1945079040000195,0.9375,10,28,187,False,TRANSITION_ONLY
ds4,ds4,prompt_magnitude_only,0,0.9895833333333334,0.9930555555555556,0.9679487179487178,0.0,0.0,0.0,,0.0,10,28,0,False,TRANSITION_ONLY
ds4,ds4,raw_power_only,0,0.984375,0.9901315789473684,0.9679487179487178,0.08333333333333333,0.0,0.0,,0.0,10,28,0,False,TRANSITION_ONLY
ds7,ds7_ds8,analytic_two_source_glrt,187,0.79375,0.9584373135746838,0.8183760683760684,0.0,0.0,0.5833333333333334,0.9960959280000026,0.5833333333333334,9,58,187,True,PASS
ds7,ds7_ds8,dense_one_source_residual,187,0.9208333333333333,0.9838013385193882,0.8824786324786325,0.08333333333333333,0.0,0.5208333333333334,7.996497087999998,0.5208333333333334,9,58,187,True,PASS
ds7,ds7_ds8,epl_3_complex,3,0.7270833333333333,0.9401803186489714,0.7649572649572649,0.0,0.0,0.3333333333333333,7.996497087999998,0.3333333333333333,9,58,3,True,PASS
ds7,ds7_ds8,fixed_9_delay_tap_complex,9,0.8041666666666666,0.9560375038273259,0.7649572649572649,0.0,0.0,0.4375,7.996497087999998,0.4375,9,58,9,True,PASS
ds7,ds7_ds8,previous_acaf_r1_proxy,187,0.8458333333333333,0.969331478699544,0.8397435897435898,0.08333333333333333,0.0,0.5416666666666666,5.017696627999996,0.5416666666666666,9,58,187,True,PASS
ds7,ds7_ds8,prompt_magnitude_only,0,0.3541666666666667,0.8088886930929926,0.5085470085470085,0.0,0.0,0.041666666666666664,39.004202427999985,0.041666666666666664,9,58,0,True,PASS
ds7,ds7_ds8,raw_power_only,0,0.9791666666666667,0.9958264817911557,0.9572649572649572,0.08333333333333333,0.0,0.9166666666666666,5.9967967519999945,0.9166666666666666,9,58,0,True,PASS
ds8,ds7_ds8,analytic_two_source_glrt,187,0.7750000000000001,0.9540060247652138,0.8183760683760684,0.0,0.0,0.6458333333333334,0.013736465454528002,0.6458333333333334,9,58,187,True,PASS
ds8,ds7_ds8,dense_one_source_residual,187,0.8604166666666666,0.9710456707945185,0.829059829059829,0.08333333333333333,0.0,0.6041666666666666,0.013736465454528002,0.6041666666666666,9,58,187,True,PASS
ds8,ds7_ds8,epl_3_complex,3,0.7291666666666667,0.9419604956441427,0.7435897435897436,0.0,0.0,0.4791666666666667,8.049282141818153,0.4791666666666667,9,58,3,True,PASS
ds8,ds7_ds8,fixed_9_delay_tap_complex,9,0.7562500000000001,0.9467825116220877,0.7649572649572649,0.0,0.0,0.5208333333333334,8.049282141818153,0.5208333333333334,9,58,9,True,PASS
ds8,ds7_ds8,previous_acaf_r1_proxy,187,0.8187500000000001,0.9620422460747547,0.8076923076923077,0.08333333333333333,0.0,0.6041666666666666,0.013736465454528002,0.6041666666666666,9,58,187,True,PASS
ds8,ds7_ds8,prompt_magnitude_only,0,0.4354166666666667,0.8646595101095902,0.6474358974358974,0.0,0.0,0.22916666666666666,13.001100447272748,0.22916666666666666,9,58,0,True,PASS
ds8,ds7_ds8,raw_power_only,0,0.9854166666666666,0.9970672471575861,0.9572649572649572,0.08333333333333333,0.0,0.9166666666666666,5.9983588519999955,0.9166666666666666,9,58,0,True,PASS
