time_block,n,prn_count,prompt_spearman,exact_center_fraction,within_tolerance_fraction,boundary_fraction
train,323,8,0.9999925217989561,0.3931888544891641,0.8111455108359134,0.006191950464396285
calibration,323,8,0.9999921656941444,0.44272445820433437,0.8761609907120743,0.009287925696594427
holdout,323,8,0.9999900290652747,0.42724458204334365,0.8823529411764706,0.0030959752321981426
