candidate,n,pooled_spearman,median_prn_spearman,exact_center_fraction,within_tolerance_fraction,boundary_fraction
nco_row=previous_aux_row=previous_remnant_sign=-1_carrier_sign=-1_global_offset=0,969,0.9999965049269979,0.9999652753663446,0.42105263157894735,0.8565531475748194,0.006191950464396285
nco_row=previous_aux_row=previous_remnant_sign=-1_carrier_sign=1_global_offset=0,969,0.47261353118172245,0.11435211671062818,0.0041279669762641896,0.02063983488132095,0.7038183694530443
nco_row=previous_aux_row=previous_remnant_sign=1_carrier_sign=-1_global_offset=0,969,0.9902421914134102,0.9389436766442114,0.2951496388028896,0.849329205366357,0.010319917440660475
nco_row=previous_aux_row=previous_remnant_sign=1_carrier_sign=1_global_offset=0,969,0.46641188683560314,0.10061809847906103,0.0030959752321981426,0.025799793601651185,0.7151702786377709
