global_offset_samples,valid_raw_epochs,exact_center_fraction,within_tolerance_fraction,boundary_fraction,pooled_spearman,median_prn_spearman,peak_delay_median,peak_doppler_median
-1000,969,0.0020639834881320948,0.02063983488132095,0.7223942208462333,0.059900644966263975,0.0921523898208953,0.0,0.0
-500,969,0.0010319917440660474,0.013415892672858616,0.7760577915376677,0.02122469468229259,0.02037013296543294,-0.125,50.0
0,969,0.42105263157894735,0.8565531475748194,0.006191950464396285,0.9999965049269979,0.9999652753663446,0.0,0.0
500,969,0.0010319917440660474,0.014447884416924664,0.737874097007224,0.01184216461345416,0.009644529285060169,0.125,50.0
1000,969,0.0010319917440660474,0.022703818369453045,0.6852425180598555,0.012433557343333023,-0.043884992013334255,-0.125,0.0
