channel,n,prompt_spearman,exact_center_fraction,within_tolerance_fraction,boundary_fraction
0,120,0.9999513855128827,0.19166666666666668,0.5333333333333333,0.05
1,120,0.9999652753663446,0.36666666666666664,0.8583333333333333,0.0
3,123,0.9999742038668404,0.5121951219512195,0.943089430894309,0.0
5,120,0.9999652753663446,0.35,0.9,0.0
6,123,0.9999677548335506,0.43902439024390244,0.8617886178861789,0.0
7,123,0.9999742038668404,0.42276422764227645,0.8455284552845529,0.0
8,120,0.9999097159524964,0.5083333333333333,0.9416666666666667,0.0
9,120,0.9999305507326897,0.575,0.9666666666666667,0.0
