prn_count,trial,primary_pre_bin_count,primary_post_bin_count,legacy_pre_raw_alarm_rate,partial_f_pre_raw_alarm_rate,legacy_pre_persistent_alarm_rate,partial_f_pre_persistent_alarm_rate,pre_median_residual,pre_median_partial_f_p_value,pre_median_design_condition_number,legacy_ds7_persistent_detection,legacy_ds7_detection_delay_s,partial_f_ds7_persistent_detection,partial_f_ds7_detection_delay_s,partial_f_specificity_gate_passed
7,0,60,161,0.35,0.06666666666666667,0.18333333333333332,0.0,0.4747534982203988,0.46786898617117656,6.758046109201565,True,19.0,True,129.0,True
7,1,60,161,0.36666666666666664,0.03333333333333333,0.2,0.0,0.4319720104054272,0.4136551411035363,9.14129963955192,True,20.0,True,81.0,True
7,2,60,161,0.2833333333333333,0.1,0.1,0.0,0.4759596883463595,0.4694041934294506,9.478148632771944,True,19.0,True,122.0,True
7,3,60,161,0.31666666666666665,0.03333333333333333,0.06666666666666667,0.0,0.5068899804308784,0.5087721669088054,7.496226092625988,True,41.0,True,168.0,True
7,4,60,161,0.3333333333333333,0.03333333333333333,0.2,0.0,0.4384330217606279,0.42181612483812203,5.836356862685591,True,20.0,True,129.0,True
7,5,60,161,0.3333333333333333,0.06666666666666667,0.11666666666666667,0.0,0.49087699477237723,0.4883884459437531,6.857682196248158,True,33.0,True,129.0,True
7,6,60,161,0.2833333333333333,0.1,0.18333333333333332,0.0,0.5526408036122925,0.5668987042048268,12.005370827321322,True,19.0,True,124.0,True
7,7,60,161,0.3333333333333333,0.15,0.1,0.0,0.42193723968629376,0.4010133589024071,6.0253975603825385,True,18.0,True,118.0,True
7,8,60,161,0.43333333333333335,0.06666666666666667,0.36666666666666664,0.0,0.39769396738315566,0.3706580248797017,7.2619569593301385,True,48.0,True,65.0,True
7,9,60,161,0.3,0.1,0.18333333333333332,0.0,0.5398643988173768,0.5506990012366162,7.993834860156245,True,41.0,True,132.0,True
7,10,60,161,0.3333333333333333,0.11666666666666667,0.2,0.0,0.4932532839980108,0.49141235931760235,8.769142947263745,True,47.0,True,100.0,True
7,11,60,161,0.43333333333333335,0.11666666666666667,0.35,0.0,0.39921188851772843,0.37254707555666283,7.8555733475479945,True,37.0,True,121.0,True
7,12,60,161,0.3333333333333333,0.1,0.2833333333333333,0.0,0.5024647138542611,0.50313796306964,9.036867588127953,True,19.0,False,,True
7,13,60,161,0.3333333333333333,0.06666666666666667,0.15,0.0,0.49977972810707305,0.4997197383613794,7.265977027128757,True,22.0,True,122.0,True
7,14,60,161,0.38333333333333336,0.08333333333333333,0.36666666666666664,0.0,0.45375130985459694,0.4412032222650397,5.033092386207171,True,57.0,True,131.0,True
7,15,60,161,0.3333333333333333,0.03333333333333333,0.2,0.0,0.4384330217606277,0.42181612483812175,5.836356862685593,True,20.0,True,129.0,True
7,16,60,161,0.35,0.08333333333333333,0.21666666666666667,0.0,0.45064140849109857,0.4372595878225932,7.894599719303662,True,42.0,True,120.0,True
7,17,60,161,0.3333333333333333,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.4524523353643818,0.43955483538720624,5.771046542046123,True,18.0,True,122.0,False
7,18,60,161,0.35,0.11666666666666667,0.16666666666666666,0.06666666666666667,0.4524523353643817,0.4395548353872061,5.772882953670239,True,19.0,True,122.0,False
7,19,60,161,0.3333333333333333,0.06666666666666667,0.25,0.0,0.470232671285766,0.46212146298073903,5.699742875530779,True,32.0,True,119.0,True
7,20,60,161,0.38333333333333336,0.13333333333333333,0.2833333333333333,0.0,0.3956785928329637,0.3681655877869565,9.61432443526233,True,28.0,True,126.0,True
7,21,60,161,0.45,0.1,0.36666666666666664,0.03333333333333333,0.37628546887768344,0.34411488749748065,5.477586345779375,True,16.0,True,101.0,True
7,22,60,161,0.2833333333333333,0.08333333333333333,0.0,0.0,0.46381957735399115,0.45397504674993333,13.091571012288204,True,19.0,True,141.0,True
7,23,60,161,0.31666666666666665,0.06666666666666667,0.11666666666666667,0.0,0.4658633773353812,0.4565713587818228,10.20989902261713,True,20.0,True,122.0,True
7,24,60,161,0.3333333333333333,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.45245233536438173,0.4395548353872062,5.771046542046122,True,18.0,True,122.0,False
7,25,60,161,0.4,0.05,0.3,0.0,0.4687266657558492,0.4602077141514204,5.550972286474828,True,19.0,True,119.0,True
7,26,60,161,0.36666666666666664,0.03333333333333333,0.21666666666666667,0.0,0.416073294775544,0.3936452926397881,6.586168965273301,True,41.0,True,167.0,True
7,27,60,161,0.3333333333333333,0.1,0.2833333333333333,0.0,0.5024647138542611,0.50313796306964,9.036867588127954,True,19.0,False,,True
7,28,60,161,0.45,0.1,0.43333333333333335,0.03333333333333333,0.3613899654669477,0.3258546828995992,5.890269781233346,True,15.0,True,145.0,True
7,29,60,161,0.3333333333333333,0.06666666666666667,0.25,0.0,0.47230326988567534,0.46475372880216126,5.699742875530777,True,41.0,True,119.0,True
7,30,60,161,0.38333333333333336,0.08333333333333333,0.25,0.0,0.5146268795863298,0.5185852874126738,7.702130227314852,True,55.0,True,132.0,True
7,31,60,161,0.3333333333333333,0.05,0.1,0.0,0.43484305680812985,0.417279859447783,6.696076896310748,True,41.0,True,122.0,True
7,32,60,161,0.3,0.11666666666666667,0.11666666666666667,0.0,0.4338850248468583,0.416068395684428,6.074061296939668,True,18.0,True,131.0,True
7,33,60,161,0.3,0.05,0.13333333333333333,0.0,0.48395989767886716,0.47958706800783246,5.484391638882082,True,20.0,True,168.0,True
7,34,60,161,0.31666666666666665,0.1,0.15,0.0,0.48479218030323706,0.48063980500247705,5.753707404974326,True,16.0,True,121.0,True
7,35,60,161,0.26666666666666666,0.08333333333333333,0.05,0.0,0.49237234796385554,0.49028864144844797,5.540568236917913,True,20.0,False,,True
7,36,60,161,0.3333333333333333,0.05,0.18333333333333332,0.0,0.45191521835655835,0.43887303711053693,5.718548952855118,True,44.0,True,48.0,True
7,37,60,161,0.3333333333333333,0.1,0.2833333333333333,0.0,0.5024647138542611,0.5031379630696399,9.036867588127954,True,19.0,False,,True
7,38,60,161,0.38333333333333336,0.11666666666666667,0.21666666666666667,0.0,0.4090933614096225,0.384897998702298,8.13866151044876,True,41.0,True,120.0,True
7,39,60,161,0.43333333333333335,0.08333333333333333,0.3,0.0,0.3774083271638742,0.3454930058121456,4.96082288154701,True,16.0,True,133.0,True
7,40,60,161,0.36666666666666664,0.08333333333333333,0.25,0.0,0.4372172046518455,0.42027332297900166,6.322287929942895,True,19.0,True,126.0,True
7,41,60,161,0.26666666666666666,0.08333333333333333,0.05,0.0,0.48744791396370934,0.484021483759709,5.540568236917915,True,19.0,False,,True
7,42,60,161,0.3,0.05,0.1,0.0,0.5679787211186387,0.5862856616903657,6.066604573829762,True,75.0,True,133.0,True
7,43,60,161,0.38333333333333336,0.13333333333333333,0.23333333333333334,0.05,0.4148697555942952,0.39213549945569715,4.928485366934908,True,20.0,True,105.0,True
7,44,60,161,0.3333333333333333,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.45772805624582136,0.4462418844103594,5.77104654204612,True,17.0,True,48.0,False
7,45,60,161,0.31666666666666665,0.11666666666666667,0.21666666666666667,0.0,0.4394917950845062,0.42323422634169117,8.366507124357444,True,21.0,True,64.0,True
