track,fold,experiment,model,view,training_view,train_count,test_count,train_spoof_count,train_prn_count,test_spoof_count,test_prn_count,train_block_count,test_block_count,scaler_fit_sample_count,threshold,auroc,auprc,balanced_accuracy,tpr_at_5pct_fpr,spoof_recall,prn_false_positive_rate,tn,fp,fn,tp
A,1,destruction_cross_apply,M2,mismatched,actual,111,64,39,72,32,32,5,2,111,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0,32,0,32
A,1,destruction_retrained,M2R,mismatched,mismatched,111,64,39,72,32,32,5,2,111,0.5,1.0,1.0,0.6875,1.0,1.0,0.625,12,20,0,32
A,1,destruction_cross_apply,M2R,mismatched,actual,111,64,39,72,32,32,5,2,111,0.5,0.994140625,0.9938330789847667,0.5,1.0,0.0,0.0,32,0,32,0
A,1,destruction_retrained,M2,circular_shift,circular_shift,111,64,39,72,32,32,5,2,111,0.5,0.78125,0.7635842165191846,0.625,0.21875,0.40625,0.15625,27,5,19,13
A,1,destruction_cross_apply,M2,circular_shift,actual,111,64,39,72,32,32,5,2,111,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0,32,0,32
A,1,destruction_retrained,M2R,circular_shift,circular_shift,111,64,39,72,32,32,5,2,111,0.5,1.0,1.0,0.734375,1.0,1.0,0.53125,15,17,0,32
A,1,destruction_cross_apply,M2R,circular_shift,actual,111,64,39,72,32,32,5,2,111,0.5,0.99609375,0.9961771376897534,0.5,0.96875,0.0,0.0,32,0,32,0
A,1,destruction_retrained,M2,fourier_phase_randomized,fourier_phase_randomized,111,64,39,72,32,32,5,2,111,0.5,0.6591796875,0.7213933412778941,0.625,0.28125,0.28125,0.03125,31,1,23,9
A,1,destruction_cross_apply,M2,fourier_phase_randomized,actual,111,64,39,72,32,32,5,2,111,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0,32,0,32
A,1,destruction_retrained,M2R,fourier_phase_randomized,fourier_phase_randomized,111,64,39,72,32,32,5,2,111,0.5,0.99609375,0.9963448660714286,0.65625,0.96875,1.0,0.6875,10,22,0,32
A,1,destruction_cross_apply,M2R,fourier_phase_randomized,actual,111,64,39,72,32,32,5,2,111,0.5,0.9853515625,0.9856028791530043,0.5,0.9375,0.0,0.0,32,0,32,0
A,1,stress_cross_apply,M2,channel_permutation,actual,111,64,39,72,32,32,5,2,111,0.5,1.0,1.0,1.0,1.0,1.0,0.0,32,0,0,32
A,1,stress_cross_apply,M2R,channel_permutation,actual,111,64,39,72,32,32,5,2,111,0.5,0.0,0.31460429173075105,0.140625,0.0,0.0,0.71875,9,23,32,0
A,1,stress_cross_apply,M3,channel_permutation,actual,111,64,39,72,32,32,5,2,111,0.5,1.0,1.0,1.0,1.0,1.0,0.0,32,0,0,32
A,1,stress_cross_apply,M2,one_channel_ablation,actual,111,64,39,72,32,32,5,2,111,0.5,0.4755859375,0.5027778716170094,0.5,0.03125,0.0,0.0,32,0,32,0
A,1,stress_cross_apply,M2R,one_channel_ablation,actual,111,64,39,72,32,32,5,2,111,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0,32,0,32
A,1,stress_cross_apply,M3,one_channel_ablation,actual,111,64,39,72,32,32,5,2,111,0.5,0.46826171875,0.49184498586580966,0.5,0.0,0.0,0.0,32,0,32,0
A,2,actual_oof,M0,actual,actual,96,64,28,68,32,32,5,2,96,0.5,1.0,1.0,1.0,1.0,1.0,0.0,32,0,0,32
A,2,actual_oof,M1,actual,actual,96,64,28,68,32,32,5,2,96,0.5,1.0,1.0,1.0,1.0,1.0,0.0,32,0,0,32
A,2,actual_oof,M2,actual,actual,96,64,28,68,32,32,5,2,96,0.5,1.0,1.0,0.984375,1.0,0.96875,0.0,32,0,1,31
A,2,actual_oof,M2R,actual,actual,96,64,28,68,32,32,5,2,96,0.5,0.6640625,0.8090810000635633,0.703125,0.625,0.625,0.21875,25,7,12,20
A,2,actual_oof,M3,actual,actual,96,64,28,68,32,32,5,2,96,0.5,1.0,1.0,1.0,1.0,1.0,0.0,32,0,0,32
A,2,destruction_retrained,M2,mismatched,mismatched,96,64,28,68,32,32,5,2,96,0.5,0.8662109375,0.8932812958013462,0.78125,0.59375,0.84375,0.28125,23,9,5,27
A,2,destruction_cross_apply,M2,mismatched,actual,96,64,28,68,32,32,5,2,96,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0,32,0,32
A,2,destruction_retrained,M2R,mismatched,mismatched,96,64,28,68,32,32,5,2,96,0.5,0.32421875,0.42097802181690425,0.390625,0.0,0.28125,0.5,16,16,23,9
A,2,destruction_cross_apply,M2R,mismatched,actual,96,64,28,68,32,32,5,2,96,0.5,1.0,1.0,0.5,1.0,0.0,0.0,32,0,32,0
A,2,destruction_retrained,M2,circular_shift,circular_shift,96,64,28,68,32,32,5,2,96,0.5,0.84765625,0.8579526548423729,0.796875,0.46875,0.9375,0.34375,21,11,2,30
A,2,destruction_cross_apply,M2,circular_shift,actual,96,64,28,68,32,32,5,2,96,0.5,0.455078125,0.47722527228683453,0.5,0.0,1.0,1.0,0,32,0,32
A,2,destruction_retrained,M2R,circular_shift,circular_shift,96,64,28,68,32,32,5,2,96,0.5,0.27734375,0.39289094834814314,0.390625,0.0,0.25,0.46875,17,15,24,8
A,2,destruction_cross_apply,M2R,circular_shift,actual,96,64,28,68,32,32,5,2,96,0.5,0.93359375,0.8560339213820974,0.5,0.21875,0.0,0.0,32,0,32,0
A,2,destruction_retrained,M2,fourier_phase_randomized,fourier_phase_randomized,96,64,28,68,32,32,5,2,96,0.5,0.9228515625,0.9422357050670711,0.828125,0.71875,0.8125,0.15625,27,5,6,26
A,2,destruction_cross_apply,M2,fourier_phase_randomized,actual,96,64,28,68,32,32,5,2,96,0.5,0.453125,0.47721913218839446,0.5,0.0,1.0,1.0,0,32,0,32
A,2,destruction_retrained,M2R,fourier_phase_randomized,fourier_phase_randomized,96,64,28,68,32,32,5,2,96,0.5,0.4169921875,0.5745660576578777,0.5,0.1875,0.40625,0.40625,19,13,19,13
A,2,destruction_cross_apply,M2R,fourier_phase_randomized,actual,96,64,28,68,32,32,5,2,96,0.5,0.99609375,0.996267825311943,0.5,0.9375,0.0,0.0,32,0,32,0
A,2,stress_cross_apply,M2,channel_permutation,actual,96,64,28,68,32,32,5,2,96,0.5,1.0,1.0,0.984375,1.0,0.96875,0.0,32,0,1,31
