epoch_count,finite_tensor_coverage,geometry_code_slot_coverage,longest_continuous_m_ge_5_seconds,m_ge_5_epoch_count,maximum_alignment_error_s,prn_count_inventory,scenario,status
101,0.9964454976303317,1.0,101,101,0.003999948501586914,9,C-1,PASS
85,0.9950617283950617,1.0,85,85,0.006999969482421875,8,C-3,PASS
