t,b0_end_s,b0_median,b0_q90,b0_q99,b0_energy,tracked_prns,b0_residual_vector_l2,m1_end_s,m1_ar_rmse,m1_ar_score,m1_level,m1_innov_0,m1_innov_1,m1_innov_2,m1_innov_3,m1_innov_4,m1_innov_5,m1_innov_6,m1_innov_7,available_s,b0_frac_exceed,S_B0,S_M1,S_joint,S_cross,S_cascade,S_full,p_S_B0,p_S_M1,S_mean,S_max,S_fisher
6.5,7.168634200000042,1.5671874284744263,3.7090654373168945,4.840181732177735,680.5232248306274,11,2.6218260828666278,6.509999999999991,2.4509590988484797,0.20006762605115902,1.3864231019577735,6.348091166634484,-0.8602413467916687,0.8123212654378075,-0.44022070017327597,-0.6376285323658278,-1.0053929407481978,-2.005097582314069,-0.8531505557953629,7.168634200000042,1.0,190.7178523437031,3.094603066346263,8.791678405314409,11.90292542712605,939.3525310366812,17.899763365751028,0.002136752136752129,0.002136752136752129,96.90622770502468,190.7178523437031,24.593873183670603
7.0,7.668634200000042,2.465477705001831,4.771225452423096,9.010685110092165,1402.9912576675415,11,3.7645224262927606,7.009999999999991,3.1303304004265367,0.8323207555022789,1.58078267913711,6.657862532118745,-5.093965333834501,1.5139875039308186,-1.0342637966959183,-0.7428033316754619,-0.1437971856737016,-0.07297294778807895,2.0436515782537286,7.668634200000042,1.0,384.5130621797326,4.864709015014405,17.963363714327453,26.598495885693335,2980.757109549857,60.03804121134344,0.0021321961620469083,0.0021321961620469083,194.68888559737348,384.5130621797326,24.602411073785117
7.5,8.168634200000042,1.343518614768982,6.273717403411865,6.428401899337769,958.8981449007988,11,3.1122082042711203,7.509999999999991,3.434037769521559,1.114964332146842,1.3590552842034036,8.894082205344638,-2.7322007967783417,0.49256734945474234,1.105766434511878,-1.7636586209435317,1.2125931561596328,-1.0458711950042348,0.7945069534530804,8.168634200000042,1.0,271.119122524789,4.599023058186742,12.598969349398487,18.056694114175176,2101.23303388955,42.27389451036063,0.002136752136752129,0.0021321961620469083,137.85907279148788,271.119122524789,24.598142128727858
8.0,8.668634200000042,0.9900684952735901,3.653269052505493,5.192540097236634,511.7067937850952,11,2.2734897278623465,8.009999999999991,4.204412690039507,1.831909474246236,1.3027442844022998,10.829192636558965,-3.4883066837263796,-3.235698093044117,0.8501894708012705,0.7927232517407303,0.25211235307695656,-0.13175161552292836,-0.2740406898271279,8.668634200000042,1.0,149.2506037060505,5.926131325558783,6.847125595642922,9.570929988119136,1408.5607865127865,28.889747342668887,0.0064102564102563875,0.0021321961620469083,77.58836751580463,149.2506037060505,22.40091755139164
8.5,9.168634200000042,0.7069849967956543,3.1384057998657227,4.850530195236207,382.9974370598793,11,1.966891198230146,8.509999999999991,1.9043024863770663,0.0,1.652910663480267,-3.160728970382233,2.6697205110927245,2.7439802583481923,-0.8051649981885517,-1.4883370392556248,-0.7404071709973281,-0.8984344850904323,-0.3808879987811693,9.168634200000042,1.0,115.47387002347432,3.967702095296282,5.238277700844327,6.493181146922465,1089.4143930611212,22.30814127946451,0.010683760683760646,0.0021321961620469083,59.720786059385304,115.47387002347432,21.37926630385966
9.0,9.668634200000042,0.7102558016777039,4.105103969573975,4.795258665084839,409.586263358593,11,2.0340194533097686,9.009999999999991,2.759879634833758,0.4875628075148532,1.4282614114215264,6.7731361589451335,-2.534814232102503,-0.1919654541730454,0.10362810500262074,0.4744602606302977,0.08629581627824728,-1.3701661120938944,-2.5450587360578174,9.668634200000042,1.0,125.84817763269949,3.7073480229171545,5.7267924168805475,7.302338097476392,1187.4381655536738,24.329506972903445,0.008547008547008517,0.0021321961620469083,64.77776282780832,125.84817763269949,21.825553406488076
9.5,10.168634200000042,0.581692099571228,3.8879899978637695,4.12057056427002,328.1418362855911,11,1.8205944519425175,9.509999999999991,2.080305463398902,0.0,1.676272194096804,2.7392541821852134,-4.001662493752268,1.2147442232425296,-0.6350335757198564,2.578308931983498,-0.35934239793941886,-1.5607332684946396,-0.11396037282501803,10.168634200000042,0.0,104.11173408221092,4.195667093918991,4.703566679013916,5.09266962365688,982.0569220386249,20.095019815392046,0.014957264957264904,0.0021321961620469083,54.15370058806495,104.11173408221092,20.706321830617235
10.0,10.668634200000042,0.47579893469810486,2.4547367095947266,3.634328889846802,231.08313071727753,11,1.5278000510265668,10.009999999999991,4.300096349969296,1.920956941054775,1.5190230767750448,9.936977331755642,-4.918688183071708,-0.5500227629798027,2.2750648647901266,4.134783741338596,0.8307821397344947,-1.189878389783147,-0.5556309075529805,10.668634200000042,0.0,73.13907547045369,6.59569927902079,3.2818830640172254,3.9321356728054644,767.486367068891,15.840352325210628,0.021367521367521403,0.0021321961620469083,39.86738737473724,73.13907547045369,19.992971942739757
10.5,11.168634200000042,0.3995063006877899,1.4473748207092285,3.721807599067689,182.01136648654938,11,1.355912479264544,10.509999999999991,3.233980097008797,0.9287817700882234,1.713466865114867,-4.587189835890507,5.7655877130944315,-2.7611220686546067,2.5302392375116822,-2.854250240156454,0.9332715848280388,-0.11803944685394985,2.5153780237491508,11.168634200000042,0.0,58.57315134457992,5.570304285629938,2.5844484734111135,2.8941821017240206,614.3071272968585,12.647718266831651,0.03205128205128205,0.0021321961620469083,32.07172781510493,58.57315134457992,19.18204172652343
11.0,11.668634200000042,0.36915886402130127,0.8687081336975098,2.2356315851211552,69.76362246274948,11,0.8394540368701499,11.009999999999991,1.2672185972988477,0.0,1.2720567573032648,-1.5005571687143213,1.1841673755604658,2.107653367399433,0.37616278061132435,-2.0804439777607224,-0.01624392169552802,0.1028200517471497,-0.5196493717278643,11.668634200000042,0.0,24.776078065452573,1.6959188266985525,0.9405478545085635,0.11798413215916198,258.8878661035119,5.240258930770258,0.047008547008547064,0.09401709401709402,13.235998446075563,24.776078065452573,10.84340900911743
11.5,12.168634200000042,0.3426976501941681,1.4736135005950928,1.9126886487007142,65.26001071929932,11,0.8119063996613979,11.509999999999991,1.3125535144697698,0.0,1.3448930540137636,-1.497019922709443,-1.710794384502774,-0.5545764497388452,-0.5098923988793869,0.05755761229848544,0.013931701753622128,2.0713348303430092,1.937268051731889,12.168634200000042,0.0,25.1924775572992,2.0945598035149677,0.964869987046062,0.7942962556313317,263.26683698454417,5.330420961172032,0.047008547008547064,0.038461538461538436,13.643518680407084,25.1924775572992,12.631044761161625
12.0,12.668634200000042,0.35625407099723816,1.1491386890411377,1.890828061103821,58.575885593891144,11,0.7692045274425094,12.009999999999991,1.509282148725969,0.0,1.3341609344011955,2.2950245500941406,-2.7426253422387044,-1.7535340838488631,-1.3152632126033796,0.24466989485528057,0.4270698144798669,-0.21988155594395442,0.5821772909501961,12.668634200000042,0.0,21.728021156975675,2.018518815310829,0.8014442251390632,0.9465429485261793,226.83366645317733,4.570703031473332,0.047008547008547064,0.047008547008547064,11.873269986143253,21.728021156975675,12.229703370237319
12.5,13.168634200000042,0.3273656964302063,1.0042049884796143,1.396701753139496,37.24401569366455,11,0.6133532195278536,12.509999999999991,1.533124209515073,0.0,1.5537504632828312,3.341925925163739,-1.4923035466535417,1.4336848311623334,0.26820184032818684,0.24391674707803682,-1.0112973516300032,1.4096820127877372,-0.45990700953216024,13.168634200000042,0.0,14.080530864475946,3.2878526760747073,0.5012450389789163,1.41170062333962,146.41056805956026,2.8963819113265723,0.05341880341880345,0.0021321961620469083,8.684191770275326,14.080530864475946,18.16039047899145
13.0,13.668634200000042,0.3840620815753937,0.8132473230361938,0.8444839000701905,23.329907447099686,11,0.4854437375920718,13.009999999999991,1.2062141971489333,0.0,1.4681894418731303,0.41573286930857023,-0.35367201267007387,-1.7863025216898663,-1.0363590949842179,0.1702028340395874,-1.0042909674618148,-1.9135831907837733,-1.5418874638626332,13.668634200000042,0.0,7.196133712259979,2.831854944679548,0.23294617781067428,1.8756098490215583,74.01236572429119,1.391065446330078,0.05555555555555558,0.008547008547008517,5.013994328469764,7.196133712259979,15.305091385387847
13.5,14.168634200000042,0.3440086543560028,0.6186088919639587,0.6609376907348633,17.51113909482956,11,0.42057127375979236,13.509999999999991,1.1041845920777142,0.0,1.410090371886596,0.6133150188383016,-2.255055615761281,0.49404568350824285,-0.6621660866978999,-0.10746474836998177,0.25521170272843824,-0.2533815853948182,-1.8625060503554365,14.168634200000042,0.0,3.564362044195476,2.5511766809460177,0.1902542649995986,2.6431636156146814,29.99227292485426,0.4814965989357524,0.05769230769230771,0.019230769230769273,3.057769362570747,3.564362044195476,13.607750296989487
14.0,14.668634200000042,0.3461925983428955,0.5256178379058838,1.0413579225540164,24.055909276008606,11,0.4929391172489351,14.009999999999991,3.016085718930875,0.7259995770377227,1.3091154491320474,7.586099365337315,-0.2785879079910881,1.2026699295514223,1.036433614292538,1.8933898138124148,1.3091085657116406,-2.5397495090393187,0.9370391237529865,14.668634200000042,0.0,6.7900361823007165,3.7122356297664414,0.3147262572597549,1.9942583063054344,38.524990065119766,0.6039795547625935,0.05555555555555558,0.0021321961620469083,5.2511359060335785,6.7900361823007165,18.081949052684887
14.5,15.168634200000042,0.38905391097068787,0.9745312929153442,1.1081064820289612,30.644510209560394,11,0.5563636493128165,14.509999999999991,1.1205236118164377,0.0,1.5861319763665749,0.25818032629673127,0.41144993600385416,-1.9263778549659742,-0.5917297483698453,-1.7100593418500938,1.2475016807104269,-0.009914535281102088,1.1255664161380572,15.168634200000042,0.0,11.133661265515629,3.5337214048201657,0.4062257389278706,2.1975646754031466,64.2342092652113,1.0938115580485683,0.05341880341880345,0.0021321961620469083,7.333691335167897,11.133661265515629,18.16039047899145
15.0,15.668634200000042,0.36022546887397766,0.5247638821601868,1.7981035053730017,46.19763231277466,11,0.6831125545170005,15.009999999999991,2.425613562019466,0.17647994293805147,1.366370975734165,5.853195125463641,-2.0550671421255458,1.1752726668889006,-0.8167281413668969,1.400293485894828,-2.1063864294871735,0.02710015094618077,0.37267187852238975,15.668634200000042,0.0,16.48805988624501,2.9737831386832028,0.5882594302687675,1.4793153551609115,95.92603468470931,1.707478075137009,0.05341880341880345,0.0064102564102563875,9.730921512464107,16.48805988624501,15.958896956597972
15.5,16.168634200000042,0.3640531003475189,0.4584783911705016,0.7826301634311676,16.625561118125916,10,0.42980048546620275,15.509999999999991,2.7582260562612473,0.4860239137982142,1.791250700559448,-7.320708404737641,1.3984970013319407,-0.9245905174962052,1.2330567467380886,1.4362286838774816,0.9020611109503737,0.12606049538055564,-0.21509884955464215,16.168634200000042,0.0,3.487136623331662,5.371546212535236,0.486995831869119,2.3942258205413136,28.201322775116985,0.49289982670008087,0.05769230769230771,0.0021321961620469083,4.429341417933449,5.371546212535236,18.006468396719193
