contrast,status,replicates,lcb_95,ci_low,ci_high,reason
Full-A2,AVAILABLE,2000,-0.02621859849998779,-0.028652039498959083,0.2223979730021453,
Full-A5,AVAILABLE,2000,-0.017023728506717878,-0.02615617002903395,0.01687663776191731,
DS3:Full-LOS_SHUFFLE,AVAILABLE,2000,0.03702847750360067,0.03603158516114387,0.04796704243011441,
DS3:Full-PER_PRN_TEMPORAL_SHIFT,AVAILABLE,2000,-0.013567801537405258,-0.014546002818264708,0.0034009780091718293,
DS7:Full-LOS_SHUFFLE,AVAILABLE,2000,0.03801106868294516,0.03600702311744576,0.048450073170217274,
DS7:Full-PER_PRN_TEMPORAL_SHIFT,AVAILABLE,2000,-0.019051664842997484,-0.02109555773120152,0.011468985723395497,
