scenario,status,reason,pre_onset_fpr,attack_detection_rate,first_alarm_delay_s,holdout_fpr,sustained_alarm_fraction
cleanStatic,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,
ds3,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,
ds4,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,
ds7,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,
ds8,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,
