scenario,status,reason,delay_chips,doppler_hz,beta_alpha_ratio,grid_boundary,prn_count
cleanStatic,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,
ds3,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,
ds4,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,
ds7,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,
ds8,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,
