campaign,scenario,role,detector,threshold,pre_or_clean_fpr,post_tpr,first_delay_s,first_available_delay_s,three_consecutive_delay_s
texbat_pooled_clean,cleanStatic_resubstitution,clean,global_btail,4.169877716047041,0.0,,,,
texbat_pooled_clean,cleanStatic_resubstitution,clean,quality_conditioned_btail,4.253306007137399,0.0,,,,
texbat_pooled_clean,cleanDynamic_resubstitution,clean,global_btail,4.169877716047041,0.021764032073310423,,,,
texbat_pooled_clean,cleanDynamic_resubstitution,clean,quality_conditioned_btail,4.253306007137399,0.021764032073310423,,,,
texbat_pooled_clean,ds1,attack,global_btail,4.169877716047041,0.0,0.9572649572649573,25.040794759999997,26.040794759999997,26.040794759999997
texbat_pooled_clean,ds1,attack,quality_conditioned_btail,4.253306007137399,0.0,0.9572649572649573,25.040794759999997,26.040794759999997,26.040794759999997
texbat_pooled_clean,ds2,attack,global_btail,4.169877716047041,0.0,1.0,9.371334480000002,10.371334480000002,10.371334480000002
texbat_pooled_clean,ds2,attack,quality_conditioned_btail,4.253306007137399,0.0,1.0,9.871334480000002,10.871334480000002,10.871334480000002
texbat_pooled_clean,ds3,attack,global_btail,4.169877716047041,0.0,0.9740634005763689,19.45092984,20.45092984,20.45092984
texbat_pooled_clean,ds3,attack,quality_conditioned_btail,4.253306007137399,0.0,0.9740634005763689,19.45092984,20.45092984,20.45092984
texbat_pooled_clean,ds4,attack,global_btail,4.169877716047041,0.0,0.7714285714285715,14.040465319999996,15.040465319999996,15.040465319999996
texbat_pooled_clean,ds4,attack,quality_conditioned_btail,4.253306007137399,0.0,0.7714285714285715,14.040465319999996,15.040465319999996,15.040465319999996
texbat_static_to_dynamic,cleanDynamic_ood,clean,global_btail,1.8367643929297124,0.9278350515463918,,,,
texbat_static_to_dynamic,cleanDynamic_ood,clean,quality_conditioned_btail,1.9578164836838197,0.9003436426116839,,,,
texbat_static_to_dynamic,ds1,attack,global_btail,1.8367643929297124,0.0,0.9615384615384616,19.040794759999997,20.040794759999997,20.040794759999997
texbat_static_to_dynamic,ds1,attack,quality_conditioned_btail,1.9578164836838197,0.0,0.9615384615384616,19.040794759999997,20.040794759999997,20.040794759999997
texbat_static_to_dynamic,ds2,attack,global_btail,1.8367643929297124,0.07100591715976332,1.0,9.371334480000002,10.371334480000002,10.371334480000002
texbat_static_to_dynamic,ds2,attack,quality_conditioned_btail,1.9578164836838197,0.029585798816568046,1.0,9.371334480000002,10.371334480000002,10.371334480000002
texbat_static_to_dynamic,ds3,attack,global_btail,1.8367643929297124,0.005917159763313609,0.984149855907781,14.95092984,15.95092984,15.95092984
texbat_static_to_dynamic,ds3,attack,quality_conditioned_btail,1.9578164836838197,0.0,0.9798270893371758,14.95092984,15.95092984,19.95092984
texbat_static_to_dynamic,ds4,attack,global_btail,1.8367643929297124,0.011904761904761904,0.8,13.540465319999996,14.540465319999996,14.540465319999996
texbat_static_to_dynamic,ds4,attack,quality_conditioned_btail,1.9578164836838197,0.0,0.8,13.540465319999996,14.540465319999996,14.540465319999996
oakbat_cleanstatic_held,held_clean,clean,global_btail,2.135628266299662,0.0,,,,
oakbat_cleanstatic_held,held_clean,clean,quality_conditioned_btail,2.090394460075537,0.0,,,,
oakbat_cleanstatic_held,os1,attack,global_btail,2.135628266299662,0.11057692307692307,0.02865329512893983,0.014105400000005375,1.0141054000000054,1.0141054000000054
oakbat_cleanstatic_held,os1,attack,quality_conditioned_btail,2.090394460075537,0.11057692307692307,0.027220630372492838,0.014105400000005375,1.0141054000000054,1.0141054000000054
oakbat_cleanstatic_held,os2,attack,global_btail,2.135628266299662,0.03365384615384615,1.0,0.017394600000002924,1.017394600000003,1.017394600000003
oakbat_cleanstatic_held,os2,attack,quality_conditioned_btail,2.090394460075537,0.03365384615384615,1.0,0.017394600000002924,1.017394600000003,1.017394600000003
oakbat_cleanstatic_held,os3,attack,global_btail,2.135628266299662,0.125,0.7550143266475645,2.5193644000000006,3.5193644000000006,4.519364400000001
oakbat_cleanstatic_held,os3,attack,quality_conditioned_btail,2.090394460075537,0.12980769230769232,0.7363896848137536,2.5193644000000006,3.5193644000000006,4.519364400000001
oakbat_cleanstatic_held,os4,attack,global_btail,2.135628266299662,0.04326923076923077,1.0,0.013114799999996762,1.0131147999999968,1.0131147999999968
oakbat_cleanstatic_held,os4,attack,quality_conditioned_btail,2.090394460075537,0.04326923076923077,1.0,0.013114799999996762,1.0131147999999968,1.0131147999999968
