case_id,dataset,prn,is_target,delta_bic,requested_delay_chips,recovered_delay_chips,requested_doppler_hz,recovered_doppler_hz
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,11,False,231.6048217001371,0.0,-0.175,0.0,-30.0
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,21,False,553.6594560572412,0.0,0.1,0.0,0.0
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,24,False,-20.091572548728436,0.0,0.025,0.0,0.0
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,27,False,-20.433537129545584,0.0,-0.35,0.0,70.0
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,10,False,1613.5757810364012,-0.05,0.2,5.0,35.0
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,11,True,589.6716455337591,-0.05,-0.025,5.0,0.0
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,21,False,529.8274352224544,-0.05,0.05,5.0,25.0
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,24,False,-19.84907019417733,-0.05,0.1,5.0,35.0
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,27,False,-21.396553937811404,-0.05,-0.325,5.0,50.0
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,10,False,359.82036727434024,0.05,-0.1,25.0,40.0
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,11,False,377.07974172383547,0.05,0.225,25.0,5.0
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,21,True,1174.302165181376,0.05,0.05,25.0,10.0
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,24,False,-20.21572893555276,0.05,0.275,25.0,25.0
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,27,False,-21.234381760004908,0.05,-0.05,25.0,10.0
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,10,False,-17.827933837426826,-0.1,-0.175,50.0,-45.0
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,11,False,-21.12766526103951,-0.1,0.075,50.0,-70.0
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,21,False,-22.603352640289813,-0.1,0.0,50.0,20.0
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,24,True,492.96242566779256,-0.1,-0.1,50.0,50.0
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,27,False,126.79773305216804,-0.1,-0.35,50.0,20.0
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,10,False,-22.41029501054436,0.1,-0.2,-5.0,-65.0
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,11,False,-20.800853392807767,0.1,-0.125,-5.0,-10.0
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,21,False,-21.772269201930612,0.1,0.025,-5.0,25.0
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,24,False,65.33670796826482,0.1,-0.125,-5.0,10.0
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,27,True,565.5732303648256,0.1,0.125,-5.0,-5.0
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,10,True,621.7492891009897,-0.25,-0.225,-25.0,-20.0
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,11,False,126.20442993985489,-0.25,-0.3,-25.0,-65.0
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,21,False,536.0045296913013,-0.25,0.1,-25.0,-40.0
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,24,False,-22.651142206508666,-0.25,-0.3,-25.0,20.0
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,27,False,-21.564676920883358,-0.25,0.05,-25.0,-15.0
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,10,False,959.9658117431682,0.25,0.35,-50.0,-20.0
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,11,True,603.486022782512,0.25,0.25,-50.0,-40.0
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,21,False,607.2419699330349,0.25,0.075,-50.0,-30.0
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,24,False,-20.06566212628968,0.25,-0.05,-50.0,15.0
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,27,False,-19.172410034108907,0.25,-0.05,-50.0,-5.0
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,10,False,352.42785353399813,0.0,-0.125,0.0,15.0
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,11,False,663.7710583014414,0.0,0.075,0.0,-20.0
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,21,True,82.46645898325369,0.0,0.35,0.0,-15.0
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,24,False,-19.8535056298133,0.0,0.075,0.0,0.0
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,27,False,-18.898695875890553,0.0,-0.1,0.0,0.0
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,10,False,-18.50548946345225,-0.05,-0.1,5.0,10.0
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,11,False,-20.544391226721928,-0.05,0.05,5.0,-20.0
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,21,False,-22.160997675266117,-0.05,0.35,5.0,0.0
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,24,True,593.9623517948203,-0.05,-0.05,5.0,5.0
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,27,False,212.39599305135198,-0.05,0.075,5.0,-15.0
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,10,False,-22.580915232189,0.05,0.1,25.0,-60.0
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,11,False,-21.008965155575424,0.05,-0.275,25.0,-30.0
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,21,False,-21.510829992592335,0.05,0.25,25.0,-5.0
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,24,False,41.05681421956979,0.05,-0.125,25.0,40.0
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,27,True,1134.847412421368,0.05,0.0,25.0,-15.0
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,10,True,435.6367818438448,-0.1,-0.1,50.0,55.0
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,11,False,190.07381802028976,-0.1,0.225,50.0,-5.0
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,21,False,631.2325477118138,-0.1,0.15,50.0,45.0
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,24,False,-22.7000231849961,-0.1,-0.325,50.0,-75.0
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,27,False,-21.206762683345005,-0.1,-0.35,50.0,70.0
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,10,False,1370.8124704917427,0.1,0.35,-5.0,25.0
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,11,True,740.5459169968963,0.1,0.075,-5.0,5.0
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,21,False,405.69482897315174,0.1,-0.3,-5.0,5.0
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,24,False,-19.957664024550468,0.1,-0.05,-5.0,10.0
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,27,False,-19.990764206275344,0.1,-0.3,-5.0,-10.0
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,10,False,629.7431446411647,-0.25,0.35,-25.0,-15.0
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,11,False,749.6506761701312,-0.25,-0.1,-25.0,-45.0
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,21,True,1127.750945225358,-0.25,-0.225,-25.0,-10.0
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,24,False,-19.175615213578567,-0.25,0.2,-25.0,25.0
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,27,False,-17.386892427457497,-0.25,0.05,-25.0,-5.0
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,10,False,-18.903722987975925,0.25,0.025,-50.0,-45.0
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,11,False,-21.64618591265753,0.25,0.125,-50.0,-25.0
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,21,False,-22.47785201249644,0.25,-0.175,-50.0,-55.0
