window_mid_s,score_mean,score_quorum_offset_gate,score_low_quorum_persistence_gate,prn_count,base_high_fraction,low_high_fraction,low_high_fraction_roll3
0.5,1.9441842277243777,5.388368455448756,6.2494145123798495,8,0.5,0.625,0.625
1.0,1.4765008788231573,4.453001757646314,5.197126977352104,8,0.5,0.625,0.625
1.5,1.0138150360023235,2.1310661631144674,3.8534949840790222,9,0.2222222222222222,0.4444444444444444,0.5648148148148148
2.0,0.9709296849949488,2.618216141658248,3.4647383485546657,9,0.3333333333333333,0.4444444444444444,0.5046296296296297
2.5,0.9897502090940026,2.6495836818233376,3.0184355646520786,9,0.3333333333333333,0.3333333333333333,0.4074074074074074
3.0,0.9908942213227038,2.6514903688711726,3.020511734993055,9,0.3333333333333333,0.4444444444444444,0.4074074074074074
3.5,1.1049485341181042,3.7098970682362085,3.3239787668853777,10,0.5,0.5,0.4259259259259259
4.0,1.0957082294438438,3.6914164588876877,3.5952791170564335,10,0.5,0.5,0.48148148148148145
4.5,1.0404085391332263,3.0727353704398075,3.411456508990904,10,0.4,0.4,0.4666666666666666
5.0,0.9788930426014808,2.466228868162369,0.9788930426014808,10,0.3,0.3,0.39999999999999997
5.5,0.9273060934002817,1.8982285307603943,0.9273060934002817,10,0.2,0.2,0.3
6.0,0.9231043174701755,1.8923460444582458,0.9231043174701755,10,0.2,0.2,0.2333333333333333
6.5,0.9571525405688007,1.940013556796321,0.9571525405688007,10,0.2,0.2,0.2
7.0,0.9426058956341107,1.919648253887755,0.9426058956341107,10,0.2,0.2,0.2
7.5,0.8946599253909614,1.852523895547346,0.8946599253909614,10,0.2,0.2,0.2
8.0,0.8976678813137948,1.8567350338393127,0.8976678813137948,10,0.2,0.3,0.2333333333333333
8.5,0.9208924491311272,1.8892494287835782,0.9208924491311272,10,0.2,0.4,0.3
9.0,0.909012210599545,1.872617094839363,0.909012210599545,10,0.2,0.3,0.3333333333333333
9.5,0.9045744474244175,1.8664042263941845,0.9045744474244175,10,0.2,0.4,0.3666666666666667
10.0,0.909186005854729,2.3546976093675664,0.909186005854729,10,0.3,0.4,0.3666666666666667
10.5,0.9393084749906391,2.8907552549831506,2.8907552549831506,10,0.4,0.4,0.4
11.0,0.9523028882348342,2.4236846211757346,2.914145198822702,10,0.3,0.4,0.4
11.5,0.9040812343002582,1.8657137280203615,0.9040812343002582,10,0.2,0.3,0.3666666666666667
12.0,0.9194581331957901,2.371133013113264,0.9194581331957901,10,0.3,0.3,0.3333333333333333
12.5,1.005814869129955,2.509303790607928,1.005814869129955,10,0.3,0.4,0.3333333333333333
13.0,1.0575930914703544,2.592148946352567,1.0575930914703544,10,0.3,0.5,0.39999999999999997
13.5,1.0458823966731836,2.064235355342457,3.2523138071232762,10,0.2,0.4,0.43333333333333335
14.0,1.1865414122709566,3.335774542087722,3.69398006372385,10,0.4,0.5,0.46666666666666673
14.5,1.112555018246599,3.725110036493198,3.5509397019434257,10,0.5,0.5,0.46666666666666673
15.0,0.9767713925927529,1.967479949629854,3.2884246923459886,10,0.2,0.4,0.4666666666666666
15.5,0.9203904178595106,1.8885465850033147,3.018062113337753,10,0.2,0.4,0.43333333333333335
16.0,0.9572831248734739,1.9401963748228634,2.9231096247722532,10,0.2,0.4,0.4
16.5,1.0403436921304103,2.5645499074086566,3.072618645834739,10,0.3,0.4,0.4
17.0,1.1309081988088607,2.183271478332405,3.41102863777654,10,0.2,0.5,0.43333333333333335
17.5,1.0778374518836789,2.624539923013886,3.1401074133906226,10,0.3,0.3,0.4000000000000001
18.0,1.0821463939277811,3.1478635090700062,3.1478635090700067,10,0.4,0.4,0.4000000000000001
18.5,1.2493766568675433,4.548628645108595,3.8154615366105835,10,0.6,0.7,0.4666666666666666
19.0,1.3254155796813498,4.715914275298969,4.527553236653546,10,0.6,0.6,0.5666666666666667
19.5,1.1368427130789163,3.2463168835420495,4.301053968773616,10,0.4,0.5,0.6
20.0,1.0748636938233762,2.619781910117402,3.478069808058528,10,0.3,0.3,0.46666666666666673
20.5,1.3084028470284825,3.5551251246512687,3.9295788375883993,10,0.4,0.6,0.4666666666666666
21.0,1.1271802423932027,3.7543604847864054,3.7543604847864054,10,0.5,0.6,0.5
21.5,1.0900335345048506,2.644053655207761,3.8527359713100244,10,0.3,0.4,0.5333333333333333
22.0,1.0370439130108844,2.0518614782152382,3.235815304286984,10,0.2,0.3,0.43333333333333335
22.5,1.0457378436536509,3.082328118576572,1.0457378436536509,10,0.4,0.4,0.3666666666666667
23.0,1.0012563743398841,3.0022614738117914,1.0012563743398841,10,0.4,0.4,0.3666666666666667
23.5,1.0481124382431906,3.0866023888377434,3.0866023888377434,10,0.4,0.4,0.4
24.0,1.0745649006128979,2.6193038409806366,3.1342168211032164,10,0.3,0.4,0.4
24.5,1.035352752684376,3.063634954831877,3.232658471677502,10,0.4,0.5,0.43333333333333335
25.0,1.1456770440647435,3.2622186793165384,3.438597148920855,10,0.4,0.4,0.4333333333333334
25.5,1.0697362745563344,3.125525294201402,3.296841045838491,10,0.4,0.4,0.43333333333333335
26.0,1.157187280168246,3.282937104302843,3.4600829229807255,10,0.4,0.5,0.43333333333333335
26.5,1.18516638403433,3.87033276806866,3.6913216757997054,10,0.5,0.5,0.46666666666666673
27.0,1.1063421080044216,3.712684216008843,3.712684216008843,10,0.5,0.5,0.5
27.5,0.9002399876173331,2.340383980187733,3.140463976060177,10,0.3,0.4,0.4666666666666666
28.0,1.1235124044242795,2.697619847078847,1.1235124044242795,10,0.3,0.3,0.39999999999999997
28.5,1.1078053388203755,3.194049609876676,1.1078053388203755,10,0.4,0.4,0.3666666666666667
29.0,1.069646672468949,3.1253640104441085,3.125364010444109,10,0.4,0.5,0.4000000000000001
29.5,1.1152164426866646,2.6843463082986636,3.2073895968359967,10,0.3,0.3,0.4000000000000001
30.0,1.1849999376969687,3.3329998878545437,3.332999887854544,10,0.4,0.4,0.4000000000000001
30.5,1.1778451561378929,4.391259343503364,3.4986442914574,10,0.6,0.6,0.43333333333333335
31.0,1.1104136570378715,3.1987445826681693,3.894854891211601,10,0.4,0.6,0.5333333333333333
31.5,1.3771573270520503,4.254314654104101,4.637935631044375,10,0.5,0.5,0.5666666666666668
32.0,1.3832213305357532,3.689798394964356,4.458657416440556,10,0.4,0.5,0.5333333333333333
32.5,1.2549905856563477,2.9079849370501565,3.8263151322689386,10,0.3,0.4,0.4666666666666666
33.0,1.1473434107525429,3.2652181393545776,3.4417077000714134,10,0.4,0.4,0.43333333333333335
33.5,1.1641404897034047,3.2954528814661286,3.4730622474463555,10,0.4,0.5,0.43333333333333335
34.0,1.130013002392505,3.76002600478501,3.584691804625509,10,0.5,0.5,0.4666666666666666
34.5,1.15878409010661,3.81756818021322,3.994820452886994,10,0.5,0.6,0.5333333333333333
35.0,1.1913956341103618,3.8827912682207235,4.062217643828081,10,0.5,0.5,0.5333333333333333
35.5,0.9464964525843312,2.41439432413493,3.22989314166304,10,0.3,0.3,0.4666666666666666
36.0,0.9221461000513184,1.8910045400718458,0.9221461000513184,10,0.2,0.3,0.3666666666666667
36.5,1.2677945663834764,3.482030219490258,1.2677945663834764,10,0.4,0.4,0.3333333333333333
37.0,1.3050122878660164,3.5490221181588297,1.3050122878660164,10,0.4,0.4,0.3666666666666667
37.5,1.1087791507867246,3.195802471416105,3.195802471416105,10,0.4,0.4,0.4
38.0,1.1166041043126098,3.7332082086252196,3.384327661383538,10,0.5,0.5,0.43333333333333335
38.5,1.2564758968600178,3.4616566143480325,3.6454216741387,10,0.4,0.4,0.43333333333333335
39.0,1.0203279474270135,3.0365903053686245,3.204612168530425,10,0.4,0.4,0.43333333333333335
39.5,1.0990671669337786,3.698134333867557,3.351592044943054,10,0.5,0.5,0.43333333333333335
40.0,1.1740184838623895,3.3132332709523014,3.6697690688006195,10,0.4,0.5,0.4666666666666666
40.5,1.2230485480514888,3.40148738649268,3.9460970961029775,10,0.4,0.5,0.5
41.0,1.27639194018487,3.4975054923327664,3.867691084357415,10,0.4,0.4,0.4666666666666666
41.5,1.4096406547579996,4.319281309515999,4.125305265865466,10,0.5,0.5,0.4666666666666666
42.0,1.2610519739822865,4.57431434276103,4.022103947964573,10,0.6,0.6,0.5
42.5,1.12430294807749,3.2237453065394823,3.9235594260268125,10,0.4,0.5,0.5333333333333333
43.0,1.0884608773678202,3.1592295792620764,3.849485813226828,10,0.4,0.5,0.5333333333333333
43.5,1.0458194415000872,3.0824749947001573,3.5916388830001744,10,0.4,0.5,0.5
44.0,1.10685178004058,2.670962848064928,3.5399134414117874,10,0.3,0.4,0.4666666666666666
44.5,1.0024412357456638,2.503905977193062,1.0024412357456638,10,0.3,0.3,0.39999999999999997
45.0,1.0166610008949266,2.5266576014318827,1.0166610008949266,10,0.3,0.3,0.3333333333333333
45.5,1.1240412961898218,2.698466073903715,1.1240412961898218,10,0.3,0.5,0.3666666666666667
46.0,1.2648318584758003,3.476697345256441,1.2648318584758003,10,0.4,0.4,0.39999999999999997
46.5,1.1519552633534638,2.743128421365542,1.1519552633534638,10,0.3,0.3,0.39999999999999997
47.0,1.1075514601795768,3.1935926283232385,3.36742939233521,10,0.4,0.6,0.43333333333333335
47.5,1.0879224237335088,3.1582603627203163,3.33078852430255,10,0.4,0.4,0.43333333333333335
48.0,1.2271042053428958,3.4087875696172127,3.9542084106857915,10,0.4,0.5,0.5
48.5,1.2959677798611264,4.091935559722253,4.278333411712994,10,0.5,0.7,0.5333333333333333
49.0,1.0149828754894223,3.0269691758809607,3.6976312760114727,10,0.4,0.4,0.5333333333333333
49.5,1.0031943348883454,2.5051109358213526,3.5063886697766913,10,0.3,0.4,0.5000000000000001
50.0,1.1618702721272538,2.758992435403606,3.291366489829057,10,0.3,0.4,0.4
50.5,1.2373542235358308,3.4272376023644955,3.609727883933551,10,0.4,0.5,0.4333333333333334
51.0,1.1233746958905058,2.697399513424809,3.396966098995611,10,0.3,0.4,0.4333333333333334
51.5,1.298159504199689,4.096319008399378,4.096319008399378,10,0.5,0.6,0.5
52.0,1.0681696328780073,3.6363392657560145,3.6363392657560145,10,0.5,0.5,0.5
52.5,1.0357825777987846,3.571565155597569,3.7406173274508214,10,0.5,0.5,0.5333333333333333
53.0,1.1204591577795608,2.6927346524472973,3.5662210383738184,10,0.3,0.4,0.46666666666666673
53.5,1.1395691161497161,3.7791382322994322,3.603166957889451,10,0.5,0.5,0.46666666666666673
54.0,1.276444487056656,3.497600076701981,3.8677926749762017,10,0.4,0.5,0.46666666666666673
54.5,1.38941564420326,4.27883128840652,4.47145899802007,10,0.5,0.6,0.5333333333333333
55.0,1.2696448471015085,2.9314317553624134,4.2239326840097835,10,0.3,0.5,0.5333333333333333
55.5,1.2516430407766934,3.7531367142100507,4.270112073386278,11,0.45454545454545453,0.5454545454545454,0.5484848484848485
56.0,1.2741273751240938,4.300448147986741,4.21638368207389,11,0.5454545454545454,0.5454545454545454,0.5303030303030303
56.5,1.3153206395965567,4.386579519156436,4.386579519156436,11,0.5454545454545454,0.5454545454545454,0.5454545454545454
57.0,1.2361577364986167,4.221057085406198,4.386884827012175,11,0.5454545454545454,0.6363636363636364,0.5757575757575758
57.5,1.1676687181325607,4.562883450301274,4.40120655829324,11,0.6363636363636364,0.6363636363636364,0.6060606060606061
58.0,1.3190468776103013,5.932032677336249,5.248627373673145,11,0.8181818181818182,0.8181818181818182,0.6969696969696969
