condition_id,geometry_id,distance_m,final_advantage_db,target_offset_enu_m,transition_seconds,distance_chips,pull_off_rate_mps,comparison_start_seconds,spoof_bin_count,multipath_bin_count,minimum_spoof_prn_count,minimum_multipath_prn_count,serial_bin_auc,spoof_median_clock_centered_residual,multipath_median_clock_centered_residual,multipath_minus_spoof_median_residual,median_estimated_displacement_norm_chips,median_absolute_direction_cosine,template_delay_edge_fraction,median_template_distance,delay_estimate_count,aperture_taps
denver-static-pneg6-d040,denver-static,40.0,-6.0,"[32.0, 24.0, 0.0]",2.0,0.13649442775508383,20.0,18.0,12,12,11,11,0.8958333333333334,0.4256053690787417,0.8947865261331371,0.46918115705439545,0.1796532734063957,0.6251577109971358,0.0,0.05853410467022951,132,7
denver-static-ppos3-d040,denver-static,40.0,3.0,"[32.0, 24.0, 0.0]",2.0,0.13649442775508383,20.0,18.0,12,12,11,11,0.9305555555555556,0.44035884520749424,0.8947865261331371,0.4544276809256429,0.18561658804895126,0.8080154959899233,0.0,0.04641370369639605,133,7
denver-static-pneg6-d060,denver-static,60.0,-6.0,"[48.0, 36.0, 0.0]",3.0,0.20474164163262573,20.0,18.0,12,12,11,11,0.8958333333333334,0.3715300296484505,0.8947865261331371,0.5232564964846866,0.17431318626507297,0.722376992034554,0.0,0.054653379532889436,132,7
denver-static-ppos3-d060,denver-static,60.0,3.0,"[48.0, 36.0, 0.0]",3.0,0.20474164163262573,20.0,18.0,12,12,11,11,1.0,0.21456836743827168,0.8947865261331371,0.6802181586948655,0.26316352490882056,0.654600126240637,0.0,0.041448885892104756,132,7
denver-static-pneg6-d100,denver-static,100.0,-6.0,"[80.0, 60.0, 0.0]",5.0,0.34123606938770956,20.0,18.0,12,12,11,11,1.0,0.16598044785189436,0.8947865261331371,0.7288060782812428,0.3099740177794642,0.917873375600607,0.0,0.05669090134826231,132,7
denver-static-ppos3-d100,denver-static,100.0,3.0,"[80.0, 60.0, 0.0]",5.0,0.34123606938770956,20.0,18.0,12,12,11,11,1.0,0.1016185810061937,0.8947865261331371,0.7931679451269434,0.37144042473914174,0.9687187392626162,0.0,0.04512697044604274,132,7
denver-static-pneg6-d240,denver-static,240.0,-6.0,"[192.0, 144.0, 0.0]",12.0,0.8189665665305029,20.0,18.0,12,12,11,11,1.0,0.1343386188928795,0.8947865261331371,0.7604479072402577,0.5033383197679346,0.8636827319274188,0.0,0.06335798882548486,132,7
denver-static-ppos3-d240,denver-static,240.0,3.0,"[192.0, 144.0, 0.0]",12.0,0.8189665665305029,20.0,18.0,12,12,11,11,1.0,0.07200941836365848,0.8947865261331371,0.8227771077694787,0.5451902137517972,0.9373292555647792,0.10606060606060606,0.05901346405537535,132,7
seoul-static-pneg6-d040,seoul-static,40.0,-6.0,"[32.0, 24.0, 0.0]",2.0,0.13649442775508383,20.0,18.0,12,12,9,10,0.5972222222222222,0.7165246752336523,0.8282487396627614,0.1117240644291091,0.15701224244404494,0.19888631913552385,0.0,0.03897081242200172,119,7
seoul-static-ppos3-d040,seoul-static,40.0,3.0,"[32.0, 24.0, 0.0]",2.0,0.13649442775508383,20.0,18.0,12,12,10,10,0.5208333333333334,0.807289196356114,0.8282487396627614,0.0209595433066474,0.12582536197780414,0.5495961405351222,0.0,0.030036254292065537,120,7
seoul-static-pneg6-d060,seoul-static,60.0,-6.0,"[48.0, 36.0, 0.0]",3.0,0.20474164163262573,20.0,18.0,12,12,10,10,1.0,0.2672699826773399,0.8282487396627614,0.5609787569854214,0.20312074303873773,0.8092596356208719,0.0,0.04542478406225739,120,7
seoul-static-ppos3-d060,seoul-static,60.0,3.0,"[48.0, 36.0, 0.0]",3.0,0.20474164163262573,20.0,18.0,12,12,10,10,1.0,0.19934690541004568,0.8282487396627614,0.6289018342527157,0.23563047863910214,0.8242607312882955,0.0,0.03490155587632061,120,7
seoul-static-pneg6-d100,seoul-static,100.0,-6.0,"[80.0, 60.0, 0.0]",5.0,0.34123606938770956,20.0,18.0,12,12,10,10,1.0,0.07495446666295827,0.8282487396627614,0.7532942729998031,0.3532368001551146,0.9150394294744086,0.0,0.04867011345931485,120,7
seoul-static-ppos3-d100,seoul-static,100.0,3.0,"[80.0, 60.0, 0.0]",5.0,0.34123606938770956,20.0,18.0,12,12,10,10,1.0,0.025043385641300896,0.8282487396627614,0.8032053540214604,0.3333887340646984,0.988100159420675,0.0,0.04775850770464049,120,7
seoul-static-pneg6-d240,seoul-static,240.0,-6.0,"[192.0, 144.0, 0.0]",12.0,0.8189665665305029,20.0,18.0,12,12,10,10,1.0,0.1099734618932757,0.8282487396627614,0.7182752777694856,0.5369395400808368,0.9806462771873847,0.058333333333333334,0.05063778407844689,120,7
seoul-static-ppos3-d240,seoul-static,240.0,3.0,"[192.0, 144.0, 0.0]",12.0,0.8189665665305029,20.0,18.0,12,12,10,10,1.0,0.07332006067758914,0.8282487396627614,0.7549286789851722,0.598048079505361,0.975382111190909,0.16666666666666666,0.04438940336017643,120,7
tokyo-straight-pneg6-d040,tokyo-straight,40.0,-6.0,"[32.0, 24.0, 0.0]",2.0,0.13649442775508383,20.0,18.0,12,12,9,8,0.5833333333333333,0.2816684595948281,0.35263586189279533,0.07096740229796722,0.2049643144009598,0.7926676374426815,0.0,0.06324024551483372,108,7
tokyo-straight-ppos3-d040,tokyo-straight,40.0,3.0,"[32.0, 24.0, 0.0]",2.0,0.13649442775508383,20.0,18.0,12,12,9,8,0.8402777777777778,0.08093329519201896,0.35263586189279533,0.27170256670077636,0.27872782307076194,0.8755852607634214,0.0,0.05796266561738799,108,7
tokyo-straight-pneg6-d060,tokyo-straight,60.0,-6.0,"[48.0, 36.0, 0.0]",3.0,0.20474164163262573,20.0,18.0,12,12,9,8,0.47916666666666663,0.3638936871560077,0.35263586189279533,-0.01125782526321234,0.19159519157078486,0.7272833427485419,0.0,0.04445036839708076,108,7
