scenario,role,detector,threshold,pre_or_clean_fpr,flag_count,post_tpr,first_delay_s,three_consecutive_delay_s
held_clean,clean,matched_global_conformal,4.22157915124175,0.029411764705882353,2,,,
held_clean,clean,receiver_state_conformal,3.8785872788928217,0.014705882352941176,1,,,
ds4,attack,matched_global_conformal,4.22157915124175,0.0,0,0.8235294117647058,13.416761919999999,14.416761919999999
ds4,attack,receiver_state_conformal,3.8785872788928217,0.0,0,0.7941176470588235,13.916761919999999,14.916761919999999
ds8,attack,matched_global_conformal,4.22157915124175,0.0,0,0.833810888252149,68.29139563999999,69.29139563999999
ds8,attack,receiver_state_conformal,3.8785872788928217,0.0,0,0.830945558739255,69.29139563999999,70.29139563999999
