pair_id,condition,bin_index,prn_count,absolute_centered_correlation,truth_direction_r2,signed_affine_slope,estimated_to_truth_spread_ratio,median_template_distance,partial_f_p_value,raw_spoof_alarm
ccfs-s1-a-tokyo,carrier-coupled,12,11,0.972549750881358,0.9458530179393915,0.9910445079407464,1.0190167721935333,0.051247388594546556,4.6184482214819416e-05,True
ccfs-s1-a-tokyo,carrier-coupled,13,11,0.9500151908446252,0.9025288628355496,1.018319477281068,1.0718980992037779,0.05057017506102944,4.987075088134372e-05,True
ccfs-s1-a-tokyo,carrier-coupled,14,11,0.9513884632049312,0.9051400079194407,0.9982454828292565,1.0492511959483708,0.05393124948892329,0.00034656202391299004,True
ccfs-s1-a-tokyo,carrier-coupled,15,11,0.9741944717654,0.9490548688182667,0.985328120671863,1.0114285691708833,0.05166842550814797,2.351364755075779e-05,True
ccfs-s1-a-tokyo,carrier-coupled,16,11,0.9096614724351962,0.8274839944329693,1.024819113120004,1.126593951897871,0.05134692130110019,0.0031347069591851893,True
ccfs-s1-a-tokyo,carrier-coupled,17,11,0.9677438173961592,0.9365280961084907,1.0718529944180888,1.107579273719412,0.05097749212758719,7.498147114849639e-05,True
ccfs-s1-a-tokyo,carrier-coupled,18,11,0.9703744128086103,0.9416265010336552,1.0527025554614333,1.0848416256303957,0.0520303512299773,4.447513401899306e-05,True
ccfs-s1-a-tokyo,carrier-coupled,19,10,0.979858729491471,0.9601231297606397,1.0010844358512334,1.021662006696392,0.05018418512119617,6.904720402228656e-05,True
ccfs-s1-a-tokyo,carrier-coupled,20,10,0.9520705200051774,0.906438275062929,0.9562468482411913,1.0043865744692853,0.045665870340471405,0.0007505681980912211,True
ccfs-s1-a-tokyo,carrier-coupled,21,10,0.8990003107758552,0.8082015587750842,0.9721217252740612,1.08133636175843,0.04518609562204012,0.003516844918761896,True
ccfs-s1-a-tokyo,carrier-coupled,22,10,0.8902944636854142,0.7926242320688993,0.8547226892346617,0.9600449335565877,0.04608824631366275,0.013153040975003484,True
ccfs-s1-a-tokyo,carrier-coupled,23,10,0.9405751475045606,0.8846816081032259,0.9501181731077671,1.0101459470075573,0.050001229474673003,0.0010695108995968055,True
ccfs-s1-a-tokyo,carrier-coupled,24,10,0.9154492134226443,0.8380472623561381,0.9699310416602306,1.0595137637771208,0.04847529913418994,0.0014507865169473976,True
ccfs-s1-a-tokyo,carrier-coupled,25,10,0.9494265236271543,0.9014107237667434,0.9731200535140078,1.0249556224702208,0.046864250105046315,0.0011496454071416938,True
ccfs-s1-a-tokyo,carrier-coupled,26,10,0.8942964470425022,0.799766135192843,0.9658649940630696,1.0800277662482607,0.04740786921558812,0.009890353264788133,True
ccfs-s1-a-tokyo,carrier-coupled,27,10,0.9576331704956871,0.9170612892336217,0.9608260074308296,1.0033340918354885,0.05292145802915855,0.00021363192973986213,True
ccfs-s1-a-tokyo,carrier-coupled,28,11,0.9075670917334383,0.8236780259974912,0.9125739409054096,1.0055167813130028,0.05610915490859897,0.0018624940537729836,True
ccfs-s1-a-tokyo,carrier-coupled,29,11,0.9666758965073299,0.9344622888882499,1.01498350978909,1.0499729159031475,0.05441152837905339,0.00016075741861163698,True
ccfs-s1-a-tokyo,doppler-locked,12,11,0.5907005293333911,0.34892711535474846,0.5356117519927965,0.9067399221687465,0.03852464559100995,0.07105831062652654,False
ccfs-s1-a-tokyo,doppler-locked,13,11,0.8749839191293415,0.765596858734942,0.8337461810830944,0.952870290362272,0.038565399975323655,0.002948047339868646,True
ccfs-s1-a-tokyo,doppler-locked,14,11,0.69113550180139,0.4776682818502592,0.7219811776732649,1.0446304317915636,0.03980755489993415,0.0054050782495788825,True
ccfs-s1-a-tokyo,doppler-locked,15,11,0.1425404515705097,0.020317780333924822,0.12479855383787113,0.8755307876665294,0.04067507400446175,0.9773821807234113,False
ccfs-s1-a-tokyo,doppler-locked,16,11,0.6062099520059614,0.36749050591107,0.5800773088875975,0.9568917616217112,0.03841139369369545,0.09359887539805747,False
ccfs-s1-a-tokyo,doppler-locked,17,11,0.557600777830961,0.31091862743769266,0.4647864359699522,0.8335469648696479,0.04320832881268932,0.33395185309984166,False
ccfs-s1-a-tokyo,doppler-locked,18,11,0.5068032745328256,0.2568495590771946,0.5950401086529786,1.1741047040421955,0.04173771915683516,0.23648346317779007,False
ccfs-s1-a-tokyo,doppler-locked,19,11,0.6221738810704547,0.38710033828627227,0.5644106307361875,0.9071589918964693,0.03892247623763837,0.2031036464917198,False
