pair_id,condition,bin_index,prn_count,median_quadrature_fraction,median_cn0_db_hz
ccfs-s1-a-tokyo,carrier-coupled,12,11,0.14482001354335203,47.145708084106445
ccfs-s1-a-tokyo,carrier-coupled,13,11,0.12739529317055145,48.49553871154785
ccfs-s1-a-tokyo,carrier-coupled,14,11,0.12832376666220796,49.15251922607422
ccfs-s1-a-tokyo,carrier-coupled,15,11,0.09990255934034196,48.43031692504883
ccfs-s1-a-tokyo,carrier-coupled,16,11,0.11398390383192539,48.335763931274414
ccfs-s1-a-tokyo,carrier-coupled,17,11,0.12724707742750357,47.75106239318848
ccfs-s1-a-tokyo,carrier-coupled,18,11,0.11523713670509886,47.16519355773926
ccfs-s1-a-tokyo,carrier-coupled,19,10,0.08994076173365984,48.55953598022461
ccfs-s1-a-tokyo,carrier-coupled,20,10,0.07097003911292257,48.41646480560303
ccfs-s1-a-tokyo,carrier-coupled,21,10,0.10067049793954647,48.82806396484375
ccfs-s1-a-tokyo,carrier-coupled,22,10,0.08710429525834476,48.55585289001465
ccfs-s1-a-tokyo,carrier-coupled,23,10,0.07520741629673518,48.79165840148926
ccfs-s1-a-tokyo,carrier-coupled,24,10,0.05037162154476105,47.91404724121094
ccfs-s1-a-tokyo,carrier-coupled,25,10,0.07260917760688414,48.216535568237305
ccfs-s1-a-tokyo,carrier-coupled,26,10,0.07484603232726071,48.008949279785156
ccfs-s1-a-tokyo,carrier-coupled,27,10,0.07309443595881875,47.925944328308105
ccfs-s1-a-tokyo,carrier-coupled,28,11,0.13354978432093081,46.430076599121094
ccfs-s1-a-tokyo,carrier-coupled,29,11,0.0983122505132948,46.64884567260742
ccfs-s1-a-tokyo,doppler-locked,12,11,0.054250802030385285,47.369394302368164
ccfs-s1-a-tokyo,doppler-locked,13,11,0.036228201804676535,47.48514175415039
ccfs-s1-a-tokyo,doppler-locked,14,11,0.044098524934601174,47.92040252685547
ccfs-s1-a-tokyo,doppler-locked,15,11,0.06004770395518442,48.074092864990234
ccfs-s1-a-tokyo,doppler-locked,16,11,0.03592692284675523,48.35531234741211
ccfs-s1-a-tokyo,doppler-locked,17,11,0.05089634746384732,47.735008239746094
ccfs-s1-a-tokyo,doppler-locked,18,11,0.04337012318766795,47.700992584228516
ccfs-s1-a-tokyo,doppler-locked,19,11,0.05513093774213188,47.92488479614258
ccfs-s1-a-tokyo,doppler-locked,20,11,0.07308610737080436,48.12601089477539
ccfs-s1-a-tokyo,doppler-locked,21,11,0.04778199034690878,48.82134246826172
ccfs-s1-a-tokyo,doppler-locked,22,11,0.041759186506202424,48.07637596130371
