pair_id,condition,bin_index,prn,sampled_epoch_count,median_quadrature_fraction,median_cn0_db_hz
ccfs-s1-a-tokyo,carrier-coupled,25,G32,2,0.030088966608141497,47.98478317260742
ccfs-s1-a-tokyo,carrier-coupled,26,G32,3,0.09129842404906317,47.465476989746094
ccfs-s1-a-tokyo,carrier-coupled,27,G32,2,0.04201136863612232,47.49017143249512
ccfs-s1-a-tokyo,carrier-coupled,28,G32,3,0.23086013727978677,45.854225158691406
ccfs-s1-a-tokyo,carrier-coupled,29,G32,2,0.31758112098982716,43.685726165771484
ccfs-s1-a-tokyo,carrier-coupled,12,G05,50,0.2837176863275285,39.72769546508789
ccfs-s1-a-tokyo,carrier-coupled,13,G05,4,0.15095984649381544,39.59016418457031
ccfs-s1-a-tokyo,carrier-coupled,14,G05,3,0.2676916044231634,39.650489807128906
ccfs-s1-a-tokyo,carrier-coupled,15,G05,2,0.3573350543441386,39.487972259521484
ccfs-s1-a-tokyo,carrier-coupled,16,G05,3,0.26562322409615846,40.39845657348633
ccfs-s1-a-tokyo,carrier-coupled,17,G05,2,0.2935356967322843,39.51899719238281
ccfs-s1-a-tokyo,carrier-coupled,18,G05,3,0.26621562282481614,39.2353401184082
ccfs-s1-a-tokyo,carrier-coupled,19,G05,2,0.22342985423711553,41.40815544128418
ccfs-s1-a-tokyo,carrier-coupled,20,G05,3,0.1656539385726949,44.7965202331543
ccfs-s1-a-tokyo,carrier-coupled,21,G05,2,0.1039857810512157,45.45380401611328
ccfs-s1-a-tokyo,carrier-coupled,22,G05,3,0.11633562199771404,45.75748062133789
ccfs-s1-a-tokyo,carrier-coupled,23,G05,2,0.10628427657299697,45.71779441833496
ccfs-s1-a-tokyo,carrier-coupled,24,G05,3,0.18230938045216033,46.28273391723633
ccfs-s1-a-tokyo,carrier-coupled,25,G05,2,0.1519002399173805,44.27476119995117
ccfs-s1-a-tokyo,carrier-coupled,26,G05,3,0.111761815026955,44.087921142578125
ccfs-s1-a-tokyo,carrier-coupled,27,G05,2,0.11490029140400851,43.78606414794922
ccfs-s1-a-tokyo,carrier-coupled,28,G05,3,0.11363371787102203,45.063114166259766
ccfs-s1-a-tokyo,carrier-coupled,29,G05,2,0.0983122505132948,44.917205810546875
ccfs-s1-a-tokyo,carrier-coupled,12,G25,14,0.09164538367142164,44.819236755371094
ccfs-s1-a-tokyo,carrier-coupled,13,G25,2,0.08437509866103594,46.27538299560547
ccfs-s1-a-tokyo,carrier-coupled,14,G25,3,0.12450545100966684,46.755218505859375
ccfs-s1-a-tokyo,carrier-coupled,15,G25,2,0.094979854763475,45.18906784057617
ccfs-s1-a-tokyo,carrier-coupled,16,G25,3,0.08737341865760426,45.358154296875
ccfs-s1-a-tokyo,carrier-coupled,17,G25,2,0.0805858091454899,45.33605194091797
ccfs-s1-a-tokyo,carrier-coupled,18,G25,3,0.17425367442061973,43.90632247924805
ccfs-s1-a-tokyo,carrier-coupled,19,G25,2,0.09115390908683726,44.630027770996094
ccfs-s1-a-tokyo,carrier-coupled,20,G25,3,0.04128886313726033,45.08610534667969
ccfs-s1-a-tokyo,carrier-coupled,21,G25,2,0.12394673147031071,44.66886329650879
ccfs-s1-a-tokyo,carrier-coupled,22,G25,3,0.11348536859271298,43.832008361816406
ccfs-s1-a-tokyo,carrier-coupled,23,G25,2,0.08137113882708173,43.855159759521484
ccfs-s1-a-tokyo,carrier-coupled,24,G25,3,0.08344840126459895,44.270992279052734
ccfs-s1-a-tokyo,carrier-coupled,25,G25,2,0.07620323334888077,44.693220138549805
ccfs-s1-a-tokyo,carrier-coupled,26,G25,3,0.15119598114124685,44.406951904296875
ccfs-s1-a-tokyo,carrier-coupled,27,G25,2,0.1186122650125025,43.89931106567383
ccfs-s1-a-tokyo,carrier-coupled,28,G25,3,0.13354978432093081,44.81190490722656
ccfs-s1-a-tokyo,carrier-coupled,29,G25,2,0.07440133923545614,45.791744232177734
ccfs-s1-a-tokyo,carrier-coupled,12,G18,50,0.09464594993364099,47.9796142578125
ccfs-s1-a-tokyo,carrier-coupled,13,G18,3,0.11571659941449355,48.4265022277832
ccfs-s1-a-tokyo,carrier-coupled,14,G18,2,0.0735540125589719,50.301889419555664
ccfs-s1-a-tokyo,carrier-coupled,15,G18,3,0.05385647445113464,50.5582160949707
ccfs-s1-a-tokyo,carrier-coupled,16,G18,2,0.05772016655991122,50.737281799316406
