scenario,model,operating_point,diagnostic_only,seed,roc_auc,stable_pre_fpr,post_detection,converged,source_checkpoint,source_file,seed_count,roc_auc_mean,roc_auc_std,all_members_converged,nonconverged_excluded
DS2,Complex EPL,q99,false,202,0.9403289557567257,0.1111111111111111,0.9831697054698457,true,models/complex_EPL_seed202.pt,per_epoch/DS2.csv,,,,,
DS2,Complex EPL,q995,true,202,0.9403289557567257,0.1111111111111111,0.9831697054698457,true,models/complex_EPL_seed202.pt,per_epoch/DS2.csv,,,,,
DS2,Magnitude EPL,q99,false,202,0.9912235964129372,0.050505050505050504,0.9775596072931276,true,models/magnitude_EPL_seed202.pt,per_epoch/DS2.csv,,,,,
DS2,Magnitude EPL,q995,true,202,0.9912235964129372,0.0,0.9747545582047685,true,models/magnitude_EPL_seed202.pt,per_epoch/DS2.csv,,,,,
DS2,Complex all9,q99,false,303,0.9573080028900506,0.08080808080808081,0.9817671809256662,true,models/complex_all9_seed303.pt,per_epoch/DS2.csv,,,,,
DS2,Complex all9,q995,true,303,0.9573080028900506,0.0707070707070707,0.9803646563814866,true,models/complex_all9_seed303.pt,per_epoch/DS2.csv,,,,,
DS2,Magnitude all9,q99,false,303,0.9932352982843866,0.0,0.9761570827489481,true,models/magnitude_all9_seed303.pt,per_epoch/DS2.csv,,,,,
DS2,Magnitude all9,q995,true,303,0.9932352982843866,0.0,0.9761570827489481,true,models/magnitude_all9_seed303.pt,per_epoch/DS2.csv,,,,,
DS2,Complex EPL,q99,false,303,0.9644906285860002,0.06060606060606061,0.9803646563814866,true,models/complex_EPL_seed303.pt,per_epoch/DS2.csv,,,,,
DS2,Complex EPL,q995,true,303,0.9644906285860002,0.06060606060606061,0.9803646563814866,true,models/complex_EPL_seed303.pt,per_epoch/DS2.csv,,,,,
DS2,Magnitude EPL,q99,false,303,0.9904231657387338,0.06060606060606061,0.9761570827489481,true,models/magnitude_EPL_seed303.pt,per_epoch/DS2.csv,,,,,
DS2,Magnitude EPL,q995,true,303,0.9904231657387338,0.0,0.9747545582047685,true,models/magnitude_EPL_seed303.pt,per_epoch/DS2.csv,,,,,
DS3,Complex all9,q99,false,101,0.92531760178819,0.12121212121212122,0.9593837535014006,true,models/complex_all9_seed101.pt,per_epoch/DS3.csv,,,,,
DS3,Complex all9,q995,true,101,0.92531760178819,0.12121212121212122,0.9593837535014006,true,models/complex_all9_seed101.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude all9,q99,false,101,0.9752779899838724,0.010101010101010102,0.9467787114845938,true,models/magnitude_all9_seed101.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude all9,q995,true,101,0.9752779899838724,0.010101010101010102,0.9467787114845938,true,models/magnitude_all9_seed101.pt,per_epoch/DS3.csv,,,,,
DS3,Complex EPL,q99,false,101,0.9437087966499731,0.10101010101010101,0.9537815126050421,true,models/complex_EPL_seed101.pt,per_epoch/DS3.csv,,,,,
DS3,Complex EPL,q995,true,101,0.9437087966499731,0.10101010101010101,0.9537815126050421,true,models/complex_EPL_seed101.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude EPL,q99,false,101,0.9787652434711258,0.020202020202020204,0.9481792717086834,true,models/magnitude_EPL_seed101.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude EPL,q995,true,101,0.9787652434711258,0.0,0.9467787114845938,true,models/magnitude_EPL_seed101.pt,per_epoch/DS3.csv,,,,,
DS3,Complex all9,q99,false,202,0.9248366013071896,0.12121212121212122,0.957983193277311,true,models/complex_all9_seed202.pt,per_epoch/DS3.csv,,,,,
DS3,Complex all9,q995,true,202,0.9248366013071896,0.12121212121212122,0.957983193277311,true,models/complex_all9_seed202.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude all9,q99,false,202,0.9740542681719152,0.010101010101010102,0.9467787114845938,true,models/magnitude_all9_seed202.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude all9,q995,true,202,0.9740542681719152,0.010101010101010102,0.9467787114845938,true,models/magnitude_all9_seed202.pt,per_epoch/DS3.csv,,,,,
DS3,Complex EPL,q99,false,202,0.9208612738024503,0.13131313131313133,0.9551820728291317,true,models/complex_EPL_seed202.pt,per_epoch/DS3.csv,,,,,
DS3,Complex EPL,q995,true,202,0.9208612738024503,0.13131313131313133,0.9551820728291317,true,models/complex_EPL_seed202.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude EPL,q99,false,202,0.9808873044167162,0.030303030303030304,0.9523809523809523,true,models/magnitude_EPL_seed202.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude EPL,q995,true,202,0.9808873044167162,0.0,0.9467787114845938,true,models/magnitude_EPL_seed202.pt,per_epoch/DS3.csv,,,,,
DS3,Complex all9,q99,false,303,0.9345768610474493,0.13131313131313133,0.9565826330532213,true,models/complex_all9_seed303.pt,per_epoch/DS3.csv,,,,,
DS3,Complex all9,q995,true,303,0.9345768610474493,0.10101010101010101,0.9551820728291317,true,models/complex_all9_seed303.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude all9,q99,false,303,0.9739906063435475,0.010101010101010102,0.9467787114845938,true,models/magnitude_all9_seed303.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude all9,q995,true,303,0.9739906063435475,0.010101010101010102,0.9467787114845938,true,models/magnitude_all9_seed303.pt,per_epoch/DS3.csv,,,,,
DS3,Complex EPL,q99,false,303,0.9349871261635968,0.10101010101010101,0.9537815126050421,true,models/complex_EPL_seed303.pt,per_epoch/DS3.csv,,,,,
DS3,Complex EPL,q995,true,303,0.9349871261635968,0.10101010101010101,0.9537815126050421,true,models/complex_EPL_seed303.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude EPL,q99,false,303,0.9790623320035085,0.04040404040404041,0.9509803921568627,true,models/magnitude_EPL_seed303.pt,per_epoch/DS3.csv,,,,,
DS3,Magnitude EPL,q995,true,303,0.9790623320035085,0.0,0.9467787114845938,true,models/magnitude_EPL_seed303.pt,per_epoch/DS3.csv,,,,,
DS7,Complex all9,q99,false,101,0.9364101890756302,0.05042016806722689,0.828125,true,models/complex_all9_seed101.pt,per_epoch/DS7.csv,,,,,
DS7,Complex all9,q995,true,101,0.9364101890756302,0.05042016806722689,0.809375,true,models/complex_all9_seed101.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude all9,q99,false,101,0.9272584033613446,0.008403361344537815,0.646875,true,models/magnitude_all9_seed101.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude all9,q995,true,101,0.9272584033613446,0.008403361344537815,0.646875,true,models/magnitude_all9_seed101.pt,per_epoch/DS7.csv,,,,,
DS7,Complex EPL,q99,false,101,0.9438419117647059,0.07563025210084033,0.890625,true,models/complex_EPL_seed101.pt,per_epoch/DS7.csv,,,,,
DS7,Complex EPL,q995,true,101,0.9438419117647059,0.07563025210084033,0.890625,true,models/complex_EPL_seed101.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude EPL,q99,false,101,0.9431591386554622,0.01680672268907563,0.74375,true,models/magnitude_EPL_seed101.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude EPL,q995,true,101,0.9431591386554622,0.0,0.634375,true,models/magnitude_EPL_seed101.pt,per_epoch/DS7.csv,,,,,
DS7,Complex all9,q99,false,202,0.9363839285714286,0.04201680672268908,0.778125,true,models/complex_all9_seed202.pt,per_epoch/DS7.csv,,,,,
DS7,Complex all9,q995,true,202,0.9363839285714286,0.04201680672268908,0.778125,true,models/complex_all9_seed202.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude all9,q99,false,202,0.9271927521008403,0.008403361344537815,0.646875,true,models/magnitude_all9_seed202.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude all9,q995,true,202,0.9271927521008403,0.008403361344537815,0.628125,true,models/magnitude_all9_seed202.pt,per_epoch/DS7.csv,,,,,
DS7,Complex EPL,q99,false,202,0.9415572478991596,0.09243697478991597,0.903125,true,models/complex_EPL_seed202.pt,per_epoch/DS7.csv,,,,,
DS7,Complex EPL,q995,true,202,0.9415572478991596,0.09243697478991597,0.903125,true,models/complex_EPL_seed202.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude EPL,q99,false,202,0.9387211134453781,0.04201680672268908,0.765625,true,models/magnitude_EPL_seed202.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude EPL,q995,true,202,0.9387211134453781,0.0,0.59375,true,models/magnitude_EPL_seed202.pt,per_epoch/DS7.csv,,,,,
DS7,Complex all9,q99,false,303,0.9352153361344537,0.05042016806722689,0.79375,true,models/complex_all9_seed303.pt,per_epoch/DS7.csv,,,,,
DS7,Complex all9,q995,true,303,0.9352153361344537,0.03361344537815126,0.778125,true,models/complex_all9_seed303.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude all9,q99,false,303,0.9217962184873949,0.008403361344537815,0.64375,true,models/magnitude_all9_seed303.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude all9,q995,true,303,0.9217962184873949,0.008403361344537815,0.6375,true,models/magnitude_all9_seed303.pt,per_epoch/DS7.csv,,,,,
DS7,Complex EPL,q99,false,303,0.9472689075630252,0.06722689075630252,0.8875,true,models/complex_EPL_seed303.pt,per_epoch/DS7.csv,,,,,
DS7,Complex EPL,q995,true,303,0.9472689075630252,0.06722689075630252,0.8875,true,models/complex_EPL_seed303.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude EPL,q99,false,303,0.9421743697478991,0.05042016806722689,0.775,true,models/magnitude_EPL_seed303.pt,per_epoch/DS7.csv,,,,,
DS7,Magnitude EPL,q995,true,303,0.9421743697478991,0.008403361344537815,0.68125,true,models/magnitude_EPL_seed303.pt,per_epoch/DS7.csv,,,,,
DS8,Complex all9,q99,false,101,0.9799220523864142,0.01680672268907563,0.9345403899721448,true,models/complex_all9_seed101.pt,per_epoch/DS8.csv,,,,,
DS8,Complex all9,q995,true,101,0.9799220523864142,0.01680672268907563,0.9345403899721448,true,models/complex_all9_seed101.pt,per_epoch/DS8.csv,,,,,
DS8,Magnitude all9,q99,false,101,0.9728061140890897,0.008403361344537815,0.8565459610027855,true,models/magnitude_all9_seed101.pt,per_epoch/DS8.csv,,,,,
DS8,Magnitude all9,q995,true,101,0.9728061140890897,0.008403361344537815,0.8565459610027855,true,models/magnitude_all9_seed101.pt,per_epoch/DS8.csv,,,,,
DS8,Complex EPL,q99,false,101,0.9537873645279838,0.09243697478991597,0.9623955431754875,true,models/complex_EPL_seed101.pt,per_epoch/DS8.csv,,,,,
DS8,Complex EPL,q995,true,101,0.9537873645279838,0.09243697478991597,0.9623955431754875,true,models/complex_EPL_seed101.pt,per_epoch/DS8.csv,,,,,
DS8,Magnitude EPL,q99,false,101,0.9760012640153555,0.03361344537815126,0.8969359331476323,true,models/magnitude_EPL_seed101.pt,per_epoch/DS8.csv,,,,,
DS8,Magnitude EPL,q995,true,101,0.9760012640153555,0.0,0.8523676880222841,true,models/magnitude_EPL_seed101.pt,per_epoch/DS8.csv,,,,,
DS8,Complex all9,q99,false,202,0.9792724889398656,0.01680672268907563,0.924791086350975,true,models/complex_all9_seed202.pt,per_epoch/DS8.csv,,,,,
DS8,Complex all9,q995,true,202,0.9792724889398656,0.01680672268907563,0.924791086350975,true,models/complex_all9_seed202.pt,per_epoch/DS8.csv,,,,,
DS8,Magnitude all9,q99,false,202,0.9733327871538587,0.008403361344537815,0.8593314763231198,true,models/magnitude_all9_seed202.pt,per_epoch/DS8.csv,,,,,
