representation,objective,seed,epoch,train_loss,validation_loss,validation_tuple_count,validation_chunk_weighting,optimizer,df,optimizer_updates,optimizer_updates_cumulative,all_trainable_gradients_finite_each_update,tuple_batch_sizes,validation_bank_hash,fit_manifest_digest
complex,all9,101,10,0.39090027006254013,0.4490158545665252,12480,exact tuple sum/count,AdamW,4.0,150,1650,true,"[256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,32]",99a341d90bb2b498a9f2a760539b90762257235fdcef53e917333a7e1a24d3c5,8d970a2de3df96187c5aa0acef84506eedb554d5a4f1e912c7d027d382664bc1
complex,all9,101,11,0.39032972386077186,0.44676207365133824,12480,exact tuple sum/count,AdamW,4.0,150,1800,true,"[256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,32]",99a341d90bb2b498a9f2a760539b90762257235fdcef53e917333a7e1a24d3c5,8d970a2de3df96187c5aa0acef84506eedb554d5a4f1e912c7d027d382664bc1
complex,all9,101,12,0.3874296536989204,0.4482768981884687,12480,exact tuple sum/count,AdamW,4.0,150,1950,true,"[256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,32]",99a341d90bb2b498a9f2a760539b90762257235fdcef53e917333a7e1a24d3c5,8d970a2de3df96187c5aa0acef84506eedb554d5a4f1e912c7d027d382664bc1
complex,all9,101,13,0.38695249848273855,0.44962928004753894,12480,exact tuple sum/count,AdamW,4.0,150,2100,true,"[256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,32]",99a341d90bb2b498a9f2a760539b90762257235fdcef53e917333a7e1a24d3c5,8d970a2de3df96187c5aa0acef84506eedb554d5a4f1e912c7d027d382664bc1
complex,all9,101,14,0.3861332325903388,0.4524034983072525,12480,exact tuple sum/count,AdamW,4.0,150,2250,true,"[256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,32]",99a341d90bb2b498a9f2a760539b90762257235fdcef53e917333a7e1a24d3c5,8d970a2de3df96187c5aa0acef84506eedb554d5a4f1e912c7d027d382664bc1
complex,all9,101,15,0.3871628104241476,0.4495009741722009,12480,exact tuple sum/count,AdamW,4.0,150,2400,true,"[256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,32]",99a341d90bb2b498a9f2a760539b90762257235fdcef53e917333a7e1a24d3c5,8d970a2de3df96187c5aa0acef84506eedb554d5a4f1e912c7d027d382664bc1
complex,all9,101,16,0.3853366114417745,0.4577366575216636,12480,exact tuple sum/count,AdamW,4.0,150,2550,true,"[256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,32]",99a341d90bb2b498a9f2a760539b90762257235fdcef53e917333a7e1a24d3c5,8d970a2de3df96187c5aa0acef84506eedb554d5a4f1e912c7d027d382664bc1
complex,all9,101,17,0.38536683239561115,0.4466788929242354,12480,exact tuple sum/count,AdamW,4.0,150,2700,true,"[256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,32]",99a341d90bb2b498a9f2a760539b90762257235fdcef53e917333a7e1a24d3c5,8d970a2de3df96187c5aa0acef84506eedb554d5a4f1e912c7d027d382664bc1
complex,all9,101,18,0.38460909041255237,0.44739461464759633,12480,exact tuple sum/count,AdamW,4.0,150,2850,true,"[256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,32]",99a341d90bb2b498a9f2a760539b90762257235fdcef53e917333a7e1a24d3c5,8d970a2de3df96187c5aa0acef84506eedb554d5a4f1e912c7d027d382664bc1
complex,all9,101,19,0.384436795018045,0.44832747746736573,12480,exact tuple sum/count,AdamW,4.0,150,3000,true,"[256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,32]",99a341d90bb2b498a9f2a760539b90762257235fdcef53e917333a7e1a24d3c5,8d970a2de3df96187c5aa0acef84506eedb554d5a4f1e912c7d027d382664bc1
