scenario,operating_point,threshold,rows,clean_test_fpr,stable_pre_fpr,post_detection,persistent_detection,roc_auc,pr_auc,sustained3_delay_s,model,diagnostic_only,source_file,roc_definition,phase_definition,status,reason,included_in_attack_go
DS2,q99,3.8377044824334807,900,,0.06060606060606061,0.9761570827489481,1.0,0.9906569198294304,0.9987839909036136,10.5,Magnitude EPL,false,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q995,4.836281906951478,900,,0.0,0.9747545582047685,1.0,0.9906569198294304,0.9987839909036136,10.5,Magnitude EPL,true,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q99,1.7035537524611113,900,,0.0,0.9719495091164095,1.0,0.9901398274469804,0.9986998770555121,11.0,B0 Exact,false,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q995,1.7035537524611113,900,,0.0,0.9719495091164095,1.0,0.9901398274469804,0.9986998770555121,11.0,B0 Exact,true,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS3,q99,4.007979690355477,901,,0.13131313131313133,0.957983193277311,1.0,0.9444020032255326,0.9484803349966863,N/A: already alarming in stable-pre,Complex all9,false,per_epoch/DS3.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS3,q995,4.836281906951478,901,,0.08080808080808081,0.9551820728291317,1.0,0.9444020032255326,0.9484803349966863,20.0,Complex all9,true,per_epoch/DS3.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS3,q99,4.143134726391533,901,,0.010101010101010102,0.9467787114845938,1.0,0.9745989304812834,0.9887591365350162,20.0,Magnitude all9,false,per_epoch/DS3.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS3,q995,4.836281906951478,901,,0.010101010101010102,0.9467787114845938,1.0,0.9745989304812834,0.9887591365350162,20.0,Magnitude all9,true,per_epoch/DS3.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS3,q99,3.9120856662048844,901,,0.1111111111111111,0.9551820728291317,1.0,0.9445717681011798,0.9528669901440012,20.0,Complex EPL,false,per_epoch/DS3.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS3,q995,3.956596130413059,901,,0.1111111111111111,0.9551820728291317,1.0,0.9445717681011798,0.9528669901440012,20.0,Complex EPL,true,per_epoch/DS3.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS3,q99,3.8377044824334807,901,,0.030303030303030304,0.9523809523809523,1.0,0.9798899357722887,0.9973779845343103,20.0,Magnitude EPL,false,per_epoch/DS3.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS3,q995,4.836281906951478,901,,0.0,0.9467787114845938,1.0,0.9798899357722887,0.9973779845343103,20.0,Magnitude EPL,true,per_epoch/DS3.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS3,q99,1.7035537524611113,901,,0.0,0.9425770308123249,1.0,0.9606428429957842,0.9949849064624349,21.5,B0 Exact,false,per_epoch/DS3.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS3,q995,1.7035537524611113,901,,0.0,0.9425770308123249,1.0,0.9606428429957842,0.9949849064624349,21.5,B0 Exact,true,per_epoch/DS3.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS7,q99,4.007979690355477,527,,0.05042016806722689,0.80625,0.8916666666666667,0.9492253151260505,0.9673082840636902,N/A: already alarming in stable-pre,Complex all9,false,per_epoch/DS7.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS7,q995,4.836281906951478,527,,0.008403361344537815,0.75,0.8541666666666666,0.9492253151260505,0.9673082840636902,2.5,Complex all9,true,per_epoch/DS7.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS7,q99,4.143134726391533,527,,0.008403361344537815,0.640625,0.7958333333333333,0.9269564075630252,0.959668657867365,37.5,Magnitude all9,false,per_epoch/DS7.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS7,q995,4.836281906951478,527,,0.008403361344537815,0.621875,0.775,0.9269564075630252,0.959668657867365,37.5,Magnitude all9,true,per_epoch/DS7.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS7,q99,3.9120856662048844,527,,0.07563025210084033,0.8875,0.9166666666666666,0.951313025210084,0.9122972632558206,4.5,Complex EPL,false,per_epoch/DS7.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS7,q995,3.956596130413059,527,,0.07563025210084033,0.8875,0.9166666666666666,0.951313025210084,0.9122972632558206,4.5,Complex EPL,true,per_epoch/DS7.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS7,q99,3.8377044824334807,527,,0.04201680672268908,0.76875,0.85,0.9437237394957984,0.979697365145896,17.0,Magnitude EPL,false,per_epoch/DS7.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
