time,N,S_common,N_eff,loading_count,S_pair,energy,scalar_rmse,relation_destruction,A0,A1,A2,A3,A4,Full
3.5,9,0.6877361399753139,6.711110281416938,0,0.5854865103248942,371.5773338002534,0.12079904681502752,0.5842416672398216,29.20438482111308,13.596148295872743,500.76444430607535,1.7805382498201674,2.528528710994685,505.0735112668902
4.0,9,0.8283813579709596,7.1436824265792085,0,0.6226306908559355,247.11152154523563,0.07704708362314329,0.6189907981287688,5.292311493162704,5.659525141715833,331.6620169606323,4.151455511626135,3.569871578836715,339.38334405109515
4.5,9,0.7541940753955907,4.489460884914041,0,0.5005041538164383,382.9471761740034,0.12070328620206984,0.4950843838569723,29.152048088497654,9.408626021602442,516.2118021716782,0.3520889672990184,0.14603515272292428,516.7099262917002
5.0,9,0.5452154532615011,5.347206346386987,0,0.46633656553667,274.20100173846413,0.10881004424848185,0.47404429800282116,22.6519495111153,5.659525141715833,368.46647573695435,-1.5943734175325965,-0.8118584892370965,366.0602438301847
5.5,9,0.7811252212593008,6.16685271699083,0,0.5477536478002047,194.38759873003062,0.09226685412267804,0.5376214738052374,13.610481505861912,5.659525141715833,260.0299505667096,2.481294015645068,1.4706820520675288,263.9819266344222
6.0,9,0.6829080650162017,4.546750370734527,0,0.5481447146556935,289.15888185340816,0.12453534352517158,0.5366807143369875,31.2464097815957,5.659525141715833,388.7886331997334,-0.5590841134862754,1.481645672074498,389.7111947583216
6.5,9,0.6952898849645789,5.4652724757750315,0,0.569565155342702,208.66358941706508,0.09780502525163526,0.5723407077157989,16.637297778255547,5.659525141715833,279.42567565941386,0.5746147529648329,2.082171052269883,282.0824614646486
7.0,9,0.8218954389183811,5.630358428902234,0,0.7457265368802272,145.4145189881337,0.06954542117614645,0.7473791065299357,1.1923742691481694,5.659525141715833,193.4938752469356,2.4732084629005153,7.020882732824969,202.98796644266108
7.5,9,0.7109325903136761,2.840633312548174,1,0.7193953198467056,266.0639575563512,0.11355205345986788,0.7128576715301082,25.243633717082826,2.440927589336911,357.4112799552152,-1.9696281541666387,6.282682975354384,361.72433477640294
8.0,9,0.8334854099530181,4.741853119269699,0,0.6600491942063256,114.79734852589809,0.07037964155551733,0.6590811899593398,1.6483066988702548,2.440927589336911,151.8966064884656,1.697690026848195,4.618905129507956,158.21320164482177
8.5,9,0.8795308844470145,3.5027830903148636,1,0.5260965746565004,184.36855439084306,0.07526454465727263,0.5203556341008038,4.318087724622538,2.440927589336911,246.4178213663883,1.0233741665490315,0.8635226442113592,248.3047181771487
9.0,9,0.7819234809889715,2.9342250791451145,1,0.5362100758847714,157.21945672671953,0.08392947462120877,0.5330481448970598,9.053793863578818,2.440927589336911,209.5323647734137,-0.9039635758898079,1.1470562212725197,209.7754574187964
