case_id,dataset,target_prn,rho_db,phase,recovery,comparator_role,original_recovered_delay_chips,original_recovered_doppler_hz,oracle_recovered_delay_chips,oracle_recovered_doppler_hz,oracle_recovery,original_delta_bic,oracle_delta_bic,original_projection_ratio,oracle_projection_ratio,oracle_original_projection_gain,oracle_original_delta_bic_gain,common_epochs,missing_epochs,common_support_loss_fraction,lock_loss_epochs,lock_loss_fraction,cn0_change_db,tracking_session_count,reacquisition_count,valid_epoch_fraction,continuous_valid_run_epochs,continuous_valid_run_seconds,low_oracle_projection,oracle_projection_improved,oracle_delta_bic_improved,lock_loss_observed,common_support_loss_observed,multiple_tracking_sessions,row_level_labels
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,30,-6.0,1.5707963267948966,True,success_comparator,0.05,15.0,0.048942088153317444,24.880859375,True,453.0075985584408,-15.424189729150385,7.379993569732583e-05,7.387068034567038e-05,7.074464834455033e-08,-468.4317882875912,5775,225,0.0375,3812,0.66008658008658,-4.470378875732422,1,6,0.3399134199134199,453,0.453,True,True,False,True,True,False,LOW_ORACLE_PROJECTION;ORACLE_PROJECTION_IMPROVED;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,3,-3.0,3.141592653589793,True,success_comparator,-0.1,-40.0,-0.10016757785917077,-49.8828125,True,586.089731533546,241.89808899676427,0.002487606393155527,0.0024821717301815307,-5.434662973996356e-06,-344.1916425367817,5925,75,0.0125,5925,1.0,-14.732551574707031,1,0,0.0,0,0.0,True,False,False,True,True,False,LOW_ORACLE_PROJECTION;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,13,-3.0,3.141592653589793,True,success_comparator,-0.1,-60.0,-0.09910564798371425,-49.868896484375,True,334.570200660266,-12.36509101651609,0.00010465652556654448,0.00010226013485135883,-2.396390715185651e-06,-346.9352916767821,5847,153,0.0255,5847,1.0,-16.329517364501953,1,0,0.0,0,0.0,True,False,False,True,True,False,LOW_ORACLE_PROJECTION;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,19,-3.0,3.141592653589793,True,success_comparator,-0.1,-40.0,-0.09926894644084408,-49.908203125,True,1044.4840586762875,75.25077442266047,0.0009329604235597237,0.000933064950455768,1.0452689604427585e-07,-969.2332842536271,5855,145,0.024166666666666666,5855,1.0,-13.090606689453125,1,0,0.0,0,0.0,True,True,False,True,True,False,LOW_ORACLE_PROJECTION;ORACLE_PROJECTION_IMPROVED;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,30,-3.0,3.141592653589793,True,success_comparator,-0.1,-60.0,-0.09311735134100398,-49.9217529296875,True,438.7040833211504,36.96075305668637,0.0003115625918608184,0.0006639559609117975,0.0003523933690509791,-401.743330264464,5000,999,0.16652775462577096,5000,1.0,-7.050352096557617,1,0,0.0,0,0.0,True,True,False,True,True,False,LOW_ORACLE_PROJECTION;ORACLE_PROJECTION_IMPROVED;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,13,-6.0,1.5707963267948966,True,success_comparator,0.3,5.0,0.2500230040884273,-4.7188720703125,True,238.34511572914198,-6.041976791806519,0.00029032959769467693,0.00016484781423313402,-0.00012548178346154292,-244.3870925209485,5746,254,0.042333333333333334,0,0.0,-2.0812740325927734,1,0,1.0,69,0.069,True,False,False,False,True,False,LOW_ORACLE_PROJECTION;COMMON_SUPPORT_LOSS_OBSERVED
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,16,-6.0,1.5707963267948966,True,success_comparator,0.25,-5.0,0.24996720644444054,-4.7340087890625,True,2848.339231071528,2895.884666630067,0.02732454529326059,0.027770646102875773,0.0004461008096151818,47.545435558538884,5758,242,0.04033333333333333,0,0.0,-1.8101463317871094,1,0,1.0,68,0.068,True,True,True,False,True,False,LOW_ORACLE_PROJECTION;ORACLE_PROJECTION_IMPROVED;ORACLE_DELTA_BIC_IMPROVED;COMMON_SUPPORT_LOSS_OBSERVED
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,19,-6.0,1.5707963267948966,True,success_comparator,0.275,5.0,0.24994891803922237,-4.7274169921875,True,1042.533945393283,313.5633028233424,0.003338874358789871,0.003248570872944503,-9.030348584536819e-05,-728.9706425699405,5748,252,0.042,0,0.0,-1.181976318359375,1,0,1.0,70,0.07,True,False,False,False,True,False,LOW_ORACLE_PROJECTION;COMMON_SUPPORT_LOSS_OBSERVED
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,30,-6.0,1.5707963267948966,True,success_comparator,0.25,5.0,0.24932866514349217,-4.759521484375,True,443.0167867904529,79.67267926456407,0.0011083250593939024,0.0009973583596476756,-0.00011096669974622678,-363.34410752588883,5721,279,0.0465,4699,0.8213599021150149,-0.494384765625,1,12,0.17864009788498514,77,0.077,True,False,False,True,True,False,LOW_ORACLE_PROJECTION;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,10,0.0,4.71238898038469,True,success_comparator,0.05,40.0,0.0627401444012046,49.80535888671875,True,401.63940852321684,-16.02649766067043,3.3979947723077006e-05,7.585473818765672e-05,4.1874790464579716e-05,-417.6659061838873,4960,1040,0.17333333333333334,4960,1.0,-11.948816299438477,1,0,0.0,0,0.0,True,True,False,True,True,False,LOW_ORACLE_PROJECTION;ORACLE_PROJECTION_IMPROVED;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,11,0.0,4.71238898038469,True,success_comparator,0.075,60.0,0.06146307432531477,49.797607421875,True,320.37174671981484,8.297617597039789,0.0012051779868422921,0.0003498946097802403,-0.0008552833770620518,-312.07412912277505,4935,1058,0.17653929584515268,4935,1.0,-12.072429656982422,1,0,0.0,0,0.0,True,False,False,True,True,False,LOW_ORACLE_PROJECTION;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,21,0.0,4.71238898038469,False,success_comparator,0.075,35.0,0.06824419710412027,49.7540283203125,True,697.5076181772165,524.6883452674374,0.005602941303232367,0.005949086656856963,0.0003461453536245957,-172.8192729097791,5098,902,0.15033333333333335,5098,1.0,-12.14737319946289,1,0,0.0,0,0.0,True,True,False,True,True,False,LOW_ORACLE_PROJECTION;ORACLE_PROJECTION_IMPROVED;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,27,0.0,4.71238898038469,True,success_comparator,0.075,50.0,0.06518088581883438,49.7279052734375,True,322.5254918518476,657.4516656501219,0.0037525858921988032,0.0073948761699051055,0.0036422902777063022,334.92617379827425,5092,904,0.15076717811874582,5092,1.0,-11.941207885742188,1,0,0.0,0,0.0,True,True,True,True,True,False,LOW_ORACLE_PROJECTION;ORACLE_PROJECTION_IMPROVED;ORACLE_DELTA_BIC_IMPROVED;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,10,0.0,4.71238898038469,True,success_comparator,-0.025,-15.0,-0.032286603993623736,-12.58001708984375,False,545.2825989602134,-3.2949567940086126,0.0010650005704324731,0.00019914416779593858,-0.0008658564026365346,-548.577555754222,5498,502,0.08366666666666667,2441,0.443979628955984,-10.937040328979492,1,2,0.556020371044016,251,0.251,True,False,False,True,True,False,LOW_ORACLE_PROJECTION;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,11,0.0,4.71238898038469,False,success_comparator,-0.025,-10.0,-0.032094760842543923,-12.635009765625,False,415.0731624774635,447.4328949288465,0.0010928347066104722,0.004741489452543741,0.0036486547459332686,32.359732451383024,5499,501,0.0835,2922,0.5313693398799781,-10.986686706542969,1,3,0.4686306601200218,134,0.134,True,True,True,True,True,False,LOW_ORACLE_PROJECTION;ORACLE_PROJECTION_IMPROVED;ORACLE_DELTA_BIC_IMPROVED;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,24,0.0,4.71238898038469,False,success_comparator,0.0,20.0,-0.026644504728880344,-12.702392578125,False,487.90170515095815,142.19514398137107,0.0024385412574163047,0.0017239340919128938,-0.0007146071655034108,-345.7065611695871,5317,683,0.11383333333333333,3135,0.589618205755125,-10.87454605102539,1,1,0.4103817942448749,130,0.13,True,False,False,True,True,False,LOW_ORACLE_PROJECTION;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,27,0.0,4.71238898038469,False,success_comparator,-0.05,-10.0,-0.03425045878562814,-12.6943359375,False,281.31975184287876,2.1271076290868223,0.0010665088618475756,0.0002524413930512271,-0.0008140674687963484,-279.19264421379194,5533,467,0.07783333333333334,3003,0.5427435387673957,-10.92313003540039,1,1,0.4572564612326044,138,0.138,True,False,False,True,True,False,LOW_ORACLE_PROJECTION;LOCK_LOSS_OBSERVED;COMMON_SUPPORT_LOSS_OBSERVED
