hypothesis,metric,estimate,lower,upper,confidence,seed,replicates
H3,original_projection_ratio,0.011707244080545463,0.0005771068518922507,0.037971768508705386,0.95,20260818,20000
H3,oracle_projection_ratio,0.009641797068681453,0.005495921819002838,0.03428546394358169,0.95,20260818,20000
H3,original_delta_bic,-37.93683051751577,-293.09713838970856,149.2031360893743,0.95,20260818,20000
H3,oracle_delta_bic,122.7096966067329,-126.88294829125516,453.20650618500076,0.95,20260818,20000
H3,oracle_original_projection_gain,0.0010415275302077009,-0.008712219798542465,0.00448727411178615,0.95,20260818,20000
H3,oracle_original_delta_bic_gain,157.04793773893834,-74.0306857060641,333.4214098358352,0.95,20260818,20000
H4,lock_loss_fraction,0.24525436864498373,-0.3386311025118336,0.6613688974881664,0.95,20260818,20000
H4,common_support_loss_fraction,0.6203227854291072,0.5216713836477987,0.7468001949317739,0.95,20260818,20000
H4,cn0_change_db,-4.261122703552246,-7.108440399169922,1.906527209280363,0.95,20260818,20000
H4,tracking_session_count,0.0,0.0,0.0,0.95,20260818,20000
H4,reacquisition_count,0.5,0.0,1.0,0.95,20260818,20000
H4,valid_epoch_fraction,-0.2452543686449837,-0.6613688974881664,0.3386311025118336,0.95,20260818,20000
H4,continuous_valid_run_seconds,-0.0645,-0.134,0.011,0.95,20260818,20000
