dataset,prn,attempted_rows,valid_rows,rejected_rows,delay_error_abs_max_chips,doppler_error_abs_max_hz,complex_cosine_min,complex_cosine_median,magnitude_spearman_min,magnitude_spearman_median,prompt_magnitude_ratio_median,prompt_phase_error_abs_max_rad,gate_pass_fraction,time_span_s
OAKBAT.cleanStatic,10,48,48,0,0.0,2.9558577807620168e-12,0.9999999999988501,0.9999999999997538,1.0,1.0,1.0000000034560186,1.0441558030605745e-06,1.0,14.9769888
OAKBAT.cleanStatic,11,48,48,0,0.0,5.4569682106375694e-12,0.999999999999072,0.999999999999721,1.0,1.0,0.9999999455125363,7.478169111124702e-07,1.0,14.976979
OAKBAT.cleanStatic,21,48,48,0,0.0,6.821210263296962e-12,0.9999927198667986,0.999999999999714,1.0,1.0,1.0000000622511145,0.0022811049468781926,1.0,14.977026800000004
OAKBAT.cleanStatic,24,43,43,0,0.0,5.002220859751105e-12,0.9999992791205968,0.9999999999997481,1.0,1.0,1.0000000695373628,8.135943358719823e-05,1.0,14.9770206
OAKBAT.cleanStatic,27,48,48,0,0.0,5.002220859751105e-12,0.9999892417408692,0.9999999999997294,1.0,1.0,1.0000000985523623,0.002079043133856926,1.0,14.9770204
TEXBAT.cleanStatic,3,48,48,0,0.0,1.8189894035458565e-12,0.9999999999937097,0.9999999999986722,1.0,1.0,1.0000003207543173,7.453815621066445e-07,1.0,14.976992759999998
TEXBAT.cleanStatic,13,43,43,0,0.0,4.320099833421409e-12,0.9999999581833957,0.9999999999985887,1.0,1.0,0.9999999765927782,0.0001482561466045919,1.0,14.9769826
TEXBAT.cleanStatic,16,48,48,0,0.0,6.821210263296962e-12,0.9999999934083498,0.9999999999985476,1.0,1.0,0.9999998920914155,0.00011054107932468006,1.0,14.977026680000002
TEXBAT.cleanStatic,19,48,48,0,0.0,6.366462912410498e-12,0.9999998782718293,0.9999999999987054,1.0,1.0,1.0000001782650263,0.0002913754907548623,1.0,14.976975200000002
TEXBAT.cleanStatic,30,48,48,0,0.0,7.73070496506989e-12,0.9999921613123811,0.9999999999985457,1.0,1.0,0.9999992862922891,0.0007914539514515738,1.0,14.9770316
