tier,scenario,model,phase,N,epoch_count,score_median,score_q90,score_q99,alarm_occupancy,sparse,na_reason,complete,aggregation_changed,sparse_pooled
development,DS1,A0,persistent,1.0,6500,0.5944246954134074,2.623989476537396,3.691888391123925,0.9973846153846154,False,,True,False,False
development,DS1,A0,post,1.0,7310,0.5598323666009188,2.539107045904356,3.663297758283133,0.929001367989056,False,,True,False,False
development,DS1,A0,stable_pre,1.0,1016,0.0685071629961159,0.1754920466631014,0.9100216202295466,0.0521653543307086,False,,True,False,False
development,DS1,B0-Enhanced,persistent,1.0,6500,1.6203669829662906,1.6203669829662906,1.6203669829662906,1.0,False,,True,False,False
development,DS1,B0-Enhanced,post,1.0,7310,1.6203669829662906,1.6203669829662906,1.6203669829662906,0.9302325581395348,False,,True,False,False
development,DS1,B0-Enhanced,stable_pre,1.0,1016,0.5261165877601279,1.397784242776713,1.595120363579941,0.0029527559055118,False,,True,False,False
development,DS1,B0-Exact,persistent,1.0,6500,1.6094379124341005,1.6094379124341005,1.6094379124341005,1.0,False,,True,False,False
development,DS1,B0-Exact,post,1.0,7310,1.6094379124341005,1.6094379124341005,1.6094379124341005,0.9305061559507524,False,,True,False,False
development,DS1,B0-Exact,stable_pre,1.0,1016,0.6268506735171606,0.9184872649164084,1.096840385052279,0.0039370078740157,False,,True,False,False
development,DS1,CMTE-A2,persistent,1.0,6500,4.427836170705175,6.507277712385012,6.507277712385012,0.5487692307692308,False,,True,False,False
development,DS1,CMTE-A2,post,1.0,7310,4.3100531350487925,6.507277712385012,6.507277712385012,0.5042407660738714,False,,True,False,False
development,DS1,CMTE-A2,stable_pre,1.0,1016,0.7547050735593787,2.657130110674953,4.715518243156957,0.0196850393700787,False,,True,False,False
development,DS2,A0,persistent,1.0,5781,0.4970517872480888,1.852537750771742,2.855782419992096,0.9974052932018682,False,,True,False,False
development,DS2,A0,post,1.0,6503,0.4785231182727002,1.7973101585914475,2.81683303718738,0.9504843918191604,False,,True,False,False
development,DS2,A0,stable_pre,1.0,914,0.0627644877759896,0.154936939910598,0.4548641128449928,0.0317286652078774,False,,True,False,False
development,DS2,B0-Enhanced,persistent,1.0,5781,1.6203669829662906,1.6203669829662906,1.6203669829662906,1.0,False,,True,False,False
development,DS2,B0-Enhanced,post,1.0,6503,1.6203669829662906,1.6203669829662906,1.6203669829662906,0.9730893433799784,False,,True,False,False
development,DS2,B0-Enhanced,stable_pre,1.0,914,0.31172816690828,1.2902758261834288,1.5955305035034042,0.0043763676148796,False,,True,False,False
development,DS2,B0-Exact,persistent,1.0,5781,1.6094379124341005,1.6094379124341005,1.6094379124341005,1.0,False,,True,False,False
development,DS2,B0-Exact,post,1.0,6503,1.6094379124341005,1.6094379124341005,1.6094379124341005,0.9729355681992926,False,,True,False,False
development,DS2,B0-Exact,stable_pre,1.0,914,0.5236193019932197,0.8370963402505706,1.0521686172617166,0.0010940919037199,False,,True,False,False
development,DS2,CMTE-A2,persistent,1.0,5781,4.204692619390966,6.507277712385012,6.507277712385012,0.3911088047050683,False,,True,False,False
development,DS2,CMTE-A2,post,1.0,6503,4.204692619390966,6.507277712385012,6.507277712385012,0.3653698293095494,False,,True,False,False
development,DS2,CMTE-A2,stable_pre,1.0,914,0.5964810683444847,2.2545270798380663,4.204692619390966,0.0032822757111597,False,,True,False,False
development,DS3,A0,persistent,1.0,2490,0.8811890275504417,3.60032679557361,4.40084666035785,0.9670682730923694,False,,True,False,False
development,DS3,A0,post,1.0,2667,0.7662926140377305,3.547809466200299,4.398080240231877,0.910761154855643,False,,True,False,False
development,DS3,A0,stable_pre,1.0,227,0.04623607712671,0.0826407775839873,0.1200081428138435,0.0088105726872246,False,,True,False,False
development,DS3,B0-Enhanced,persistent,1.0,2490,1.6203669829662906,1.6203669829662906,1.6203669829662906,1.0,False,,True,False,False
development,DS3,B0-Enhanced,post,1.0,2667,1.6203669829662906,1.6203669829662906,1.6203669829662906,0.9703787026621672,False,,True,False,False
development,DS3,B0-Enhanced,stable_pre,1.0,227,0.0326975261494792,0.5655069075293475,1.2215054140021682,0.0,False,,True,False,False
development,DS3,B0-Exact,persistent,1.0,2490,1.6094379124341005,1.6094379124341005,1.6094379124341005,1.0,False,,True,False,False
development,DS3,B0-Exact,post,1.0,2667,1.6094379124341005,1.6094379124341005,1.6094379124341005,0.9700037495313086,False,,True,False,False
development,DS3,B0-Exact,stable_pre,1.0,227,0.1645100623921655,0.3864074041760825,0.5730018682489647,0.0,False,,True,False,False
development,DS3,CMTE-A2,persistent,1.0,2490,4.715518243156957,6.507277712385012,6.507277712385012,0.6136546184738956,False,,True,False,False
development,DS3,CMTE-A2,post,1.0,2667,4.715518243156957,6.507277712385012,6.507277712385012,0.5755530558680165,False,,True,False,False
development,DS3,CMTE-A2,stable_pre,1.0,227,0.221279617876147,0.7895975242168172,2.17163795998424,0.0044052863436123,False,,True,False,False
development,DS4,A0,post,1.0,585,0.1257525236811549,0.3871187885863074,1.7954810397192809,0.1829059829059829,False,,True,False,False
development,DS4,A0,stable_pre,1.0,987,0.0673333283932328,0.153250265399868,0.2879646029913593,0.0151975683890577,False,,True,False,False
development,DS4,B0-Enhanced,post,1.0,585,1.3135258270370669,1.6202920522364197,1.6203669829662752,0.3196581196581196,False,,True,False,False
development,DS4,B0-Enhanced,stable_pre,1.0,987,0.3845174289745071,1.2761511410284028,1.5254285728250527,0.0010131712259371,False,,True,False,False
development,DS4,B0-Exact,post,1.0,585,1.1659679284538935,1.5823606107235555,1.609162956682494,0.5008547008547009,False,,True,False,False
development,DS4,B0-Exact,stable_pre,1.0,987,0.608372204374521,0.8759254849727385,1.055719981459332,0.0020263424518743,False,,True,False,False
development,DS4,CMTE-A2,post,1.0,585,1.686996146779975,4.204692619390966,6.507277712385012,0.0273504273504273,False,,True,False,False
development,DS4,CMTE-A2,stable_pre,1.0,987,0.7389567165912395,2.507284182619819,3.7437243831044897,0.0,False,,True,False,False
normal,clean_test,A0,clean,1.0,2714,0.0647575507946117,0.1570432611154072,0.325896522695772,0.0195283714075165,False,,True,False,False
normal,clean_test,B0-Enhanced,clean,1.0,2714,0.3941658134379272,1.518345744902119,1.6032525380358147,0.0121591746499631,False,,True,False,False
normal,clean_test,B0-Exact,clean,1.0,2714,0.5752224637039228,0.9280759209215366,1.146828715707293,0.0070007369196757,False,,True,False,False
normal,clean_test,CMTE-A2,clean,1.0,2714,0.7021427434685232,2.298140567258508,4.20469261939097,0.0158437730287398,False,,True,False,False
development,DS4,CMTE-A2,persistent,,0,,,,,True,no_eligible_epochs,True,False,False
development,DS4,A0,persistent,,0,,,,,True,no_eligible_epochs,True,False,False
development,DS4,B0-Exact,persistent,,0,,,,,True,no_eligible_epochs,True,False,False
development,DS4,B0-Enhanced,persistent,,0,,,,,True,no_eligible_epochs,True,False,False
confirmatory,DS7,A0,persistent,1.0,754,0.7614402338336492,1.7283227506705956,1.9443798600226905,0.6657824933687002,False,,True,False,False
confirmatory,DS7,A0,post,1.0,994,0.2663758087610555,1.6925261945505825,1.928748804247586,0.5080482897384306,False,,True,False,False
confirmatory,DS7,A0,stable_pre,1.0,376,0.0697457514392878,0.1675686581094465,0.5164055133992339,0.0452127659574468,False,,True,False,False
confirmatory,DS7,B0-Enhanced,persistent,1.0,754,1.6203669829662906,1.6203669829662906,1.6203669829662906,0.7175066312997348,False,,True,False,False
confirmatory,DS7,B0-Enhanced,post,1.0,994,1.6203523018990569,1.6203669829662906,1.6203669829662906,0.5442655935613682,False,,True,False,False
confirmatory,DS7,B0-Enhanced,stable_pre,1.0,376,0.5423339578149077,1.305223782720105,1.5439158488446767,0.0,False,,True,False,False
confirmatory,DS7,B0-Exact,persistent,1.0,754,1.6094379124340854,1.6094379124341005,1.6094379124341005,0.7904509283819628,False,,True,False,False
confirmatory,DS7,B0-Exact,post,1.0,994,1.586341751185016,1.6094379124341005,1.6094379124341005,0.60261569416499,False,,True,False,False
confirmatory,DS7,B0-Exact,stable_pre,1.0,376,0.6367788461065927,0.9942535884112113,1.2196521785619483,0.0292553191489361,False,,True,False,False
confirmatory,DS7,CMTE-A2,persistent,1.0,754,6.507277712385012,6.507277712385012,6.507277712385012,0.5822281167108754,False,,True,False,False
confirmatory,DS7,CMTE-A2,post,1.0,994,3.7346889901452314,6.507277712385012,6.507277712385012,0.4416498993963783,False,,True,False,False
confirmatory,DS7,CMTE-A2,stable_pre,1.0,376,0.7755571824493519,2.6788726666448226,4.204692619390966,0.0079787234042553,False,,True,False,False
confirmatory,DS8,A0,persistent,1.0,5782,1.31853664293945,1.7702714450241217,1.8895131178019768,0.8708059494984435,False,,True,False,False
confirmatory,DS8,A0,post,1.0,6511,1.251556291353363,1.7638179062250106,1.88998896478458,0.7756105052987252,False,,True,False,False
confirmatory,DS8,A0,stable_pre,1.0,1093,0.0622234439540799,0.1461684987458625,0.2617303393660494,0.0137236962488563,False,,True,False,False
confirmatory,DS8,B0-Enhanced,persistent,1.0,5782,1.6203669829662906,1.6203669829662906,1.6203669829662906,0.8887928052576963,False,,True,False,False
