tier,scenario,model,phase,N,epoch_count,score_median,score_q90,score_q99,alarm_occupancy,sparse,na_reason,complete,aggregation_changed,sparse_pooled
confirmatory,DS8,B0-Enhanced,post,1.0,6511,1.6203669829662906,1.6203669829662906,1.6203669829662906,0.7902011979726616,False,,True,False,False
confirmatory,DS8,B0-Enhanced,stable_pre,1.0,1093,0.3367511355067437,1.2802472750814704,1.5544078305235136,0.0018298261665141,False,,True,False,False
confirmatory,DS8,B0-Exact,persistent,1.0,5782,1.6094379124341005,1.6094379124341005,1.6094379124341005,0.9173296437218956,False,,True,False,False
confirmatory,DS8,B0-Exact,post,1.0,6511,1.6094379124341005,1.6094379124341005,1.6094379124341005,0.8170787897404392,False,,True,False,False
confirmatory,DS8,B0-Exact,stable_pre,1.0,1093,0.5153102510699314,0.807883092569244,1.0308171302498133,0.000914913083257,False,,True,False,False
confirmatory,DS8,CMTE-A2,persistent,1.0,5782,6.507277712385012,6.507277712385012,6.507277712385012,0.8408855067450709,False,,True,False,False
confirmatory,DS8,CMTE-A2,post,1.0,6511,6.507277712385012,6.507277712385012,6.507277712385012,0.7481185685762556,False,,True,False,False
confirmatory,DS8,CMTE-A2,stable_pre,1.0,1093,0.6267447259843115,2.160891609564147,3.7346889901452314,0.000914913083257,False,,True,False,False
normal,clean_test,A0,clean,1.0,2714,0.0647575507946117,0.1570432611154072,0.325896522695772,0.0195283714075165,False,,True,False,False
normal,clean_test,B0-Enhanced,clean,1.0,2714,0.3941658134379272,1.518345744902119,1.6032525380358147,0.0121591746499631,False,,True,False,False
normal,clean_test,B0-Exact,clean,1.0,2714,0.5752224637039228,0.9280759209215366,1.146828715707293,0.0070007369196757,False,,True,False,False
normal,clean_test,CMTE-A2,clean,1.0,2714,0.7021427434685232,2.298140567258508,4.20469261939097,0.0158437730287398,False,,True,False,False
