tier,scenario,model,operating_point,onset_s,threshold,roc_auc,pr_auc,independent_clean_fpr,stable_pre_fpr,pre_onset_alarm,rising_edge_false_alarm_events,rising_edge_false_alarm_events_per_min,alarm_occupancy,post_detection_rate,persistent_detection_rate,first_alarm_delay_s,first_alarm_censored,persistent_3_epoch_delay_s,persistent_3_epoch_censored,stable_median,stable_q90,stable_q99,post_median,post_q90,post_q99,tracked_prn_count,tracked_prn_count_median,ramp_detection_rate,takeover_detection_rate
development,DS1,CMTE-A2,q995_higher,100.0,4.204692619390966,0.9478955723472322,0.9905580027850734,0.015843773028739867,0.01968503937007874,True,20,2.3622047244094486,0.4017741237559498,0.5042407660738714,0.5487692307692308,5.124078359999999,False,,True,0.7547050735593787,2.657130110674953,4.715518243156957,4.3100531350487925,6.507277712385012,6.507277712385012,9244,1.0,0.005128205128205128,0.28157894736842104
development,DS2,CMTE-A2,q995_higher,100.0,4.204692619390966,0.9791498352384742,0.9961481631373943,0.015843773028739867,0.0032822757111597373,True,3,0.39387308533916854,0.28941605839416057,0.3653698293095494,0.3911088047050683,15.041336520000002,False,,True,0.5964810683444847,2.2545270798380663,4.204692619390966,4.204692619390966,6.507277712385012,6.507277712385012,8220,1.0,0.06395348837209303,0.24269005847953215
development,DS3,CMTE-A2,q995_higher,100.0,4.204692619390966,0.9822450607770945,0.9980769712239802,0.015843773028739867,0.004405286343612335,True,1,0.5286343612334802,0.47238327738785474,0.5755530558680165,0.6136546184738956,34.13209532000002,False,,True,0.22127961787614706,0.7895975242168172,2.1716379599842397,4.715518243156957,6.507277712385012,6.507277712385012,3277,1.0,0.0,0.06666666666666667
development,DS4,CMTE-A2,q995_higher,100.0,4.204692619390966,0.7230041825786506,0.6512413869622513,0.015843773028739867,0.0,True,0,0.0,0.008316831683168317,0.02735042735042735,,14.456405520000004,False,,True,0.7389567165912395,2.507284182619819,3.7437243831044897,1.686996146779975,4.204692619390966,6.507277712385012,2525,1.0,0.026442307692307692,0.026845637583892617
