tier,scenario,model,operating_point,onset_s,threshold,roc_auc,pr_auc,independent_clean_fpr,stable_pre_fpr,pre_onset_alarm,rising_edge_false_alarm_events,rising_edge_false_alarm_events_per_min,alarm_occupancy,post_detection_rate,persistent_detection_rate,first_alarm_delay_s,first_alarm_censored,persistent_3_epoch_delay_s,persistent_3_epoch_censored,stable_median,stable_q90,stable_q99,post_median,post_q90,post_q99,tracked_prn_count,tracked_prn_count_median,ramp_detection_rate,takeover_detection_rate
development,DS1,A0,q995_higher,100.0,0.2494109175234141,0.9503138565442656,0.9920144414630924,0.0195283714075165,0.0521653543307086,True,53,6.259842519685039,0.744699264387711,0.929001367989056,0.9973846153846154,1.1240783599999986,False,,True,0.0685071629961159,0.1754920466631014,0.9100216202295466,0.5598323666009188,2.539107045904356,3.663297758283133,9244,1.0,0.041025641025641,0.7157894736842105
development,DS1,B0-Exact,q995_higher,100.0,1.16109765841806,0.9662915917145104,0.9956020979937372,0.0070007369196757,0.0039370078740157,True,4,0.4724409448818897,0.7362613587191692,0.9305061559507524,1.0,5.9667955999999975,False,,True,0.6268506735171606,0.9184872649164084,1.096840385052279,1.6094379124341005,1.6094379124341005,1.6094379124341005,9244,1.0,0.0051282051282051,0.7342105263157894
development,DS1,B0-Enhanced,q995_higher,100.0,1.599113102743291,0.9656584928422935,0.995524008118922,0.0121591746499631,0.0029527559055118,True,3,0.3543307086614173,0.7359368238857638,0.9302325581395348,1.0,26.03711056,False,,True,0.5261165877601279,1.397784242776713,1.595120363579941,1.6203669829662906,1.6203669829662906,1.6203669829662906,9244,1.0,0.0,0.7368421052631579
development,DS2,A0,q995_higher,100.0,0.2494109175234141,0.9779233351649516,0.9961815074374932,0.0195283714075165,0.0317286652078774,True,29,3.807439824945296,0.7559610705596107,0.9504843918191604,0.9974052932018682,2.8846696399999985,False,,True,0.0627644877759896,0.154936939910598,0.4548641128449928,0.4785231182727002,1.7973101585914475,2.81683303718738,8220,1.0,0.311046511627907,0.8011695906432749
development,DS2,B0-Exact,q995_higher,100.0,1.16109765841806,0.987773022449494,0.9984054083716686,0.0070007369196757,0.0010940919037199,True,1,0.1312910284463895,0.7698296836982969,0.9729355681992926,1.0,10.542725239999996,False,,True,0.5236193019932197,0.8370963402505706,1.0521686172617166,1.6094379124341005,1.6094379124341005,1.6094379124341005,8220,1.0,0.4883720930232558,1.0
development,DS2,B0-Enhanced,q995_higher,100.0,1.599113102743291,0.9872684581531298,0.9983411298296068,0.0121591746499631,0.0043763676148796,True,4,0.525164113785558,0.7704379562043796,0.9730893433799784,1.0,10.54165028,False,,True,0.31172816690828,1.2902758261834288,1.5955305035034042,1.6203669829662906,1.6203669829662906,1.6203669829662906,8220,1.0,0.4912790697674418,1.0
development,DS3,A0,q995_higher,100.0,0.2494109175234141,0.9819097502680006,0.9983615257560736,0.0195283714075165,0.0088105726872246,True,2,1.0572687224669604,0.7522123893805309,0.910761154855643,0.9670682730923694,20.623281160000005,False,,True,0.04623607712671,0.0826407775839873,0.1200081428138435,0.7662926140377305,3.547809466200299,4.398080240231877,3277,1.0,0.0,0.1888888888888888
development,DS3,B0-Exact,q995_higher,100.0,1.16109765841806,0.981078906986847,0.9984712295119502,0.0070007369196757,0.0,False,0,0.0,0.7894415624046384,0.9700037495313086,1.0,21.04124732,False,,True,0.1645100623921655,0.3864074041760825,0.5730018682489647,1.6094379124341005,1.6094379124341005,1.6094379124341005,3277,1.0,0.0,1.0
development,DS3,B0-Enhanced,q995_higher,100.0,1.599113102743291,0.982461443420894,0.9985825778274724,0.0121591746499631,0.0,False,0,0.0,0.7897467195605737,0.9703787026621672,1.0,20.623281160000005,False,,True,0.0326975261494792,0.5655069075293475,1.2215054140021682,1.6203669829662906,1.6203669829662906,1.6203669829662906,3277,1.0,0.0,1.0
development,DS4,A0,q995_higher,100.0,0.2494109175234141,0.7231063656595572,0.6515606148252849,0.0195283714075165,0.0151975683890577,True,15,1.82370820668693,0.0601980198019801,0.1829059829059829,,2.456405520000004,False,,True,0.0673333283932328,0.153250265399868,0.2879646029913593,0.1257525236811549,0.3871187885863074,1.7954810397192809,2525,1.0,0.110576923076923,0.3691275167785235
development,DS4,B0-Exact,q995_higher,100.0,1.16109765841806,0.8448912789338321,0.8298027475358973,0.0070007369196757,0.0020263424518743,True,2,0.243161094224924,0.1176237623762376,0.5008547008547009,,12.622801440000003,False,,True,0.608372204374521,0.8759254849727385,1.055719981459332,1.1659679284538935,1.5823606107235555,1.609162956682494,2525,1.0,0.2980769230769231,1.0
development,DS4,B0-Enhanced,q995_higher,100.0,1.599113102743291,0.7842655374570269,0.7748607904500615,0.0121591746499631,0.0010131712259371,True,1,0.121580547112462,0.0748514851485148,0.3196581196581196,,14.456405520000004,False,,True,0.3845174289745071,1.2761511410284028,1.5254285728250527,1.3135258270370669,1.6202920522364197,1.6203669829662752,2525,1.0,0.2091346153846154,0.5838926174496645
confirmatory,DS7,A0,q995_higher,110.0,0.2494109175234141,0.8031353011687143,0.9244550120220436,0.0195283714075165,0.0452127659574468,True,17,5.425531914893617,0.314625850340136,0.5080482897384306,0.6657824933687002,26.78739544000001,False,,True,0.0697457514392878,0.1675686581094465,0.5164055133992339,0.2663758087610555,1.6925261945505825,1.928748804247586,1764,1.0,0.0,0.0263157894736842
confirmatory,DS7,B0-Exact,q995_higher,110.0,1.16109765841806,0.8674681065114089,0.9509008300668008,0.0070007369196757,0.0292553191489361,True,11,3.5106382978723403,0.3463718820861678,0.60261569416499,0.7904509283819628,22.78739544000001,False,,True,0.6367788461065927,0.9942535884112113,1.2196521785619483,1.586341751185016,1.6094379124341005,1.6094379124341005,1764,1.0,0.0,0.0263157894736842
confirmatory,DS7,B0-Enhanced,q995_higher,110.0,1.599113102743291,0.8263624298985401,0.93683084664037,0.0121591746499631,0.0,False,0,0.0,0.3066893424036281,0.5442655935613682,0.7175066312997348,60.28739544000001,False,,True,0.5423339578149077,1.305223782720105,1.5439158488446767,1.6203523018990569,1.6203669829662906,1.6203669829662906,1764,1.0,0.0,0.0
confirmatory,DS8,A0,q995_higher,110.0,0.2494109175234141,0.9213579440409312,0.9869916387755628,0.0195283714075165,0.0137236962488563,True,15,1.6468435498627632,0.6021798365122616,0.7756105052987252,0.8708059494984435,7.8773956,False,,True,0.0622234439540799,0.1461684987458625,0.2617303393660494,1.251556291353363,1.7638179062250106,1.88998896478458,8441,1.0,0.0313390313390313,0.0087719298245614
confirmatory,DS8,B0-Exact,q995_higher,110.0,1.16109765841806,0.951707737050804,0.9922214935506266,0.0070007369196757,0.000914913083257,True,1,0.1097895699908508,0.6303755479208625,0.8170787897404392,0.9173296437218956,16.493296279999996,False,,True,0.5153102510699314,0.807883092569244,1.0308171302498133,1.6094379124341005,1.6094379124341005,1.6094379124341005,8441,1.0,0.0142450142450142,0.0292397660818713
confirmatory,DS8,B0-Enhanced,q995_higher,110.0,1.599113102743291,0.928082014208343,0.9882113734220744,0.0121591746499631,0.0018298261665141,True,2,0.2195791399817017,0.6097618765549105,0.7902011979726616,0.8887928052576963,15.993296279999996,False,,True,0.3367511355067437,1.2802472750814704,1.5544078305235136,1.6203669829662906,1.6203669829662906,1.6203669829662906,8441,1.0,0.0113960113960113,0.0029239766081871
