tier,scenario,model,operating_point,threshold_role_fit_only,diagnostic_only,threshold,roc_auc,pr_auc,independent_clean_fpr,stable_pre_fpr,pre_onset_alarm,rising_edge_false_alarm_events,rising_edge_false_alarm_events_per_min,alarm_occupancy,post_detection_rate,persistent_detection_rate,first_alarm_delay_s,first_alarm_censored,persistent_3_epoch_delay_s,persistent_3_epoch_censored,stable_median,stable_q90,stable_q99,post_median,post_q90,post_q99,tracked_prn_count,tracked_prn_count_median,ramp_detection_rate,takeover_detection_rate
development,DS1,A0,matched_clean_fpr_diagnostic,True,True,0.2895382176827131,0.9503138565442656,0.9920144414630924,0.0136330140014738,0.0403543307086614,True,41,4.84251968503937,0.7323669407183038,0.9161422708618332,0.9870769230769232,1.1240783599999986,False,,True,0.0685071629961159,0.1754920466631014,0.9100216202295466,0.5598323666009188,2.539107045904356,3.663297758283133,9244,1.0,0.0256410256410256,0.6605263157894737
development,DS1,B0-Enhanced,matched_clean_fpr_diagnostic,True,True,1.6092837911130156,0.9656584928422935,0.995524008118922,0.0070007369196757,0.0,False,0,0.0,0.7355041107745565,0.9300957592339262,1.0,26.04018508,False,,True,0.5261165877601279,1.397784242776713,1.595120363579941,1.6203669829662906,1.6203669829662906,1.6203669829662906,9244,1.0,0.0,0.7342105263157894
development,DS1,B0-Exact,matched_clean_fpr_diagnostic,True,True,1.1885129980787237,0.9662915917145104,0.9956020979937372,0.0036845983787767,0.0019685039370078,True,2,0.2362204724409448,0.7358286456079619,0.9302325581395348,1.0,19.540937240000005,False,,True,0.6268506735171606,0.9184872649164084,1.096840385052279,1.6094379124341005,1.6094379124341005,1.6094379124341005,9244,1.0,0.0025641025641025,0.7342105263157894
development,DS2,A0,matched_clean_fpr_diagnostic,True,True,0.2895382176827131,0.9779233351649516,0.9961815074374932,0.0136330140014738,0.0229759299781181,True,21,2.7571115973741795,0.7363746958637469,0.9274181147162848,0.9887562705414288,10.539476840000006,False,,True,0.0627644877759896,0.154936939910598,0.4548641128449928,0.4785231182727002,1.7973101585914475,2.81683303718738,8220,1.0,0.2238372093023256,0.6111111111111112
development,DS2,B0-Enhanced,matched_clean_fpr_diagnostic,True,True,1.6092837911130156,0.9872684581531298,0.9983411298296068,0.0070007369196757,0.0021881838074398,True,2,0.262582056892779,0.7700729927007299,0.9730893433799784,1.0,10.54165028,False,,True,0.31172816690828,1.2902758261834288,1.5955305035034042,1.6203669829662906,1.6203669829662906,1.6203669829662906,8220,1.0,0.4912790697674418,1.0
development,DS2,B0-Exact,matched_clean_fpr_diagnostic,True,True,1.1885129980787237,0.987773022449494,0.9984054083716686,0.0036845983787767,0.0010940919037199,True,1,0.1312910284463895,0.7698296836982969,0.9729355681992926,1.0,10.542725239999996,False,,True,0.5236193019932197,0.8370963402505706,1.0521686172617166,1.6094379124341005,1.6094379124341005,1.6094379124341005,8220,1.0,0.4883720930232558,1.0
development,DS3,A0,matched_clean_fpr_diagnostic,True,True,0.2895382176827131,0.9819097502680006,0.9983615257560736,0.0136330140014738,0.0088105726872246,True,2,1.0572687224669604,0.7061336588342997,0.8548931383577053,0.9092369477911648,21.04124732,False,,True,0.04623607712671,0.0826407775839873,0.1200081428138435,0.7662926140377305,3.547809466200299,4.398080240231877,3277,1.0,0.0,0.1444444444444444
development,DS3,B0-Enhanced,matched_clean_fpr_diagnostic,True,True,1.6092837911130156,0.982461443420894,0.9985825778274724,0.0070007369196757,0.0,False,0,0.0,0.7897467195605737,0.9703787026621672,1.0,20.623281160000005,False,,True,0.0326975261494792,0.5655069075293475,1.2215054140021682,1.6203669829662906,1.6203669829662906,1.6203669829662906,3277,1.0,0.0,1.0
development,DS3,B0-Exact,matched_clean_fpr_diagnostic,True,True,1.1885129980787237,0.981078906986847,0.9984712295119502,0.0036845983787767,0.0,False,0,0.0,0.7894415624046384,0.9700037495313086,1.0,21.04124732,False,,True,0.1645100623921655,0.3864074041760825,0.5730018682489647,1.6094379124341005,1.6094379124341005,1.6094379124341005,3277,1.0,0.0,1.0
development,DS4,A0,matched_clean_fpr_diagnostic,True,True,0.2895382176827131,0.7231063656595572,0.6515606148252849,0.0136330140014738,0.0091185410334346,True,9,1.0942249240121582,0.0451485148514851,0.1435897435897435,,2.456405520000004,False,,True,0.0673333283932328,0.153250265399868,0.2879646029913593,0.1257525236811549,0.3871187885863074,1.7954810397192809,2525,1.0,0.0769230769230769,0.3087248322147651
