scenario,epoch_count,m_ge_5_epoch_count,longest_continuous_m_ge_5_seconds,tracked_prns,maximum_panel_size,finite_coverage,status
C-1,101,101,101,2;7;10;11;25;29;30;34;36,9,1.0,PASS
C-3,85,85,85,2;11;19;27;29;30;34;36,8,1.0,PASS
