window_mid_s,score_mean,score_prior_consensus_gate,score_soft_quorum_gate,prn_count,prior_high_fraction,soft_high_fraction
0.5,1.9441842277243777,2.430230284655472,3.8883684554487554,8,0.25,0.5
1.0,1.4765008788231573,2.030188708381841,2.9530017576463146,8,0.375,0.5
1.5,1.0138150360023235,1.0138150360023235,1.4643994964478007,9,0.0,0.2222222222222222
2.0,0.9709296849949488,0.9709296849949488,1.618216141658248,9,0.0,0.3333333333333333
2.5,0.9897502090940026,1.0997224545488917,1.6495836818233376,9,0.1111111111111111,0.3333333333333333
3.0,0.9908942213227038,1.1009935792474488,1.6514903688711728,9,0.1111111111111111,0.3333333333333333
3.5,1.1049485341181042,1.1049485341181042,2.2098970682362085,10,0.0,0.5
4.0,1.0957082294438438,1.0957082294438438,2.1914164588876877,10,0.0,0.5
4.5,1.0404085391332263,1.0404085391332263,1.8727353704398073,10,0.0,0.4
5.0,0.9788930426014808,0.9788930426014808,1.5662288681623693,10,0.0,0.3
5.5,0.9273060934002817,0.9273060934002817,1.2982285307603942,10,0.0,0.2
6.0,0.9231043174701755,0.9231043174701755,1.2923460444582457,10,0.0,0.2
6.5,0.9571525405688007,1.0528677946256808,1.340013556796321,10,0.1,0.2
7.0,0.9426058956341107,0.9426058956341107,1.319648253887755,10,0.0,0.2
7.5,0.8946599253909614,0.8946599253909614,1.252523895547346,10,0.0,0.2
8.0,0.8976678813137948,0.8976678813137948,1.2567350338393126,10,0.0,0.2
8.5,0.9208924491311272,1.01298169404424,1.289249428783578,10,0.1,0.2
9.0,0.909012210599545,0.909012210599545,1.272617094839363,10,0.0,0.2
9.5,0.9045744474244175,0.9045744474244175,1.2664042263941844,10,0.0,0.2
10.0,0.909186005854729,0.909186005854729,1.4546976093675665,10,0.0,0.3
10.5,0.9393084749906391,0.9393084749906391,1.6907552549831504,10,0.0,0.4
11.0,0.9523028882348342,0.9523028882348342,1.5236846211757349,10,0.0,0.3
11.5,0.9040812343002582,0.9040812343002582,1.2657137280203614,10,0.0,0.2
12.0,0.9194581331957901,0.9194581331957901,1.4711330131132643,10,0.0,0.3
12.5,1.005814869129955,1.1063963560429506,1.6093037906079282,10,0.1,0.3
13.0,1.0575930914703544,1.1633524006173899,1.6921489463525672,10,0.1,0.3
13.5,1.0458823966731836,1.1504706363405022,1.464235355342457,10,0.1,0.2
14.0,1.1865414122709566,1.3051955534980524,2.135774542087722,10,0.1,0.4
14.5,1.112555018246599,1.223810520071259,2.225110036493198,10,0.1,0.5
15.0,0.9767713925927529,0.9767713925927529,1.367479949629854,10,0.0,0.2
15.5,0.9203904178595106,0.9203904178595106,1.2885465850033146,10,0.0,0.2
16.0,0.9572831248734739,0.9572831248734739,1.3401963748228634,10,0.0,0.2
16.5,1.0403436921304103,1.0403436921304103,1.6645499074086567,10,0.0,0.3
17.0,1.1309081988088607,1.357089838570633,1.583271478332405,10,0.2,0.2
17.5,1.0778374518836789,1.185621197072047,1.7245399230138863,10,0.1,0.3
