group,agg,scenario,feature_count,rows,pfa10_q90_normal_flag_rate,pfa5_q95_normal_flag_rate,pfa1_q99_normal_flag_rate,pfa0_5_q995_normal_flag_rate,pfa0_1_q999_normal_flag_rate,pre_windows_t_lt_90,post_windows_t_ge_110,auc_pre_vs_post_buffered,pre_score_median,post_score_median,pre_score_q95,post_score_q95,pfa10_q90_pre_fp_rate,pfa10_q90_post_det_rate,pfa10_q90_first_delay_s,pfa5_q95_pre_fp_rate,pfa5_q95_post_det_rate,pfa5_q95_first_delay_s,pfa1_q99_pre_fp_rate,pfa1_q99_post_det_rate,pfa1_q99_first_delay_s,pfa0_5_q995_pre_fp_rate,pfa0_5_q995_post_det_rate,pfa0_5_q995_first_delay_s,pfa0_1_q999_pre_fp_rate,pfa0_1_q999_post_det_rate,pfa0_1_q999_first_delay_s
morph_core_no_doppler_no_cn0_no_power,score_top3,ds4,63,255,,,,,,179.0,36.0,0.8018311607697083,2.2182589050372328,3.067971326361195,4.475792340371358,3.3096771996725174,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
dmcpd_only,score_max,ds4,25,255,,,,,,179.0,36.0,0.7835195530726257,2.5742632072453584,4.0258961408127,10.63885129122102,4.437074038018642,0.01675977653631285,0.0,,0.01675977653631285,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,
morph_core_no_doppler_no_cn0_no_power,score_max,ds4,63,255,,,,,,179.0,36.0,0.7680012414649287,2.5400824226018637,3.4201192200172166,9.66947832392355,3.7509092365802283,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,
tap_rel_cv_only,score_max,ds4,27,255,,,,,,179.0,36.0,0.7630353817504656,2.3572465553430324,3.2023412123499018,8.588127888497716,3.4862866810295774,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.0,0.0,
tap_rel_sum_only,score_max,ds4,9,255,,,,,,179.0,36.0,0.7599317194289261,2.020610327602508,3.2112153150252474,8.073045421520877,3.711821249289172,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,
full_all_features,score_mean,ds4,84,255,,,,,,179.0,36.0,0.7482929857231533,2.0852068233918883,2.304856793814637,2.8832525741620483,2.396968300493295,0.1452513966480447,0.6944444444444444,14.5,0.11173184357541899,0.3611111111111111,15.0,0.09497206703910614,0.0,,0.09497206703910614,0.0,,0.09497206703910614,0.0,
peak_shape_only,score_top5,ds4,8,255,,,,,,179.0,36.0,0.7375853507138423,1.6965704611102956,2.086479079233393,3.3772480547641344,2.2334315809178134,0.01675977653631285,0.0,,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.0,0.0,
full_all_features,score_top5,ds4,84,255,,,,,,179.0,36.0,0.7259466170080695,2.4232093257294296,2.7775524397389626,3.8671451260288463,2.9104240953252702,0.03910614525139665,0.0,,0.03910614525139665,0.0,,0.0335195530726257,0.0,,0.0335195530726257,0.0,,0.0223463687150838,0.0,
full_all_features,score_top3,ds4,84,255,,,,,,179.0,36.0,0.6888578522656735,2.6908873362120964,3.0363877762825524,4.964400936988417,3.233305443649742,0.0223463687150838,0.0,,0.01675977653631285,0.0,,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0111731843575419,0.0,
full_no_raw_power,score_top5,ds4,57,255,,,,,,179.0,36.0,0.6623215394165115,2.722811416480968,2.8918395574510454,4.43213824805555,2.9987586313076235,0.055865921787709494,0.0,,0.055865921787709494,0.0,,0.03910614525139665,0.0,,0.03910614525139665,0.0,,0.0335195530726257,0.0,
