comparison,dataset,lower_95,point,resamples,upper_95
Full,OAKBAT.cleanStatic,0.493233770963191,0.5039573478305093,1000,0.5123904235279405
Full-B0,OAKBAT.cleanStatic,-0.005591093604429662,0.004886106099188103,1000,0.014781637011909455
Full-B1,OAKBAT.cleanStatic,-0.0029742160071021995,0.010106378377604475,1000,0.022491599519107137
Full-B2,OAKBAT.cleanStatic,0.00269667565458515,0.013882726518622601,1000,0.023146630766554266
Full,TEXBAT.cleanStatic,0.4942236379999132,0.5021183182537121,1000,0.5092256543959525
Full-B0,TEXBAT.cleanStatic,-0.1974269009140151,-0.17522271048942262,1000,-0.15239229873366694
Full-B1,TEXBAT.cleanStatic,-0.1465288121549704,-0.12890615309633568,1000,-0.11043110732101839
Full-B2,TEXBAT.cleanStatic,-0.001249775613701945,0.009723307875267428,1000,0.01964058499197997
