B0,B1,B2,B3,B4,Full,anchor_cn0,anchor_norm,anchor_prn,anchor_slot,block_id,dataset,label,lag_s,match_id,target_prn
-0.6721267700195312,-0.03131067704604362,-0.3237801710368273,0.9933562890159227,0.9774732760806111,0.05770183200938025,45.249229431152344,1.9158047412483545,8,572,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:572:8,8
-0.5149803161621094,-0.18694078829820882,-0.26727026820647093,0.9965438862801849,0.9762547651419646,0.009676973568258064,45.249229431152344,1.9158047412483545,8,572,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:572:8,18
-0.3745918273925781,-0.9481076608986534,-0.1543782319475714,0.9990359314137146,0.956293127316008,0.148431532789414,45.913719177246094,3.007972384999876,11,572,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:572:11,11
-0.06734848022460938,-0.8703438493829694,-0.164450990622935,0.995628812710077,0.9381038262766415,0.12043930355508821,45.913719177246094,3.007972384999876,11,572,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:572:11,14
-0.12288665771484375,-0.12535266316182714,-0.17932619468561883,0.9950402343228748,0.9739149158744717,0.09930640030335687,45.300777435302734,2.4547126778110444,12,572,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:572:12,12
-0.0123748779296875,-0.414106006168538,-0.1599423661359054,0.9938018684150562,0.97060384461756,0.18946832216020756,45.300777435302734,2.4547126778110444,12,572,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:572:12,27
-0.13490676879882812,-0.07546165350785117,-0.08717574413042617,0.9987057962204567,0.9044950755053546,0.20230873388100218,45.98127746582031,3.868601066937956,14,572,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:572:14,14
-0.0599212646484375,-0.1649271070836953,-0.37897502446589604,0.9955471089002719,0.9553762146588074,0.23346920056801784,45.98127746582031,3.868601066937956,14,572,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:572:14,8
-1.297271728515625,-0.23817505192563004,-0.11563357840429345,0.9976088805649723,0.9927170054276321,0.16501092979340282,46.03152084350586,2.229493555626666,18,572,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:572:18,18
-0.8536300659179688,-0.19830179314013208,-0.27556145898845363,0.9961905109036516,0.979097931240386,0.13326419452070074,46.03152084350586,2.229493555626666,18,572,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:572:18,12
-0.4437065124511719,-0.3295518811958189,-0.009162210263255477,0.9962362227585905,0.9891084093401146,0.03879963066458453,46.075260162353516,2.1073529402164213,20,572,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:572:20,20
-0.6494407653808594,-0.3473352226060129,-0.06492438177419135,0.984394666196043,0.9612310267621408,0.06897163915882659,46.075260162353516,2.1073529402164213,20,572,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:572:20,24
-0.0532073974609375,-0.13493681641505972,-0.4397494867146592,0.991530485694107,0.9558809125983406,0.032032810883376,45.36635971069336,1.8555898024079487,27,572,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:572:27,27
-0.18846893310546875,-0.4045218529153054,-0.4591333152643726,0.9965388494691423,0.9870545531045498,0.1381949952806536,45.36635971069336,1.8555898024079487,27,572,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:572:27,12
-0.11077117919921875,-0.6379096980555978,-0.18455143523841722,0.9985784280657685,0.9842164131493086,0.16640820733339,45.75543975830078,2.403262644393544,8,573,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:573:8,8
-0.14147186279296875,-0.5877273315021121,-0.14475338018932837,0.9975215880679807,0.9448628508055207,0.16393101884255828,45.75543975830078,2.403262644393544,8,573,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:573:8,14
-0.12766647338867188,-0.20153059536072604,-0.09449565885006517,0.9811611905223284,0.962926126971848,0.20954953888480152,45.549354553222656,2.5043090864716504,10,573,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:573:10,10
-0.14055252075195312,-0.32045230747050724,-0.13767439840272355,0.9761768580513861,0.9451327150406786,0.11770520328892801,45.549354553222656,2.5043090864716504,10,573,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:573:10,21
-0.19563674926757812,-0.1304198993416712,-0.16668497905654023,0.9962939138559859,0.9889176351582974,0.08897598092754698,45.95295333862305,2.8003967159275045,11,573,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:573:11,11
-0.27593231201171875,-0.1802918112836842,-0.20624386754534085,0.9976651382254486,0.9851642794927059,0.19582390738209618,45.95295333862305,2.8003967159275045,11,573,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:573:11,10
-0.17131423950195312,-0.23280961916282195,-0.02660896133427182,0.9968670230920235,0.9426413870830811,0.02436890009765041,45.45976638793945,2.446214394200272,12,573,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:573:12,12
-0.217254638671875,-0.02475119476923382,-0.07102446050490974,0.9968253190312314,0.9875294234117369,0.23899774505909618,45.45976638793945,2.446214394200272,12,573,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:573:12,10
-0.06527328491210938,-0.41907069904394945,-0.006834839993241193,0.9981776069187627,0.9500379353662053,0.006093790212455347,45.96218490600586,2.758662027430166,14,573,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:573:14,14
-0.18640518188476562,-0.7765478027864567,-0.15166967717039526,0.9880417742380048,0.9225441783575355,0.059373765088371146,45.96218490600586,2.758662027430166,14,573,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:573:14,11
-0.057712554931640625,-0.5920419491367284,-0.012543308601789205,0.9863555134145865,0.9217611996262098,0.016784174191897972,45.18190002441406,3.135122282842836,18,573,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:573:18,18
-0.22690200805664062,-0.5634504664087743,-0.08698089790351426,0.9983722256553444,0.9643786470797427,0.05608516441818533,45.18190002441406,3.135122282842836,18,573,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:573:18,21
-0.15227508544921875,-0.40051582922270157,-0.0888306400343617,0.9957995316794277,0.9848831450916966,0.0563641527932406,45.633724212646484,2.2781097137645365,20,573,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:573:20,20
-0.09826278686523438,-0.0827011916020517,-0.07844237063079085,0.9974444858800015,0.9929354318750139,0.149400160952421,45.633724212646484,2.2781097137645365,20,573,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:573:20,24
-0.11963272094726562,-0.14824068120944744,-0.09671566177183677,0.9958734552140429,0.9727042080923586,0.27856270804499766,45.415828704833984,2.3201209485756427,24,573,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:573:24,24
-0.06562042236328125,-0.6314577020342007,-0.07055734889331577,0.9920348211179667,0.9633534232113546,0.013703608795238813,45.415828704833984,2.3201209485756427,24,573,31,OAKBAT.cleanStatic,0,1,OAKBAT.cleanStatic:1:573:24,20
-0.5826263427734375,-0.24866428862606327,-0.2839509795203905,0.9901118107898534,0.9576972010634097,0.13722687021908728,45.395233154296875,2.6269849607353124,27,573,31,OAKBAT.cleanStatic,1,1,OAKBAT.cleanStatic:1:573:27,27
