dataset,different_mean,effect_size,evidence_fraction,lopo_auc,pr_auc,prn,roc_auc,same_mean
OAKBAT.cleanStatic,0.13550145745842213,-0.008705079305182642,0.10595303113052977,0.5018313063756904,0.49697675550232473,8,0.5084842305239664,0.13450648471419438
OAKBAT.cleanStatic,0.12455344047044711,0.10301664189878615,0.09898962315674495,0.5040373935134976,0.5276480641496657,10,0.5290235434007134,0.13587041161193358
OAKBAT.cleanStatic,0.1349096506351551,-0.0843489376700907,0.10212998361551065,0.5060389048468804,0.4832873502626708,11,0.4722879550458978,0.12504395279228409
OAKBAT.cleanStatic,0.13178446550648817,0.07180262691852482,0.10185690879300928,0.5029235480267464,0.5194594770035077,12,0.5203390378713281,0.14026912775238898
OAKBAT.cleanStatic,0.12940410886480988,0.04190693159449432,0.0985800109229929,0.506164788245368,0.5156244312423333,14,0.5049780925560732,0.13423191109428892
OAKBAT.cleanStatic,0.12348991732629205,0.041676138316989415,0.0985800109229929,0.5022667774569807,0.51176340345777,18,0.5127742267171062,0.12812331545022532
OAKBAT.cleanStatic,0.13392194610853447,-0.029676574466407313,0.0962588749317313,0.5051570465292623,0.4950115743351938,20,0.4916352296162165,0.1304824162147454
OAKBAT.cleanStatic,0.1324512330216331,0.034650001939046424,0.09980884762424905,0.5034341244451495,0.5101293985917563,21,0.5060380529267667,0.13658936357517357
OAKBAT.cleanStatic,0.12659821234396107,0.012802587980637548,0.09844347351174222,0.5027115597912363,0.5048167940345605,24,0.5029537877928059,0.1280522081467743
OAKBAT.cleanStatic,0.13702822303659423,-0.02068553872387609,0.099399235390497,0.5049772250357805,0.49804943718869565,27,0.4909582176065692,0.13456146154131685
TEXBAT.cleanStatic,0.13933000329964354,-0.0007593314706218487,0.10232867598137059,0.5025754387974253,0.501167844617892,3,0.5016276014143646,0.13924000778476234
TEXBAT.cleanStatic,0.13951540835049303,-0.037400690779234746,0.09740518962075849,0.5020613968275871,0.4965858110642495,6,0.48568933082504706,0.13518641586228652
TEXBAT.cleanStatic,0.13934331514042642,0.08009151966530913,0.1019294743845642,0.49837356118073256,0.519743512906992,7,0.5293443952852633,0.14917754063815392
TEXBAT.cleanStatic,0.13526531206352446,0.0696954859713306,0.10232867598137059,0.5023239427632367,0.5227370091424312,10,0.5092067282083195,0.14348965545605305
TEXBAT.cleanStatic,0.140529959297493,0.012620364349638535,0.09594145043246839,0.5034637217724275,0.5069190434872058,13,0.5072397136816834,0.14205674344013713
TEXBAT.cleanStatic,0.13760029332153909,-0.08462009739643371,0.1008649367930805,0.5042378635253997,0.48098853859094914,16,0.4787734699702731,0.12803175457673463
TEXBAT.cleanStatic,0.14198721026248803,0.1117186245918622,0.10059880239520957,0.49980446960228453,0.5350460568066329,19,0.5233966014389295,0.1562192579528484
TEXBAT.cleanStatic,0.14312547499576525,-0.05143920963352043,0.10073186959414504,0.5037301276138533,0.48951779238967114,20,0.48564956923404456,0.13709005901874588
TEXBAT.cleanStatic,0.13661059613589413,0.08392707930343143,0.10259481037924152,0.49969268518381793,0.5273959681873488,23,0.5115966092513807,0.146810736190074
TEXBAT.cleanStatic,0.1479646004824337,-0.04348520119248721,0.09527611443779109,0.5048551296217809,0.49142402036465505,30,0.48623638463219004,0.142462625745955
