dataset,different_mean,effect_size,lag_s,pair_rows,pr_auc,roc_auc,same_mean
OAKBAT.cleanStatic,0.13412524783522203,-0.02074176982614223,1,4038,0.4952200322833252,0.4957463286494989,0.13175789659203643
OAKBAT.cleanStatic,0.1287896278333042,0.02541939548538568,5,3894,0.5078939659988861,0.5031543398783742,0.13173648777212837
OAKBAT.cleanStatic,0.12986316924691002,0.05976342389920761,10,3716,0.5158113993969761,0.5139390828477441,0.13681024462059477
OAKBAT.cleanStatic,0.13113074917744885,-0.004608528478784169,30,3000,0.4987222132450424,0.5033102222222222,0.1305979633186309
TEXBAT.cleanStatic,0.14348966831087084,-0.006942111948751505,1,4140,0.501146578917703,0.49489346309132065,0.1426367567702036
TEXBAT.cleanStatic,0.13446507491665752,0.060378551396209686,5,3990,0.5183069808247804,0.5103111161362052,0.14155069578182877
TEXBAT.cleanStatic,0.13883860726802547,0.037628773552173096,10,3812,0.5103579746415906,0.513033068379635,0.1433657170384515
TEXBAT.cleanStatic,0.14423516489440677,-0.034466261643149046,30,3088,0.49399319746592874,0.4873167736046605,0.14007967332483606
