dataset,prn,complex_normalized_coherence,phase_aligned_cosine,phase_aligned_distance,flip_only_coherence,no_flip_coherence
TEXBAT.cleanStatic,3,0.4422987386946777,0.4422987386946777,1.0561261868785587,0.3761710210062229,0.3488708464278691
TEXBAT.cleanStatic,13,0.39290613628647336,0.39290613628647336,1.101901868329051,0.4931952711114921,0.2567391529139466
TEXBAT.cleanStatic,16,0.3461911703887428,0.3461911703887428,1.1435111102313409,0.4112254351239466,0.09726501897830363
TEXBAT.cleanStatic,19,0.5551162880470918,0.5551162880470918,0.9432748400682676,0.5566185559648463,0.4568874210851944
TEXBAT.cleanStatic,30,0.6061340156498252,0.6061340156498252,0.8875426573975751,0.49522749667447,0.5954348719840676
OAKBAT.cleanStatic,10,0.6931966368561998,0.6931966368561998,0.7833305345048159,0.71196710176196,0.5739979475262793
OAKBAT.cleanStatic,11,0.7729183251028126,0.7729183251028126,0.673916426416788,0.7530179244912089,0.7216989531563627
OAKBAT.cleanStatic,21,0.7246080377972713,0.7246080377972713,0.7421481822422381,0.6615194293667528,0.7305873948683436
OAKBAT.cleanStatic,24,0.604504684132525,0.604504684132525,0.8893765410302603,0.6421430204402329,0.6381094015276706
OAKBAT.cleanStatic,27,0.7336623868205622,0.7336623868205622,0.7298460292136114,0.6640216242625447,0.6909832196884809
