path,receiver,area,band,reconstructed_object,oid_sha256,logical_size_bytes,payload_present
dataset/Sample_Area1_0250000_0274999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0250000_0274999.h5,ff86c5b7c8651addfce61702b1e03127ee67719a79e34d8882fb2e3115e5a2c4,1992294400,false
dataset/Sample_Area1_0250000_0274999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0250000_0274999.h5,615b35cbdeede7e601224d6d4f657f702b8cfe0832c41d70cfa058da93710436,1843461317,false
dataset/Sample_Area1_0275000_0299999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0275000_0299999.h5,82458559693246e3b40dc7025d36429fdb5466f18211e0c06dcf2e61b0ada131,1992294400,false
dataset/Sample_Area1_0275000_0299999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0275000_0299999.h5,644a7b31f9983aaa124732f998e0f54eae8fcf9acec501ccb001eed10d1fa622,1134512405,false
dataset/Sample_Area1_0300000_0324999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0300000_0324999.h5,cd4303bba9ce97d7cb18fc522fa4e8b109aca8148a2fd9b405c641cac574f458,1992294400,false
dataset/Sample_Area1_0300000_0324999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0300000_0324999.h5,f077731a657317d51385bec7167c55ee3edfbb75a8a04497c6379d655e4966b8,1637629093,false
dataset/Sample_Area1_0325000_0349999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0325000_0349999.h5,cfc936260516e4ce8b5ef36061ca7245ce88e2abe3a654bd1e45d52e28591515,1992294400,false
dataset/Sample_Area1_0325000_0349999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0325000_0349999.h5,b08e5900c4dd88b6a9a3c3fe8b371632804283ffb2ee565a6a42ccaa5b79f268,1975676933,false
dataset/Sample_Area1_0350000_0374999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0350000_0374999.h5,20294458bc2308b81fd21bdb318c9e0dfb09a5f42e8b5c78db26bd55480bb0ff,1992294400,false
dataset/Sample_Area1_0350000_0374999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0350000_0374999.h5,6b3db4ccd19b9143b8f7e72b993069c22f4c290ceb79f74e5f0d929f61cdec08,1992294400,false
dataset/Sample_Area1_0350000_0374999.h5.part-ac,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0350000_0374999.h5,6dc6beaceef00bffcd39861be35ba8eebf7adf47790f921da3b79c360ed20c09,179270568,false
dataset/Sample_Area1_0375000_0399999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0375000_0399999.h5,b9c91abac0db9a1219ddcfc892f2bd54c2c21cf4d351148796daf3ae00e8e0f1,1992294400,false
dataset/Sample_Area1_0375000_0399999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0375000_0399999.h5,d140b0ecfdbfde13288af2fec54b9f8d50701a6a922fa5b39e7a88eb73bc64b0,1992294400,false
dataset/Sample_Area1_0375000_0399999.h5.part-ac,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0375000_0399999.h5,0a66ae70a1021086bfc1cd5b891cec0cc51d108ecebc0a1a71e87946165cfdbb,178959838,false
