scenario,detector,threshold,status,threshold_value,normal_fpr,auroc,pr_auc,normalized_pauc_fpr_lte_0.05,attack_detection_rate,sustained_detection_rate,first_sustained_delay_s,persistent_alarm_ratio,causal_time_field
DS3,Noise-floor-only,q99,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
DS3,Noise-floor-only,q99.5,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
DS7,B0-native,q99,EVALUATED,0.8615548815839029,,0.9909389624614159,0.9939759722518466,0.8924126257094495,0.9504132231404959,0.9256198347107438,41.18132120000001,0.9504132231404959,availability_time_s
DS7,B0-native,q99.5,EVALUATED,0.9169274814058588,,0.9909389624614159,0.9939759722518466,0.8924126257094495,0.9380165289256198,0.9049586776859504,41.18132120000001,0.9380165289256198,availability_time_s
DS7,A1,q99,EVALUATED,-143.30977153837728,,0.8753297977240626,0.931661747342337,0.6709484849292433,0.6234309623430963,0.02092050209205021,158.99910436,0.6234309623430963,availability_time_s
DS7,A1,q99.5,EVALUATED,-125.3306954743365,,0.8753297977240626,0.931661747342337,0.6709484849292433,0.6108786610878661,0.02092050209205021,158.99910436,0.6108786610878661,availability_time_s
DS7,A2,q99,EVALUATED,-379.0884485034219,,0.8843376062681554,0.935101727801422,0.6507208911867387,0.6192468619246861,0.02092050209205021,158.99910436,0.6192468619246861,availability_time_s
DS7,A2,q99.5,EVALUATED,-378.1689567025421,,0.8843376062681554,0.935101727801422,0.6507208911867387,0.6192468619246861,0.02092050209205021,158.99910436,0.6192468619246861,availability_time_s
DS7,A3,q99,EVALUATED,-3238.9319622973853,,0.8991925201869954,0.9369691775316878,0.6438589035274118,0.585635359116022,0.0,,0.585635359116022,availability_time_s
DS7,A3,q99.5,EVALUATED,-3207.519015508078,,0.8991925201869954,0.9369691775316878,0.6438589035274118,0.574585635359116,0.0,,0.574585635359116,availability_time_s
DS7,Full,q99,EVALUATED,-3246.6999474626646,,0.8968115218115218,0.9347827274784257,0.6361971361971361,0.5824175824175825,0.0,,0.5824175824175825,availability_time_s
DS7,Full,q99.5,EVALUATED,-3238.9321218317637,,0.8968115218115218,0.9347827274784257,0.6361971361971361,0.5824175824175825,0.0,,0.5824175824175825,availability_time_s
DS7,Neural-with-energy,q99,EVALUATED,-3246.6999621056166,,0.8940217391304348,0.9352127042447549,0.628226902173913,0.5760869565217391,0.0,,0.5760869565217391,availability_time_s
DS7,Neural-with-energy,q99.5,EVALUATED,-3238.932085618333,,0.8940217391304348,0.9352127042447549,0.628226902173913,0.5760869565217391,0.0,,0.5760869565217391,availability_time_s
DS7,Power-only,q99,EVALUATED,14034251587623.416,,0.001698806244260789,0.36746231876287355,0.0,0.0,0.0,,0.0,availability_time_s
DS7,Power-only,q99.5,EVALUATED,14169284350885.652,,0.001698806244260789,0.36746231876287355,0.0,0.0,0.0,,0.0,availability_time_s
DS7,Noise-floor-only,q99,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
DS7,Noise-floor-only,q99.5,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
DS8,B0-native,q99,EVALUATED,0.8615548815839029,,0.9999530101685995,0.9999878913997035,0.9990602033719903,0.9953198127925117,0.9890795631825273,41.22356048,0.9953198127925117,availability_time_s
DS8,B0-native,q99.5,EVALUATED,0.9169274814058588,,0.9999530101685995,0.9999878913997035,0.9990602033719903,0.9953198127925117,0.9890795631825273,41.22356048,0.9953198127925117,availability_time_s
DS8,A1,q99,EVALUATED,-143.30977153837728,,0.9317604653067912,0.9711928062001125,0.7840583271893177,0.6741214057507987,0.12140575079872204,75.49920915999999,0.6741214057507987,availability_time_s
DS8,A1,q99.5,EVALUATED,-125.3306954743365,,0.9317604653067912,0.9711928062001125,0.7840583271893177,0.6421725239616614,0.09904153354632587,89.99919104,0.6421725239616614,availability_time_s
DS8,A2,q99,EVALUATED,-379.0884485034219,,0.9411608093716719,0.973221491904381,0.7324485950684034,0.6837060702875399,0.10223642172523961,89.49919168,0.6837060702875399,availability_time_s
DS8,A2,q99.5,EVALUATED,-378.1689567025421,,0.9411608093716719,0.973221491904381,0.7324485950684034,0.6837060702875399,0.10223642172523961,89.49919168,0.6837060702875399,availability_time_s
DS8,A3,q99,EVALUATED,-3238.9319622973853,,0.9550301940125916,0.9894215626594228,0.8312704327094664,0.8637200736648251,0.10497237569060773,87.4991942,0.8637200736648251,availability_time_s
DS8,A3,q99.5,EVALUATED,-3207.519015508078,,0.9550301940125916,0.9894215626594228,0.8312704327094664,0.850828729281768,0.10128913443830571,88.49919292000001,0.850828729281768,availability_time_s
DS8,Full,q99,EVALUATED,-3246.6999474626646,,0.9554011879593275,0.9894708174425519,0.8374394155125053,0.8701298701298701,0.10575139146567718,87.4991942,0.8701298701298701,availability_time_s
DS8,Full,q99.5,EVALUATED,-3238.9321218317637,,0.9554011879593275,0.9894708174425519,0.8374394155125053,0.8664192949907236,0.10575139146567718,87.4991942,0.8664192949907236,availability_time_s
DS8,Neural-with-energy,q99,EVALUATED,-3246.6999621056166,,0.9547150997150998,0.9892278455284877,0.834045584045584,0.8685185185185185,0.10555555555555556,87.4991942,0.8685185185185185,availability_time_s
DS8,Neural-with-energy,q99.5,EVALUATED,-3238.932085618333,,0.9547150997150998,0.9892278455284877,0.834045584045584,0.8648148148148148,0.10555555555555556,87.4991942,0.8648148148148148,availability_time_s
DS8,Power-only,q99,EVALUATED,14034251587623.416,,0.0016406250000000002,0.5741720619517989,0.0,0.0,0.0,,0.0,availability_time_s
DS8,Power-only,q99.5,EVALUATED,14169284350885.652,,0.0016406250000000002,0.5741720619517989,0.0,0.0,0.0,,0.0,availability_time_s
DS8,Noise-floor-only,q99,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
DS8,Noise-floor-only,q99.5,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
