window_mid_s,score_mean,score_quorum_offset_gate,score_persistence_switch,prn_count,soft_high_fraction,soft_high_fraction_roll3
0.5,1.9441842277243777,5.388368455448756,5.388368455448756,8,0.5,0.5
1.0,1.4765008788231573,4.453001757646314,4.453001757646314,8,0.5,0.5
1.5,1.0138150360023235,2.1310661631144674,3.062108769041254,9,0.2222222222222222,0.40740740740740744
2.0,0.9709296849949488,2.618216141658248,0.9709296849949488,9,0.3333333333333333,0.35185185185185186
2.5,0.9897502090940026,2.6495836818233376,0.9897502090940026,9,0.3333333333333333,0.2962962962962963
3.0,0.9908942213227038,2.6514903688711726,0.9908942213227038,9,0.3333333333333333,0.3333333333333333
3.5,1.1049485341181042,3.7098970682362085,1.1049485341181042,10,0.5,0.3888888888888889
4.0,1.0957082294438438,3.6914164588876877,3.403004433393927,10,0.5,0.4444444444444444
4.5,1.0404085391332263,3.0727353704398075,3.411456508990905,10,0.4,0.46666666666666673
5.0,0.9788930426014808,2.466228868162369,2.9620074766826656,10,0.3,0.4000000000000001
5.5,0.9273060934002817,1.8982285307603943,0.9273060934002817,10,0.2,0.30000000000000004
6.0,0.9231043174701755,1.8923460444582458,0.9231043174701755,10,0.2,0.23333333333333336
6.5,0.9571525405688007,1.940013556796321,0.9571525405688007,10,0.2,0.2
7.0,0.9426058956341107,1.919648253887755,0.9426058956341107,10,0.2,0.2
7.5,0.8946599253909614,1.852523895547346,0.8946599253909614,10,0.2,0.2
8.0,0.8976678813137948,1.8567350338393127,0.8976678813137948,10,0.2,0.2
8.5,0.9208924491311272,1.8892494287835782,0.9208924491311272,10,0.2,0.2
9.0,0.909012210599545,1.872617094839363,0.909012210599545,10,0.2,0.2
9.5,0.9045744474244175,1.8664042263941845,0.9045744474244175,10,0.2,0.2
10.0,0.909186005854729,2.3546976093675664,0.909186005854729,10,0.3,0.23333333333333336
10.5,0.9393084749906391,2.8907552549831506,0.9393084749906391,10,0.4,0.3
11.0,0.9523028882348342,2.4236846211757346,0.9523028882348342,10,0.3,0.3333333333333333
11.5,0.9040812343002582,1.8657137280203615,0.9040812343002582,10,0.2,0.3
12.0,0.9194581331957901,2.371133013113264,0.9194581331957901,10,0.3,0.26666666666666666
12.5,1.005814869129955,2.509303790607928,1.005814869129955,10,0.3,0.26666666666666666
13.0,1.0575930914703544,2.592148946352567,1.0575930914703544,10,0.3,0.3
13.5,1.0458823966731836,2.064235355342457,1.0458823966731836,10,0.2,0.26666666666666666
14.0,1.1865414122709566,3.335774542087722,1.1865414122709566,10,0.4,0.3
14.5,1.112555018246599,3.725110036493198,1.112555018246599,10,0.5,0.3666666666666667
15.0,0.9767713925927529,1.967479949629854,0.9767713925927529,10,0.2,0.3666666666666667
15.5,0.9203904178595106,1.8885465850033147,0.9203904178595106,10,0.2,0.3
16.0,0.9572831248734739,1.9401963748228634,0.9572831248734739,10,0.2,0.2
16.5,1.0403436921304103,2.5645499074086566,1.0403436921304103,10,0.3,0.23333333333333336
17.0,1.1309081988088607,2.183271478332405,1.1309081988088607,10,0.2,0.2333333333333333
17.5,1.0778374518836789,2.624539923013886,1.0778374518836789,10,0.3,0.26666666666666666
18.0,1.0821463939277811,3.1478635090700062,1.0821463939277811,10,0.4,0.3
18.5,1.2493766568675433,4.548628645108595,3.6321697594860805,10,0.6,0.43333333333333335
19.0,1.3254155796813498,4.715914275298969,4.3391921980081225,10,0.6,0.5333333333333333
19.5,1.1368427130789163,3.2463168835420495,3.9494749403630935,10,0.4,0.5333333333333333
20.0,1.0748636938233762,2.619781910117402,3.306412228470302,10,0.3,0.43333333333333335
20.5,1.3084028470284825,3.5551251246512687,1.3084028470284825,10,0.4,0.3666666666666667
21.0,1.1271802423932027,3.7543604847864054,1.1271802423932027,10,0.5,0.39999999999999997
21.5,1.0900335345048506,2.644053655207761,1.0900335345048506,10,0.3,0.39999999999999997
22.0,1.0370439130108844,2.0518614782152382,1.0370439130108844,10,0.2,0.3333333333333333
22.5,1.0457378436536509,3.082328118576572,1.0457378436536509,10,0.4,0.30000000000000004
23.0,1.0012563743398841,3.0022614738117914,1.0012563743398841,10,0.4,0.3333333333333333
23.5,1.0481124382431906,3.0866023888377434,3.0866023888377434,10,0.4,0.4
24.0,1.0745649006128979,2.6193038409806366,1.0745649006128979,10,0.3,0.3666666666666667
24.5,1.035352752684376,3.063634954831877,1.035352752684376,10,0.4,0.3666666666666667
25.0,1.1456770440647435,3.2622186793165384,1.1456770440647435,10,0.4,0.3666666666666667
25.5,1.0697362745563344,3.125525294201402,3.125525294201402,10,0.4,0.4
26.0,1.157187280168246,3.282937104302843,3.282937104302843,10,0.4,0.4
26.5,1.18516638403433,3.87033276806866,3.5123105835307493,10,0.5,0.43333333333333335
27.0,1.1063421080044216,3.712684216008843,3.5389280754752157,10,0.5,0.46666666666666673
27.5,0.9002399876173331,2.340383980187733,2.9804479768856886,10,0.3,0.43333333333333335
28.0,1.1235124044242795,2.697619847078847,1.1235124044242795,10,0.3,0.3666666666666667
28.5,1.1078053388203755,3.194049609876676,1.1078053388203755,10,0.4,0.3333333333333333
29.0,1.069646672468949,3.1253640104441085,1.069646672468949,10,0.4,0.3666666666666667
29.5,1.1152164426866646,2.6843463082986636,1.1152164426866646,10,0.3,0.3666666666666667
30.0,1.1849999376969687,3.3329998878545437,1.1849999376969687,10,0.4,0.3666666666666667
30.5,1.1778451561378929,4.391259343503364,3.4986442914574,10,0.6,0.43333333333333335
31.0,1.1104136570378715,3.1987445826681693,3.5467997369398847,10,0.4,0.4666666666666666
