dataset,median_flip_reproducibility,median_no_flip_reproducibility,flip_minus_no_flip,block_permutation_p
TEXBAT.cleanStatic,0.4931952711114921,0.3488708464278691,0.144324424683623,0.017
OAKBAT.cleanStatic,0.6640216242625447,0.6909832196884809,-0.026961595425936125,0.629
