scenario,method,diagnostic_only,thresholded,epoch_count,score_median,score_q99
DS1,rmse,True,False,910,8.371006604154198,15.67240458961935
DS1,diag_mahalanobis,True,False,910,5.833469683518651,11.006087081621205
DS1,full_shrinkage_mahalanobis,True,False,910,12.215099541939228,19.380762137937648
DS1,max_standardized_tap,True,False,910,4.151653457227805,8.840069345096989
DS2,rmse,True,False,901,4.327816667383094,9.687377132912799
DS2,diag_mahalanobis,True,False,901,2.8406469074054184,7.749262628324513
DS2,full_shrinkage_mahalanobis,True,False,901,6.434917081619402,12.34478184820016
DS2,max_standardized_tap,True,False,901,2.8367315199440437,5.774314049488386
DS3,rmse,True,False,902,5.6598879378487545,27.721756005376516
DS3,diag_mahalanobis,True,False,902,3.565027264301028,27.721756005376516
DS3,full_shrinkage_mahalanobis,True,False,902,9.58247867185807,27.721756005376516
DS3,max_standardized_tap,True,False,902,3.3801491357414895,27.721756005376516
DS4,rmse,True,False,243,0.984705241009473,8.327451792188086
DS4,diag_mahalanobis,True,False,243,0.9727102009733362,5.203148269444085
DS4,full_shrinkage_mahalanobis,True,False,243,0.9245673009020902,5.375096553800992
DS4,max_standardized_tap,True,False,243,0.9629632741300433,5.05067946265252
