scenario,prn,rows,p_median,e_q99
DS1,G01,18,0.0006802721088435374,27.721756005376513
DS1,G03,910,0.010884353741496598,27.721756005376513
DS1,G04,18,0.0006802721088435374,27.721756005376513
DS1,G05,18,0.0006802721088435374,27.721756005376513
DS1,G06,910,0.009523809523809525,27.721756005376513
DS1,G07,910,0.007482993197278911,27.721756005376513
DS1,G08,9,0.011564625850340135,13.161577915344292
DS1,G09,18,0.0006802721088435374,27.721756005376513
DS1,G10,910,0.004081632653061225,27.721756005376513
DS1,G12,18,0.0006802721088435374,27.721756005376513
DS1,G13,910,0.011564625850340135,27.721756005376513
DS1,G16,910,0.010884353741496598,27.721756005376513
DS1,G19,910,0.011564625850340135,27.721756005376513
DS1,G20,907,0.0006802721088435374,27.721756005376513
DS1,G23,910,0.011564625850340135,27.721756005376513
DS1,G24,36,0.0006802721088435374,27.721756005376513
DS1,G29,18,0.0006802721088435374,27.721756005376513
DS1,G30,904,0.0006802721088435374,27.721756005376513
DS2,G03,901,0.011564625850340135,13.544467780931475
DS2,G06,901,0.011564625850340135,13.544467780931475
DS2,G07,901,0.011564625850340135,27.721756005376513
DS2,G08,26,0.09115646258503401,6.320005431811649
DS2,G10,900,0.010884353741496598,27.721756005376513
DS2,G12,18,0.0006802721088435374,27.721756005376513
DS2,G13,901,0.011564625850340135,13.544467780931475
DS2,G14,18,0.0006802721088435374,27.721756005376513
DS2,G15,36,0.0006802721088435374,27.721756005376513
DS2,G16,901,0.011564625850340135,13.544467780931475
DS2,G18,18,0.0006802721088435374,27.721756005376513
DS2,G19,901,0.011564625850340135,13.544467780931475
DS2,G20,32,0.5710884353741497,1.0000882472224113
DS2,G23,901,0.011564625850340135,13.544467780931475
DS2,G30,865,0.007482993197278911,27.721756005376513
DS3,G01,18,0.0006802721088435374,27.721756005376513
DS3,G03,902,0.007482993197278911,27.721756005376513
DS3,G04,18,0.0006802721088435374,27.721756005376513
DS3,G05,18,0.0006802721088435374,27.721756005376513
DS3,G06,23,0.9972789115646259,27.721756005376513
DS3,G07,591,0.003401360544217687,27.721756005376513
DS3,G08,27,0.0006802721088435374,27.721756005376513
DS3,G09,18,0.0006802721088435374,27.721756005376513
DS3,G10,541,0.0020408163265306124,27.721756005376513
DS3,G13,43,0.9775510204081632,0.5410339896070044
DS3,G16,40,0.9850340136054422,0.5590869727346005
DS3,G18,18,0.0006802721088435374,27.721756005376513
DS3,G19,37,0.9802721088435374,0.5396369937541933
DS3,G20,29,0.39931972789115644,27.721756005376513
DS3,G23,902,0.011564625850340135,27.721756005376513
DS3,G24,18,0.0006802721088435374,27.721756005376513
DS3,G30,24,0.7649659863945578,13.544467780931475
DS3,G32,10,0.1846938775510204,1.1949260719917232
DS4,G03,243,0.7170068027210884,4.675215311198402
DS4,G06,243,0.46802721088435373,0.973729758515362
DS4,G07,243,0.41156462585034015,1.323390010523071
DS4,G08,85,0.06190476190476191,27.721756005376513
DS4,G10,243,0.15034013605442176,4.202979404038303
DS4,G13,243,0.7115646258503401,1.2908680586086367
DS4,G16,243,0.6408163265306123,2.778075948321022
DS4,G18,18,0.0006802721088435374,27.721756005376513
DS4,G19,243,0.46870748299319726,2.2902792108985794
DS4,G20,237,0.15170068027210884,5.556405588144556
DS4,G23,243,0.8469387755102041,9.368095945175046
DS4,G30,241,0.09795918367346938,11.630018452995532
