dataset,metric,lower_95,upper_95,status,reason
OAKBAT.cleanStatic,all,,,NOT_RUN,validated five-PRN NAV/NCO common intervals are shorter than the preregistered 29 s minimum needed for 3 s train + 10 s guard + 3 s calibration + 10 s guard + 3 s holdout
TEXBAT.cleanStatic,all,,,NOT_RUN,validated five-PRN NAV/NCO common intervals are shorter than the preregistered 29 s minimum needed for 3 s train + 10 s guard + 3 s calibration + 10 s guard + 3 s holdout
