window_mid_s,score_mean,score_consensus_gate,prn_count,prn_high_count,prn_high_fraction
0.5,1.9441842277243777,2.430230284655472,8,2,0.25
1.0,1.4765008788231573,2.030188708381841,8,3,0.375
1.5,1.0138150360023235,1.0138150360023235,9,0,0.0
2.0,0.9709296849949488,0.9709296849949488,9,0,0.0
2.5,0.9897502090940026,1.0997224545488917,9,1,0.1111111111111111
3.0,0.9908942213227038,1.1009935792474488,9,1,0.1111111111111111
3.5,1.1049485341181042,1.1049485341181042,10,0,0.0
4.0,1.0957082294438438,1.0957082294438438,10,0,0.0
4.5,1.0404085391332263,1.0404085391332263,10,0,0.0
5.0,0.9788930426014808,0.9788930426014808,10,0,0.0
5.5,0.9273060934002817,0.9273060934002817,10,0,0.0
6.0,0.9231043174701755,0.9231043174701755,10,0,0.0
6.5,0.9571525405688007,1.0528677946256808,10,1,0.1
7.0,0.9426058956341107,0.9426058956341107,10,0,0.0
7.5,0.8946599253909614,0.8946599253909614,10,0,0.0
8.0,0.8976678813137948,0.8976678813137948,10,0,0.0
8.5,0.9208924491311272,1.01298169404424,10,1,0.1
9.0,0.909012210599545,0.909012210599545,10,0,0.0
9.5,0.9045744474244175,0.9045744474244175,10,0,0.0
10.0,0.909186005854729,0.909186005854729,10,0,0.0
10.5,0.9393084749906391,0.9393084749906391,10,0,0.0
11.0,0.9523028882348342,0.9523028882348342,10,0,0.0
11.5,0.9040812343002582,0.9040812343002582,10,0,0.0
12.0,0.9194581331957901,0.9194581331957901,10,0,0.0
12.5,1.005814869129955,1.1063963560429506,10,1,0.1
13.0,1.0575930914703544,1.1633524006173899,10,1,0.1
13.5,1.0458823966731836,1.1504706363405022,10,1,0.1
14.0,1.1865414122709566,1.3051955534980524,10,1,0.1
14.5,1.112555018246599,1.223810520071259,10,1,0.1
15.0,0.9767713925927529,0.9767713925927529,10,0,0.0
15.5,0.9203904178595106,0.9203904178595106,10,0,0.0
16.0,0.9572831248734739,0.9572831248734739,10,0,0.0
16.5,1.0403436921304103,1.0403436921304103,10,0,0.0
17.0,1.1309081988088607,1.357089838570633,10,2,0.2
17.5,1.0778374518836789,1.185621197072047,10,1,0.1
18.0,1.0821463939277811,1.0821463939277811,10,0,0.0
18.5,1.2493766568675433,1.2493766568675433,10,0,0.0
19.0,1.3254155796813498,1.5904986956176197,10,2,0.2
19.5,1.1368427130789163,1.250526984386808,10,1,0.1
20.0,1.0748636938233762,1.182350063205714,10,1,0.1
20.5,1.3084028470284825,1.439243131731331,10,1,0.1
21.0,1.1271802423932027,1.1271802423932027,10,0,0.0
21.5,1.0900335345048506,1.1990368879553357,10,1,0.1
22.0,1.0370439130108844,1.1407483043119728,10,1,0.1
22.5,1.0457378436536509,1.0457378436536509,10,0,0.0
23.0,1.0012563743398841,1.0012563743398841,10,0,0.0
23.5,1.0481124382431906,1.0481124382431906,10,0,0.0
24.0,1.0745649006128979,1.1820213906741879,10,1,0.1
24.5,1.035352752684376,1.1388880279528137,10,1,0.1
25.0,1.1456770440647435,1.4893801572841665,10,3,0.3
25.5,1.0697362745563344,1.2836835294676012,10,2,0.2
26.0,1.157187280168246,1.2729060081850705,10,1,0.1
26.5,1.18516638403433,1.422199660841196,10,2,0.2
27.0,1.1063421080044216,1.1063421080044216,10,0,0.0
27.5,0.9002399876173331,0.9002399876173331,10,0,0.0
28.0,1.1235124044242795,1.3482148853091354,10,2,0.2
28.5,1.1078053388203755,1.3293664065844506,10,2,0.2
29.0,1.069646672468949,1.069646672468949,10,0,0.0
29.5,1.1152164426866646,1.2267380869553313,10,1,0.1
30.0,1.1849999376969687,1.4219999252363624,10,2,0.2
30.5,1.1778451561378929,1.1778451561378929,10,0,0.0
31.0,1.1104136570378715,1.2214550227416587,10,1,0.1
31.5,1.3771573270520503,1.6525887924624603,10,2,0.2
32.0,1.3832213305357532,1.659865596642904,10,2,0.2
32.5,1.2549905856563477,1.505988702787617,10,2,0.2
33.0,1.1473434107525429,1.2620777518277972,10,1,0.1
33.5,1.1641404897034047,1.2805545386737451,10,1,0.1
34.0,1.130013002392505,1.2430143026317557,10,1,0.1
34.5,1.15878409010661,1.3905409081279319,10,2,0.2
35.0,1.1913956341103618,1.429674760932434,10,2,0.2
35.5,0.9464964525843312,0.9464964525843312,10,0,0.0
36.0,0.9221461000513184,0.9221461000513184,10,0,0.0
36.5,1.2677945663834764,1.5213534796601718,10,2,0.2
37.0,1.3050122878660164,1.6965159742258213,10,3,0.3
37.5,1.1087791507867246,1.4414128960227421,10,3,0.3
38.0,1.1166041043126098,1.2282645147438709,10,1,0.1
