scenario,metric,ci_low,ci_high,reps,block_seconds,phase_aware,model,operating_point
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS7,roc_auc,0.05573533229491173,0.3379331961442757,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS7,pr_auc,0.521700690868205,0.7234125334603257,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS7,roc_auc,0.05573533229491173,0.3379331961442757,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS7,pr_auc,0.521700690868205,0.7234125334603257,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS8,roc_auc,0.2765066550925926,0.5314409722222222,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS8,pr_auc,0.8336064755272719,0.912281280158302,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS8,roc_auc,0.2765066550925926,0.5314409722222222,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS8,pr_auc,0.8336064755272719,0.912281280158302,100,10,True,seed::complex IG K5::model202::policyNone,q995
cleanStatic,clean_fpr,0.0,0.028037383177570093,100,10,False,seed::complex IG K5::model303::policyNone,q99
cleanStatic,clean_fpr,0.0,0.028037383177570093,100,10,False,seed::complex IG K5::model303::policyNone,q995
DS1,post_detection,0.13205448066170622,0.2296680497925311,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS1,roc_auc,0.8286582382434302,0.9324144088018524,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS1,pr_auc,0.9696853885385608,0.9881813717906288,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS1,post_detection,0.10715767634854771,0.1985131396957123,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS1,roc_auc,0.8286582382434302,0.9324144088018524,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS1,pr_auc,0.9696853885385608,0.9881813717906288,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS2,post_detection,0.12213983050847459,0.2551120448179271,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS2,roc_auc,0.6588834330342307,0.8585441176470587,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS2,pr_auc,0.9437459742469214,0.9783102955212374,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS2,post_detection,0.10051096709870389,0.22149859943977585,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS2,roc_auc,0.6588834330342307,0.8585441176470587,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS2,pr_auc,0.9437459742469214,0.9783102955212374,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS3,post_detection,0.13357055426526898,0.31788602240985264,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS3,roc_auc,0.2698334497206704,0.5691502808988764,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS3,pr_auc,0.8457939682542976,0.927698918359907,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS3,post_detection,0.1252344093277258,0.29749456418232595,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS3,roc_auc,0.2698334497206704,0.5691502808988764,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS3,pr_auc,0.8457939682542976,0.927698918359907,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS7,roc_auc,0.16226246105919,0.5579367860851504,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS7,pr_auc,0.600195041829491,0.843762214287308,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS7,roc_auc,0.16226246105919,0.5579367860851504,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS7,pr_auc,0.600195041829491,0.843762214287308,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS8,roc_auc,0.37706221064814816,0.6588952546296294,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS8,pr_auc,0.867263176612366,0.941084796221231,100,10,True,seed::complex IG K5::model303::policyNone,q99
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS8,roc_auc,0.37706221064814816,0.6588952546296294,100,10,True,seed::complex IG K5::model303::policyNone,q995
DS8,pr_auc,0.867263176612366,0.941084796221231,100,10,True,seed::complex IG K5::model303::policyNone,q995
cleanStatic,clean_fpr,0.0,0.037037037037037035,100,10,False,seed::complex IG K7::model101::policyNone,q99
cleanStatic,clean_fpr,0.0,0.0,100,10,False,seed::complex IG K7::model101::policyNone,q995
DS1,post_detection,0.9446749654218534,1.0,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS1,roc_auc,0.944937262275242,1.0,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS1,pr_auc,0.9924490938148883,1.0,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS1,post_detection,0.9391424619640387,1.0,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS1,roc_auc,0.944937262275242,1.0,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS1,pr_auc,0.9924490938148883,1.0,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS2,post_detection,0.5679108507809904,0.73578431372549,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS2,roc_auc,0.5383396358543417,0.7536043417366947,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS2,pr_auc,0.8952674404252803,0.9548361017756849,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS2,post_detection,0.46897759103641457,0.634453781512605,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS2,roc_auc,0.5383396358543417,0.7536043417366947,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS2,pr_auc,0.8952674404252803,0.9548361017756849,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS3,post_detection,0.3052933353210721,0.5912709497206703,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS3,roc_auc,0.31829120111731846,0.6266993715083798,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS3,pr_auc,0.8621835123591924,0.9406586747544556,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS3,post_detection,0.2682048757140167,0.5469622905027932,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS3,roc_auc,0.31829120111731846,0.6266993715083798,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS3,pr_auc,0.8621835123591924,0.9406586747544556,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS7,roc_auc,0.07889106372882755,0.2946967151320719,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS7,pr_auc,0.5114883336624112,0.6407981278752493,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS7,roc_auc,0.07889106372882755,0.2946967151320719,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS7,pr_auc,0.5114883336624112,0.6407981278752493,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS8,roc_auc,0.17758449074074073,0.3395,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS8,pr_auc,0.7392914367602152,0.8158745384684798,100,10,True,seed::complex IG K7::model101::policyNone,q99
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS8,roc_auc,0.17758449074074073,0.3395,100,10,True,seed::complex IG K7::model101::policyNone,q995
DS8,pr_auc,0.7392914367602152,0.8158745384684798,100,10,True,seed::complex IG K7::model101::policyNone,q995
cleanStatic,clean_fpr,0.0,0.03007307615828193,100,10,False,seed::complex IG K7::model202::policyNone,q99
cleanStatic,clean_fpr,0.0,0.0,100,10,False,seed::complex IG K7::model202::policyNone,q995
DS1,post_detection,0.8761133085702867,1.0,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS1,roc_auc,0.9173085250568069,0.9998539107589952,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS1,pr_auc,0.9886055772945247,0.9999795882316859,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS1,post_detection,0.8606825412684793,1.0,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS1,roc_auc,0.9173085250568069,0.9998539107589952,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS1,pr_auc,0.9886055772945247,0.9999795882316859,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS2,post_detection,0.02727591036414566,0.07881148222000663,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS2,roc_auc,0.11584558823529412,0.29730144981721496,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS2,pr_auc,0.7387035637125553,0.8010993006696846,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS2,post_detection,0.015406162464985995,0.041515038218677296,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS2,roc_auc,0.11584558823529412,0.29730144981721496,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS2,pr_auc,0.7387035637125553,0.8010993006696846,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS3,post_detection,0.03686150429979286,0.14259776536312846,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS3,roc_auc,0.061418296089385475,0.24799022346368704,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS3,pr_auc,0.7366256272695422,0.8349841738877437,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS3,post_detection,0.023001734040549872,0.11180167597765361,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS3,roc_auc,0.061418296089385475,0.24799022346368704,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS3,pr_auc,0.7366256272695422,0.8349841738877437,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS7,roc_auc,0.059115394600207684,0.3521680016573483,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS7,pr_auc,0.5260619549320391,0.7266243389578492,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS7,roc_auc,0.059115394600207684,0.3521680016573483,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS7,pr_auc,0.5260619549320391,0.7266243389578492,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS8,roc_auc,0.2784007523148148,0.5346727430555555,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS8,pr_auc,0.8342938587109249,0.9130045640804091,100,10,True,seed::complex IG K7::model202::policyNone,q99
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS8,roc_auc,0.2784007523148148,0.5346727430555555,100,10,True,seed::complex IG K7::model202::policyNone,q995
DS8,pr_auc,0.8342938587109249,0.9130045640804091,100,10,True,seed::complex IG K7::model202::policyNone,q995
cleanStatic,clean_fpr,0.0,0.11214953271028037,100,10,False,seed::complex IG K7::model303::policyNone,q99
cleanStatic,clean_fpr,0.0,0.11214953271028037,100,10,False,seed::complex IG K7::model303::policyNone,q995
DS1,post_detection,0.17842323651452283,0.27735131396957124,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS1,roc_auc,0.812773145746888,0.9162258721921174,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS1,pr_auc,0.9645579048786211,0.9857369782058877,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS1,post_detection,0.14134684329928415,0.23730982019363758,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS1,roc_auc,0.812773145746888,0.9162258721921174,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS1,pr_auc,0.9645579048786211,0.9857369782058877,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS2,post_detection,0.1663135593220339,0.33138501163177125,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS2,roc_auc,0.6502099534729145,0.8463886554621849,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS2,pr_auc,0.9398290112566285,0.9763730397425522,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS2,post_detection,0.14244617338460808,0.2890575297915776,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS2,roc_auc,0.6502099534729145,0.8463886554621849,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS2,pr_auc,0.9398290112566285,0.9763730397425522,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS3,post_detection,0.15275837988826815,0.3422579275647537,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS3,roc_auc,0.24135998603351955,0.5377993691544786,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS3,pr_auc,0.8393631047630986,0.9238981246689048,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS3,post_detection,0.1458449720670391,0.32957878364652105,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS3,roc_auc,0.24135998603351955,0.5377993691544786,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS3,pr_auc,0.8393631047630986,0.9238981246689048,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS7,roc_auc,0.16226246105919,0.5579367860851504,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS7,pr_auc,0.600195041829491,0.843762214287308,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS7,roc_auc,0.16226246105919,0.5579367860851504,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS7,pr_auc,0.600195041829491,0.843762214287308,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS8,roc_auc,0.37706221064814816,0.6588952546296294,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS8,pr_auc,0.867263176612366,0.941084796221231,100,10,True,seed::complex IG K7::model303::policyNone,q99
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS8,roc_auc,0.37706221064814816,0.6588952546296294,100,10,True,seed::complex IG K7::model303::policyNone,q995
DS8,pr_auc,0.867263176612366,0.941084796221231,100,10,True,seed::complex IG K7::model303::policyNone,q995
cleanStatic,clean_fpr,0.0,0.0,100,10,False,seed::complex K3::model101::policyNone,q99
cleanStatic,clean_fpr,0.0,0.0,100,10,False,seed::complex K3::model101::policyNone,q995
DS1,post_detection,0.8558237239390484,1.0,100,10,True,seed::complex K3::model101::policyNone,q99
DS1,roc_auc,0.9152712439488243,1.0,100,10,True,seed::complex K3::model101::policyNone,q99
DS1,pr_auc,0.9886148115446948,1.0,100,10,True,seed::complex K3::model101::policyNone,q99
DS1,post_detection,0.8535928457520796,1.0,100,10,True,seed::complex K3::model101::policyNone,q995
DS1,roc_auc,0.9152712439488243,1.0,100,10,True,seed::complex K3::model101::policyNone,q995
DS1,pr_auc,0.9886148115446948,1.0,100,10,True,seed::complex K3::model101::policyNone,q995
DS2,post_detection,0.8822829131652661,0.9796396524711579,100,10,True,seed::complex K3::model101::policyNone,q99
DS2,roc_auc,0.9712135854341737,0.9968862044817927,100,10,True,seed::complex K3::model101::policyNone,q99
DS2,pr_auc,0.9959656869049993,0.9995540415720033,100,10,True,seed::complex K3::model101::policyNone,q99
DS2,post_detection,0.8808823529411764,0.9782328609409865,100,10,True,seed::complex K3::model101::policyNone,q995
DS2,roc_auc,0.9712135854341737,0.9968862044817927,100,10,True,seed::complex K3::model101::policyNone,q995
DS2,pr_auc,0.9959656869049993,0.9995540415720033,100,10,True,seed::complex K3::model101::policyNone,q995
DS3,post_detection,0.20017458100558658,0.46793025390747595,100,10,True,seed::complex K3::model101::policyNone,q99
DS3,roc_auc,0.42793261173184355,0.7791703910614521,100,10,True,seed::complex K3::model101::policyNone,q99
DS3,pr_auc,0.8876363420532052,0.9620205337719266,100,10,True,seed::complex K3::model101::policyNone,q99
DS3,post_detection,0.196054469273743,0.46158982486975075,100,10,True,seed::complex K3::model101::policyNone,q995
DS3,roc_auc,0.42793261173184355,0.7791703910614521,100,10,True,seed::complex K3::model101::policyNone,q995
DS3,pr_auc,0.8876363420532052,0.9620205337719266,100,10,True,seed::complex K3::model101::policyNone,q995
DS7,post_detection,1.0,1.0,100,10,True,seed::complex K3::model101::policyNone,q99
DS7,roc_auc,0.03196003551873879,0.24628230848827093,100,10,True,seed::complex K3::model101::policyNone,q99
DS7,pr_auc,0.4979806068892844,0.6444144458147372,100,10,True,seed::complex K3::model101::policyNone,q99
DS7,post_detection,1.0,1.0,100,10,True,seed::complex K3::model101::policyNone,q995
DS7,roc_auc,0.03196003551873879,0.24628230848827093,100,10,True,seed::complex K3::model101::policyNone,q995
DS7,pr_auc,0.4979806068892844,0.6444144458147372,100,10,True,seed::complex K3::model101::policyNone,q995
DS8,post_detection,1.0,1.0,100,10,True,seed::complex K3::model101::policyNone,q99
DS8,roc_auc,0.054655671296296296,0.16168605324074067,100,10,True,seed::complex K3::model101::policyNone,q99
DS8,pr_auc,0.6910257362911336,0.7483092120751449,100,10,True,seed::complex K3::model101::policyNone,q99
DS8,post_detection,1.0,1.0,100,10,True,seed::complex K3::model101::policyNone,q995
DS8,roc_auc,0.054655671296296296,0.16168605324074067,100,10,True,seed::complex K3::model101::policyNone,q995
DS8,pr_auc,0.6910257362911336,0.7483092120751449,100,10,True,seed::complex K3::model101::policyNone,q995
cleanStatic,clean_fpr,0.0,0.0,100,10,False,seed::complex K3::model202::policyNone,q99
cleanStatic,clean_fpr,0.0,0.0,100,10,False,seed::complex K3::model202::policyNone,q995
DS1,post_detection,0.9269949533537863,1.0,100,10,True,seed::complex K3::model202::policyNone,q99
DS1,roc_auc,0.9152952973720608,1.0,100,10,True,seed::complex K3::model202::policyNone,q99
DS1,pr_auc,0.9888937813938544,1.0,100,10,True,seed::complex K3::model202::policyNone,q99
DS1,post_detection,0.9195081968818936,1.0,100,10,True,seed::complex K3::model202::policyNone,q995
DS1,roc_auc,0.9152952973720608,1.0,100,10,True,seed::complex K3::model202::policyNone,q995
DS1,pr_auc,0.9888937813938544,1.0,100,10,True,seed::complex K3::model202::policyNone,q995
DS2,post_detection,0.05028011204481793,0.15697164459003937,100,10,True,seed::complex K3::model202::policyNone,q99
DS2,roc_auc,0.022086134453781513,0.16607633053221282,100,10,True,seed::complex K3::model202::policyNone,q99
DS2,pr_auc,0.7110971024405552,0.7681452423335392,100,10,True,seed::complex K3::model202::policyNone,q99
DS2,post_detection,0.03398079059209891,0.1224671224421972,100,10,True,seed::complex K3::model202::policyNone,q995
DS2,roc_auc,0.022086134453781513,0.16607633053221282,100,10,True,seed::complex K3::model202::policyNone,q995
