scenario,threshold,comparison,held_out_clean_fpr,stable_pre_fpr,roc_auc,pr_auc,post_detection,persistent_detection,first_sustained_3_delay_s,q99,q995,count,alarms,exact_binomial_ci_low,exact_binomial_ci_high,held_out_clean_exact_binomial_ci_low,held_out_clean_exact_binomial_ci_high,held_out_clean_count,stable_pre_exact_binomial_ci_low,stable_pre_exact_binomial_ci_high,stable_pre_count,post_exact_binomial_ci_low,post_exact_binomial_ci_high,post_count,persistent_exact_binomial_ci_low,persistent_exact_binomial_ci_high,persistent_count,model,operating_point,calibration_q99,calibration_q995,calibration_count,delta_roc_auc_vs_primary,delta_post_detection_vs_primary,matched_target_fpr,common_timestamp_count
DS8,0.634626592894918,strict_greater,,1.0,0.43530092592592595,0.884900257858241,1.0,1.0,0.0,1.4854994741997605,1.4869457260763965,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,ensemble::complex IG K5::policyNone,q99,0.634626592894918,0.639766953377429,125,-0.021817129629629617,0.0,,
DS8,0.639766953377429,strict_greater,,1.0,0.43530092592592595,0.884900257858241,1.0,1.0,0.0,1.4854994741997605,1.4869457260763965,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,ensemble::complex IG K5::policyNone,q995,0.634626592894918,0.639766953377429,125,-0.021817129629629617,0.0,,
cleanStatic,0.6401321875641997,strict_greater,0.009345794392523364,,,,,,,0.6340357356827228,0.6419843749454966,107,1,0.0002365870367625985,0.05097254256944198,0.0002365870367625985,0.05097254256944198,107,,,0,,,0,,,0,ensemble::complex IG K7::policyNone,q99,0.6401321875641997,0.64445963452102,125,,,,
cleanStatic,0.64445963452102,strict_greater,0.0,,,,,,,0.6340357356827228,0.6419843749454966,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,ensemble::complex IG K7::policyNone,q995,0.6401321875641997,0.64445963452102,125,,,,
DS1,0.6401321875641997,strict_greater,,0.26,0.976804979253112,0.9969785109086597,0.9654218533886584,1.0,0.0,0.7138856823991198,0.7138856823991198,723,698,0.9493772373202196,0.9775002555767004,,,0,0.17739443786765247,0.3573120631001036,100,0.9493772373202196,0.9775002555767004,723,0.9942794430126666,1.0,643,ensemble::complex IG K7::policyNone,q99,0.6401321875641997,0.64445963452102,125,0.0,0.0013831258644536604,,
DS1,0.64445963452102,strict_greater,,0.2,0.976804979253112,0.9969785109086597,0.9612724757952974,1.0,0.0,0.7138856823991198,0.7138856823991198,723,695,0.9445122486550811,0.9741143249979777,,,0,0.12665555210195584,0.2918426890886281,100,0.9445122486550811,0.9741143249979777,723,0.9942794430126666,1.0,643,ensemble::complex IG K7::policyNone,q995,0.6401321875641997,0.64445963452102,125,0.0,0.0,,
DS2,0.6401321875641997,strict_greater,,0.27,0.7072128851540617,0.9472677311496718,0.5798319327731093,0.5331230283911672,0.0,0.679501080390256,0.679501080390256,714,414,0.5426593599805087,0.6163421945855819,,,0,0.18606642229074058,0.3680162729089749,100,0.5426593599805087,0.6163421945855819,714,0.4934224013171053,0.5725138831124479,634,ensemble::complex IG K7::policyNone,q99,0.6401321875641997,0.64445963452102,125,0.0,0.009803921568627527,,
DS2,0.64445963452102,strict_greater,,0.21,0.7072128851540617,0.9472677311496718,0.5126050420168067,0.4637223974763407,0.0,0.679501080390256,0.679501080390256,714,366,0.475254136725083,0.5498514038610609,,,0,0.1349436957053291,0.30291537935054064,100,0.475254136725083,0.5498514038610609,714,0.42436331099717245,0.5034207622556688,634,ensemble::complex IG K7::policyNone,q995,0.6401321875641997,0.64445963452102,125,0.0,0.0,,
DS3,0.6401321875641997,strict_greater,,0.3,0.3980586592178771,0.8918680504154475,0.3547486033519553,0.29245283018867924,0.0,0.6698024077717024,0.6698024077717024,716,254,0.3196664234095109,0.3910333621821986,,,0,0.21240642048953662,0.3998146761798041,100,0.3196664234095109,0.3910333621821986,716,0.25734685599228607,0.3294984278601229,636,ensemble::complex IG K7::policyNone,q99,0.6401321875641997,0.64445963452102,125,0.0,0.002793296089385444,,
DS3,0.64445963452102,strict_greater,,0.22,0.3980586592178771,0.8918680504154475,0.3505586592178771,0.2908805031446541,0.0,0.6698024077717024,0.6698024077717024,716,251,0.31558817310415294,0.3867664981699156,,,0,0.14330357674981445,0.3139196537863178,100,0.31558817310415294,0.3867664981699156,716,0.2558376961956522,0.32787771408128236,636,ensemble::complex IG K7::policyNone,q995,0.6401321875641997,0.64445963452102,125,0.0,0.0,,
DS7,0.6401321875641997,strict_greater,,1.0,0.19532710280373833,0.625343870064223,1.0,1.0,0.0,1.4892191738426401,1.4896083176854578,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,ensemble::complex IG K7::policyNone,q99,0.6401321875641997,0.64445963452102,125,0.0,0.0,,
DS7,0.64445963452102,strict_greater,,1.0,0.19532710280373833,0.625343870064223,1.0,1.0,0.0,1.4892191738426401,1.4896083176854578,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,ensemble::complex IG K7::policyNone,q995,0.6401321875641997,0.64445963452102,125,0.0,0.0,,
DS8,0.6401321875641997,strict_greater,,1.0,0.45711805555555557,0.8920959942953661,1.0,1.0,0.0,1.4873372548431754,1.4878701958185745,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,ensemble::complex IG K7::policyNone,q99,0.6401321875641997,0.64445963452102,125,0.0,0.0,,
DS8,0.64445963452102,strict_greater,,1.0,0.45711805555555557,0.8920959942953661,1.0,1.0,0.0,1.4873372548431754,1.4878701958185745,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,ensemble::complex IG K7::policyNone,q995,0.6401321875641997,0.64445963452102,125,0.0,0.0,,
cleanStatic,0.5005394214790557,strict_greater,0.0,,,,,,,0.489313835481852,0.49051176066825725,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,ensemble::complex K3::policyNone,q99,0.5005394214790557,0.5025274339028594,125,,,,
cleanStatic,0.5025274339028594,strict_greater,0.0,,,,,,,0.489313835481852,0.49051176066825725,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,ensemble::complex K3::policyNone,q995,0.5005394214790557,0.5025274339028594,125,,,,
DS1,0.5005394214790557,strict_greater,,0.43,0.9652697095435685,0.9955014682858858,0.9557399723374828,1.0,0.0,0.5374155014367471,0.5374155014367471,723,691,0.9380899197732541,0.969532335619718,,,0,0.3313910166313832,0.5328662616751536,100,0.9380899197732541,0.969532335619718,723,0.9942794430126666,1.0,643,ensemble::complex K3::policyNone,q99,0.5005394214790557,0.5025274339028594,125,-0.01153526970954355,-0.008298755186721962,,
DS1,0.5025274339028594,strict_greater,,0.35,0.9652697095435685,0.9955014682858858,0.9543568464730291,1.0,0.0,0.5374155014367471,0.5374155014367471,723,690,0.9364944449624127,0.9683762888328766,,,0,0.25729377853145113,0.4518493618239694,100,0.9364944449624127,0.9683762888328766,723,0.9942794430126666,1.0,643,ensemble::complex K3::policyNone,q995,0.5005394214790557,0.5025274339028594,125,-0.01153526970954355,-0.006915629322268302,,
DS2,0.5005394214790557,strict_greater,,0.36,0.9922549019607844,0.9989307573894297,0.9957983193277311,1.0,0.0,0.531544549392201,0.531544549392201,714,711,0.9877704104037153,0.9991326728517119,,,0,0.2664084227332345,0.46212189332742326,100,0.9877704104037153,0.9991326728517119,714,0.9941984723826998,1.0,634,ensemble::complex K3::policyNone,q99,0.5005394214790557,0.5025274339028594,125,0.2850420168067227,0.42577030812324934,,
DS2,0.5025274339028594,strict_greater,,0.27,0.9922549019607844,0.9989307573894297,0.9943977591036415,0.998422712933754,0.0,0.531544549392201,0.531544549392201,714,710,0.9857186296545709,0.9984715313939734,,,0,0.18606642229074058,0.3680162729089749,100,0.9857186296545709,0.9984715313939734,714,0.9912435380765486,0.9999600673462503,634,ensemble::complex K3::policyNone,q995,0.5005394214790557,0.5025274339028594,125,0.2850420168067227,0.4817927170868348,,
DS3,0.5005394214790557,strict_greater,,0.44,0.8813128491620111,0.9752602578865551,0.9818435754189944,0.9952830188679245,0.0,0.6026747275730092,0.6026747275730092,716,703,0.9691520769801943,0.9902979404477882,,,0,0.34083602372345834,0.5428125029366824,100,0.9691520769801943,0.9902979404477882,716,0.9862773574810514,0.9990261867265023,636,ensemble::complex K3::policyNone,q99,0.5005394214790557,0.5025274339028594,125,0.48325418994413405,0.6298882681564245,,
DS3,0.5025274339028594,strict_greater,,0.41,0.8813128491620111,0.9752602578865551,0.979050279329609,0.9937106918238994,0.0,0.6026747275730092,0.6026747275730092,716,701,0.965681734484478,0.9882283342016104,,,0,0.31261997656757085,0.5128557962332292,100,0.965681734484478,0.9882283342016104,716,0.9839757425207416,0.9982837951949638,636,ensemble::complex K3::policyNone,q995,0.5005394214790557,0.5025274339028594,125,0.48325418994413405,0.6284916201117319,,
DS7,0.5005394214790557,strict_greater,,1.0,0.14833852544132917,0.6080923828089241,1.0,1.0,0.0,1.4819930810538182,1.482087135719582,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,ensemble::complex K3::policyNone,q99,0.5005394214790557,0.5025274339028594,125,-0.04698857736240916,0.0,,
DS7,0.5025274339028594,strict_greater,,1.0,0.14833852544132917,0.6080923828089241,1.0,1.0,0.0,1.4819930810538182,1.482087135719582,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,ensemble::complex K3::policyNone,q995,0.5005394214790557,0.5025274339028594,125,-0.04698857736240916,0.0,,
DS8,0.5005394214790557,strict_greater,,1.0,0.4072222222222222,0.8789523085109253,1.0,1.0,0.0,1.481948418044185,1.4819916391207475,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,ensemble::complex K3::policyNone,q99,0.5005394214790557,0.5025274339028594,125,-0.04989583333333336,0.0,,
DS8,0.5025274339028594,strict_greater,,1.0,0.4072222222222222,0.8789523085109253,1.0,1.0,0.0,1.481948418044185,1.4819916391207475,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,ensemble::complex K3::policyNone,q995,0.5005394214790557,0.5025274339028594,125,-0.04989583333333336,0.0,,
cleanStatic,0.7109074251622706,strict_greater,0.0,,,,,,,0.700554126019482,0.7098622262515016,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,ensemble::complex all9 phase-destroyed::policyNone,q99,0.7109074251622706,0.7135650969024346,125,,,,
cleanStatic,0.7135650969024346,strict_greater,0.0,,,,,,,0.700554126019482,0.7098622262515016,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,ensemble::complex all9 phase-destroyed::policyNone,q995,0.7109074251622706,0.7135650969024346,125,,,,
DS1,0.7109074251622706,strict_greater,,0.02,0.9665283540802213,0.9956170781722838,0.9294605809128631,1.0,26.5,0.7455508117209401,0.7455508117209401,723,672,0.9082937011205328,0.9470311347753083,,,0,0.0024313368239425423,0.07038393247107011,100,0.9082937011205328,0.9470311347753083,723,0.9942794430126666,1.0,643,ensemble::complex all9 phase-destroyed::policyNone,q99,0.7109074251622706,0.7135650969024346,125,-0.010276625172890741,-0.03457814661134162,,
DS1,0.7135650969024346,strict_greater,,0.02,0.9665283540802213,0.9956170781722838,0.9294605809128631,1.0,26.5,0.7455508117209401,0.7455508117209401,723,672,0.9082937011205328,0.9470311347753083,,,0,0.0024313368239425423,0.07038393247107011,100,0.9082937011205328,0.9470311347753083,723,0.9942794430126666,1.0,643,ensemble::complex all9 phase-destroyed::policyNone,q995,0.7109074251622706,0.7135650969024346,125,-0.010276625172890741,-0.0318118948824343,,
DS2,0.7109074251622706,strict_greater,,0.0,0.4422268907563025,0.8754966875371127,0.06302521008403361,0.02050473186119874,20.5,0.7076041784893506,0.7076041784893506,714,45,0.04633884035700613,0.08342679244447958,,,0,0.0,0.03621669264517641,100,0.04633884035700613,0.08342679244447958,714,0.010961984443970734,0.03480848899361695,634,ensemble::complex all9 phase-destroyed::policyNone,q99,0.7109074251622706,0.7135650969024346,125,-0.26498599439775916,-0.5070028011204482,,
DS2,0.7135650969024346,strict_greater,,0.0,0.4422268907563025,0.8754966875371127,0.056022408963585436,0.014195583596214511,20.5,0.7076041784893506,0.7076041784893506,714,40,0.04032120795245809,0.07550838439323049,,,0,0.0,0.03621669264517641,100,0.04032120795245809,0.07550838439323049,714,0.0065111258462938765,0.02677598970416342,634,ensemble::complex all9 phase-destroyed::policyNone,q995,0.7109074251622706,0.7135650969024346,125,-0.26498599439775916,-0.4565826330532212,,
DS3,0.7109074251622706,strict_greater,,0.22,0.25526536312849163,0.8373581047826967,0.15921787709497207,0.11320754716981132,21.0,0.7640920709856873,0.7640920709856873,716,114,0.13316854948892692,0.18811034932925064,,,0,0.14330357674981445,0.3139196537863178,100,0.13316854948892692,0.18811034932925064,716,0.08963910439067958,0.14043429873073784,636,ensemble::complex all9 phase-destroyed::policyNone,q99,0.7109074251622706,0.7135650969024346,125,-0.14279329608938546,-0.19273743016759778,,
DS3,0.7135650969024346,strict_greater,,0.17,0.25526536312849163,0.8373581047826967,0.15363128491620112,0.10849056603773585,21.0,0.7640920709856873,0.7640920709856873,716,110,0.12799133435451965,0.18216235679978687,,,0,0.10226491003552825,0.25817541063215865,100,0.12799133435451965,0.18216235679978687,716,0.08539773420442814,0.13528902966813136,636,ensemble::complex all9 phase-destroyed::policyNone,q995,0.7109074251622706,0.7135650969024346,125,-0.14279329608938546,-0.19692737430167598,,
DS7,0.7109074251622706,strict_greater,,1.0,0.16256490134994808,0.5671011413506665,1.0,1.0,0.0,1.493099600019723,1.4935614008012872,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,ensemble::complex all9 phase-destroyed::policyNone,q99,0.7109074251622706,0.7135650969024346,125,-0.032762201453790246,0.0,,
DS7,0.7135650969024346,strict_greater,,1.0,0.16256490134994808,0.5671011413506665,1.0,1.0,0.0,1.493099600019723,1.4935614008012872,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,ensemble::complex all9 phase-destroyed::policyNone,q995,0.7109074251622706,0.7135650969024346,125,-0.032762201453790246,0.0,,
DS8,0.7109074251622706,strict_greater,,1.0,0.38614583333333335,0.8699721684296388,1.0,1.0,0.0,1.4945995458053283,1.4947639430917992,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,ensemble::complex all9 phase-destroyed::policyNone,q99,0.7109074251622706,0.7135650969024346,125,-0.07097222222222221,0.0,,
DS8,0.7135650969024346,strict_greater,,1.0,0.38614583333333335,0.8699721684296388,1.0,1.0,0.0,1.4945995458053283,1.4947639430917992,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,ensemble::complex all9 phase-destroyed::policyNone,q995,0.7109074251622706,0.7135650969024346,125,-0.07097222222222221,0.0,,
cleanStatic,0.6596700750384935,strict_greater,0.0,,,,,,,0.6514537722610739,0.6566357988297662,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,ensemble::complex all9 temporal-shuffled::policyNone,q99,0.6596700750384935,0.660775051744327,125,,,,
cleanStatic,0.660775051744327,strict_greater,0.0,,,,,,,0.6514537722610739,0.6566357988297662,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,ensemble::complex all9 temporal-shuffled::policyNone,q995,0.6596700750384935,0.660775051744327,125,,,,
DS1,0.6596700750384935,strict_greater,,0.32,0.9727800829875519,0.9964758890217241,0.9640387275242047,1.0,0.0,0.724364538193439,0.724364538193439,723,697,0.947750501606865,0.9763769462936621,,,0,0.23021991676157702,0.4207668616316226,100,0.947750501606865,0.9763769462936621,723,0.9942794430126666,1.0,643,ensemble::complex all9 temporal-shuffled::policyNone,q99,0.6596700750384935,0.660775051744327,125,-0.0040248962655601295,0.0,,
DS1,0.660775051744327,strict_greater,,0.3,0.9727800829875519,0.9964758890217241,0.9640387275242047,1.0,0.0,0.724364538193439,0.724364538193439,723,697,0.947750501606865,0.9763769462936621,,,0,0.21240642048953662,0.3998146761798041,100,0.947750501606865,0.9763769462936621,723,0.9942794430126666,1.0,643,ensemble::complex all9 temporal-shuffled::policyNone,q995,0.6596700750384935,0.660775051744327,125,-0.0040248962655601295,0.0027662517289073207,,
DS2,0.6596700750384935,strict_greater,,0.31,0.6179271708683474,0.9283474169846444,0.49859943977591037,0.4479495268138801,0.0,0.7050384089715767,0.7050384089715767,714,356,0.4612951421804781,0.5359153532219495,,,0,0.22128879213067107,0.41031455416019924,100,0.4612951421804781,0.5359153532219495,714,0.4087726685593064,0.48761321070662694,634,ensemble::complex all9 temporal-shuffled::policyNone,q99,0.6596700750384935,0.660775051744327,125,-0.0892857142857143,-0.0714285714285714,,
DS2,0.660775051744327,strict_greater,,0.3,0.6179271708683474,0.9283474169846444,0.48739495798319327,0.4400630914826498,0.0,0.7050384089715767,0.7050384089715767,714,348,0.45014859613893904,0.5247458632749171,,,0,0.21240642048953662,0.3998146761798041,100,0.45014859613893904,0.5247458632749171,714,0.4009920372284161,0.47969475858443555,634,ensemble::complex all9 temporal-shuffled::policyNone,q995,0.6596700750384935,0.660775051744327,125,-0.0892857142857143,-0.02521008403361341,,
DS3,0.6596700750384935,strict_greater,,0.33,0.39494413407821227,0.8925955419688816,0.3770949720670391,0.3238993710691824,0.0,0.6955383517552077,0.6955383517552077,716,270,0.3414660070145799,0.41374117561914453,,,0,0.2391985346226018,0.43117275077756323,100,0.3414660070145799,0.41374117561914453,716,0.2876339921156201,0.3618092096958429,636,ensemble::complex all9 temporal-shuffled::policyNone,q99,0.6596700750384935,0.660775051744327,125,-0.0031145251396648144,0.025139664804469275,,
