scenario,model,model_seed,policy_seed,ordered_path,count,fraction
cleanStatic,complex IG K7,101,,3-5-2-8-0-1,5,0.0005653550429669833
cleanStatic,complex IG K7,101,,3-5-2-8-1-0,2,0.0002261420171867933
cleanStatic,complex IG K7,101,,3-5-6-0-1-2,87,0.00983717774762551
cleanStatic,complex IG K7,101,,3-5-6-0-2-1,20,0.002261420171867933
cleanStatic,complex IG K7,101,,3-5-6-1-0-2,38,0.004296698326549073
cleanStatic,complex IG K7,101,,3-5-6-1-2-0,2,0.0002261420171867933
cleanStatic,complex IG K7,101,,3-5-6-2-0-1,23,0.002600633197648123
cleanStatic,complex IG K7,101,,3-5-6-2-1-0,3,0.00033921302578018993
cleanStatic,complex IG K7,101,,3-5-6-8-1-0,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-7-0-1-2,77,0.008706467661691543
cleanStatic,complex IG K7,101,,3-5-7-0-2-1,18,0.0020352781546811396
cleanStatic,complex IG K7,101,,3-5-7-1-0-2,33,0.0037313432835820895
cleanStatic,complex IG K7,101,,3-5-7-1-2-0,5,0.0005653550429669833
cleanStatic,complex IG K7,101,,3-5-7-2-0-1,11,0.0012437810945273632
cleanStatic,complex IG K7,101,,3-5-7-2-1-0,3,0.00033921302578018993
cleanStatic,complex IG K7,101,,3-5-7-8-0-1,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-8-0-1-2,43,0.0048620533695160565
cleanStatic,complex IG K7,101,,3-5-8-0-1-6,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-8-0-2-1,17,0.001922207146087743
cleanStatic,complex IG K7,101,,3-5-8-1-0-2,47,0.005314337403889643
cleanStatic,complex IG K7,101,,3-5-8-1-2-0,5,0.0005653550429669833
cleanStatic,complex IG K7,101,,3-5-8-2-0-1,10,0.0011307100859339666
cleanStatic,complex IG K7,101,,3-5-8-2-1-0,5,0.0005653550429669833
cleanStatic,complex IG K7,101,,3-5-8-6-0-1,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-8-6-0-2,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-8-7-0-1,1,0.00011307100859339665
cleanStatic,complex all9,101,,0-1-2-3-5-6-7-8,8844,1.0
cleanStatic,complex all9 phase-destroyed,101,,0-1-2-3-5-6-7-8,8844,1.0
cleanStatic,complex all9 temporal-shuffled,101,,0-1-2-3-5-6-7-8,8844,1.0
cleanStatic,complex random K5 policy11,101,11,3-5-0-1,309,0.034938941655359566
cleanStatic,complex random K5 policy11,101,11,3-5-0-2,287,0.03245137946630484
cleanStatic,complex random K5 policy11,101,11,3-5-0-6,330,0.03731343283582089
cleanStatic,complex random K5 policy11,101,11,3-5-0-7,305,0.03448665762098598
cleanStatic,complex random K5 policy11,101,11,3-5-0-8,300,0.033921302578018994
cleanStatic,complex random K5 policy11,101,11,3-5-1-0,299,0.0338082315694256
cleanStatic,complex random K5 policy11,101,11,3-5-1-2,263,0.02973767526006332
cleanStatic,complex random K5 policy11,101,11,3-5-1-6,295,0.033355947535052013
cleanStatic,complex random K5 policy11,101,11,3-5-1-7,276,0.031207598371777476
cleanStatic,complex random K5 policy11,101,11,3-5-1-8,290,0.03279059249208503
cleanStatic,complex random K5 policy11,101,11,3-5-2-0,268,0.030303030303030304
cleanStatic,complex random K5 policy11,101,11,3-5-2-1,299,0.0338082315694256
cleanStatic,complex random K5 policy11,101,11,3-5-2-6,325,0.03674807779285391
cleanStatic,complex random K5 policy11,101,11,3-5-2-7,291,0.03290366350067843
cleanStatic,complex random K5 policy11,101,11,3-5-2-8,298,0.0336951605608322
cleanStatic,complex random K5 policy11,101,11,3-5-6-0,263,0.02973767526006332
cleanStatic,complex random K5 policy11,101,11,3-5-6-1,287,0.03245137946630484
cleanStatic,complex random K5 policy11,101,11,3-5-6-2,319,0.036069651741293535
cleanStatic,complex random K5 policy11,101,11,3-5-6-7,291,0.03290366350067843
cleanStatic,complex random K5 policy11,101,11,3-5-6-8,278,0.03143374038896427
cleanStatic,complex random K5 policy11,101,11,3-5-7-0,304,0.034373586612392586
cleanStatic,complex random K5 policy11,101,11,3-5-7-1,269,0.0304161013116237
cleanStatic,complex random K5 policy11,101,11,3-5-7-2,314,0.03550429669832655
cleanStatic,complex random K5 policy11,101,11,3-5-7-6,290,0.03279059249208503
cleanStatic,complex random K5 policy11,101,11,3-5-7-8,282,0.03188602442333786
cleanStatic,complex random K5 policy11,101,11,3-5-8-0,293,0.03312980551786522
cleanStatic,complex random K5 policy11,101,11,3-5-8-1,316,0.03573043871551334
cleanStatic,complex random K5 policy11,101,11,3-5-8-2,290,0.03279059249208503
cleanStatic,complex random K5 policy11,101,11,3-5-8-6,309,0.034938941655359566
cleanStatic,complex random K5 policy11,101,11,3-5-8-7,304,0.034373586612392586
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-2-6,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-2-7,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-2-8,22,0.0024875621890547263
