representation,seed,epoch,train_nll,validation_nll,gradients_finite
complex,101,1,3.8202168941497803,3.4645209312438965,True
complex,101,2,3.4897208213806152,2.771273136138916,True
complex,101,3,2.7910149097442627,2.8826441764831543,True
complex,101,4,2.8851308822631836,2.533923864364624,True
complex,101,5,2.534034252166748,2.092893362045288,True
complex,101,6,2.093953847885132,1.9270490407943726,True
complex,101,7,1.9307960271835327,1.9319204092025757,True
complex,101,8,1.9366198778152466,1.9485633373260498,True
complex,101,9,1.953889012336731,1.9241294860839844,True
complex,101,10,1.9284801483154297,1.848270058631897,True
complex,101,11,1.8516509532928467,1.7349867820739746,True
complex,101,12,1.739098310470581,1.6246992349624634,True
complex,101,13,1.6293081045150757,1.5631368160247803,True
complex,101,14,1.5688190460205078,1.5495907068252563,True
complex,101,15,1.5539569854736328,1.5343374013900757,True
complex,101,16,1.537705421447754,1.4809510707855225,True
complex,101,17,1.485719084739685,1.3927457332611084,True
complex,101,18,1.3960307836532593,1.3302497863769531,True
complex,101,19,1.330902099609375,1.3293224573135376,True
complex,101,20,1.3280768394470215,1.2884435653686523,True
complex,101,21,1.2867400646209717,1.1698800325393677,True
complex,101,22,1.1714829206466675,1.110046625137329,True
complex,101,23,1.1167963743209839,1.1220470666885376,True
complex,101,24,1.1314380168914795,1.0382860898971558,True
complex,101,25,1.0475049018859863,0.9759497046470642,True
complex,101,26,0.9823958873748779,0.9477217197418213,True
complex,101,27,0.9505470991134644,0.8343008160591125,True
complex,101,28,0.8385310769081116,0.8582372665405273,True
complex,101,29,0.8638613224029541,0.732399046421051,True
complex,101,30,0.7338099479675293,0.7422826290130615,True
complex,101,31,0.7465289831161499,0.7267362475395203,True
complex,101,32,0.7353401184082031,0.6040018200874329,True
complex,101,33,0.6088575124740601,0.6887413859367371,True
complex,101,34,0.6854798793792725,0.6499632596969604,True
complex,101,35,0.65069580078125,0.5030083656311035,True
complex,101,36,0.5137400031089783,0.44888943433761597,True
complex,101,37,0.45878180861473083,0.5324897766113281,True
complex,101,38,0.5422362089157104,0.5698943138122559,True
complex,101,39,0.5692516565322876,0.31657248735427856,True
complex,101,40,0.3275236487388611,0.4508693218231201,True
complex,101,41,0.4618614614009857,0.3231801390647888,True
complex,101,42,0.319075345993042,0.22851359844207764,True
complex,101,43,0.22882232069969177,0.2153392881155014,True
complex,101,44,0.23027659952640533,0.23877425491809845,True
complex,101,45,0.24720150232315063,0.18917134404182434,True
complex,101,46,0.20113728940486908,0.07932362705469131,True
complex,101,47,0.09267453104257584,0.029812246561050415,True
complex,101,48,0.03720796853303909,0.05553893744945526,True
complex,101,49,0.05119184032082558,0.01160165574401617,True
complex,101,50,0.021635064855217934,-0.04407832771539688,True
complex,202,1,3.443551540374756,4.991461277008057,True
complex,202,2,5.004016876220703,4.542865753173828,True
complex,202,3,4.552448749542236,3.886505603790283,True
complex,202,4,3.89583683013916,3.2007131576538086,True
complex,202,5,3.211143732070923,2.5064339637756348,True
complex,202,6,2.5156047344207764,1.8140288591384888,True
complex,202,7,1.823628306388855,1.2665231227874756,True
complex,202,8,1.2719552516937256,1.1006896495819092,True
complex,202,9,1.102769374847412,1.1603593826293945,True
complex,202,10,1.1611857414245605,1.222238302230835,True
complex,202,11,1.224396824836731,1.2330976724624634,True
complex,202,12,1.2348777055740356,1.2734965085983276,True
complex,202,13,1.2809919118881226,1.316766619682312,True
complex,202,14,1.3250677585601807,1.2796282768249512,True
complex,202,15,1.2834972143173218,1.3081612586975098,True
complex,202,16,1.307741641998291,1.2658716440200806,True
complex,303,1,4.671563148498535,7.478034019470215,True
complex,303,2,7.52586555480957,7.164647102355957,True
complex,303,3,7.204778671264648,6.508228778839111,True
complex,303,4,6.545013427734375,5.906215190887451,True
complex,303,5,5.945223808288574,5.478569507598877,True
complex,303,6,5.518302917480469,5.078136444091797,True
complex,303,7,5.1160125732421875,4.652163505554199,True
complex,303,8,4.687198162078857,4.205955982208252,True
complex,303,9,4.236257553100586,3.7808473110198975,True
complex,303,10,3.8045523166656494,3.4404397010803223,True
complex,303,11,3.4581708908081055,3.187814950942993,True
complex,303,12,3.201998233795166,2.9556589126586914,True
complex,303,13,2.966522216796875,2.707044839859009,True
complex,303,14,2.7169411182403564,2.459265947341919,True
complex,303,15,2.4677977561950684,2.2313320636749268,True
complex,303,16,2.2412562370300293,2.04345965385437,True
complex,303,17,2.0519936084747314,1.8909465074539185,True
complex,303,18,1.9003169536590576,1.7687647342681885,True
complex,303,19,1.777955412864685,1.664231538772583,True
complex,303,20,1.6740055084228516,1.5671793222427368,True
complex,303,21,1.577721357345581,1.4736069440841675,True
complex,303,22,1.4822192192077637,1.385794997215271,True
complex,303,23,1.3919742107391357,1.3093292713165283,True
complex,303,24,1.3119357824325562,1.241360068321228,True
complex,303,25,1.246113657951355,1.1850032806396484,True
complex,303,26,1.1857149600982666,1.1350268125534058,True
complex,303,27,1.1407827138900757,1.092161774635315,True
complex,303,28,1.099183440208435,1.0488656759262085,True
complex,303,29,1.0579020977020264,1.001753807067871,True
complex,303,30,1.0076326131820679,0.9576622843742371,True
complex,303,31,0.9635226130485535,0.9336338639259338,True
complex,303,32,0.9330546259880066,0.8947646021842957,True
complex,303,33,0.9003205895423889,0.8639246821403503,True
complex,303,34,0.8705483078956604,0.836881160736084,True
complex,303,35,0.8446084856987,0.8038828372955322,True
complex,303,36,0.8097127079963684,0.7860630750656128,True
complex,303,37,0.7856064438819885,0.7468213438987732,True
complex,303,38,0.7555012106895447,0.7247204780578613,True
complex,303,39,0.7373854517936707,0.7077682614326477,True
complex,303,40,0.716637909412384,0.6917611956596375,True
complex,303,41,0.699595034122467,0.6689079999923706,True
complex,303,42,0.6685180068016052,0.6343573927879333,True
complex,303,43,0.6450933814048767,0.6005356311798096,True
complex,303,44,0.6146715879440308,0.593599796295166,True
complex,303,45,0.590377151966095,0.5752623677253723,True
complex,303,46,0.5785103440284729,0.5487418174743652,True
complex,303,47,0.5546531081199646,0.5108869075775146,True
complex,303,48,0.5231732726097107,0.48681968450546265,True
complex,303,49,0.5008767247200012,0.4593442976474762,True
complex,303,50,0.48046979308128357,0.43970751762390137,True
magnitude,101,1,3.5784823894500732,3.4727885723114014,True
magnitude,101,2,3.4992194175720215,2.649308443069458,True
magnitude,101,3,2.6684653759002686,2.9215097427368164,True
magnitude,101,4,2.925886631011963,2.572628974914551,True
magnitude,101,5,2.574845314025879,2.0717499256134033,True
magnitude,101,6,2.0731639862060547,1.7754851579666138,True
magnitude,101,7,1.779825210571289,1.7770472764968872,True
magnitude,101,8,1.7837121486663818,1.8316868543624878,True
magnitude,101,9,1.8393412828445435,1.8428982496261597,True
magnitude,101,10,1.849616527557373,1.7979193925857544,True
magnitude,101,11,1.8040770292282104,1.7108925580978394,True
magnitude,101,12,1.717655062675476,1.6122044324874878,True
magnitude,101,13,1.619240164756775,1.5345457792282104,True
magnitude,101,14,1.5415878295898438,1.4898127317428589,True
magnitude,101,15,1.4958393573760986,1.4606324434280396,True
magnitude,101,16,1.464880108833313,1.4217092990875244,True
magnitude,101,17,1.4264479875564575,1.363080620765686,True
magnitude,101,18,1.366275668144226,1.2883832454681396,True
magnitude,101,19,1.2895058393478394,1.2332791090011597,True
magnitude,101,20,1.2322297096252441,1.2223303318023682,True
magnitude,101,21,1.219803810119629,1.1867965459823608,True
magnitude,101,22,1.1856461763381958,1.0829594135284424,True
magnitude,101,23,1.0828076601028442,0.9880806803703308,True
magnitude,101,24,0.990994930267334,0.9715078473091125,True
magnitude,101,25,0.9771079421043396,0.9471621513366699,True
magnitude,101,26,0.9561864137649536,0.8603575229644775,True
magnitude,101,27,0.8702642917633057,0.8104611039161682,True
magnitude,101,28,0.8189384341239929,0.7402869462966919,True
magnitude,101,29,0.7415146827697754,0.7545529007911682,True
magnitude,101,30,0.7472983598709106,0.6714725494384766,True
magnitude,101,31,0.6628244519233704,0.6398642659187317,True
magnitude,101,32,0.6477224826812744,0.5681548118591309,True
magnitude,101,33,0.5827652812004089,0.5352921485900879,True
magnitude,101,34,0.5475934147834778,0.5678580403327942,True
magnitude,101,35,0.5667667984962463,0.5051929950714111,True
magnitude,101,36,0.49776819348335266,0.35386696457862854,True
magnitude,101,37,0.3586954176425934,0.3470187485218048,True
magnitude,101,38,0.3612190783023834,0.3260951638221741,True
magnitude,101,39,0.3393428921699524,0.5310014486312866,True
magnitude,101,40,0.52543705701828,0.3188323974609375,True
magnitude,101,41,0.3248307704925537,0.1808878481388092,True
magnitude,101,42,0.19139733910560608,0.14459128677845,True
magnitude,101,43,0.1555854231119156,0.12106676399707794,True
magnitude,101,44,0.11955747753381729,0.1973884105682373,True
magnitude,101,45,0.19220057129859924,0.2846750020980835,True
magnitude,101,46,0.31139522790908813,0.04189750552177429,True
magnitude,101,47,0.05668685957789421,0.01902461238205433,True
magnitude,101,48,0.009608724154531956,0.21491006016731262,True
magnitude,101,49,0.2315189689397812,-0.0808139219880104,True
magnitude,101,50,-0.07031787186861038,-0.13126389682292938,True
magnitude,202,1,3.8520586490631104,5.37285852432251,True
magnitude,202,2,5.3856282234191895,4.978672504425049,True
magnitude,202,3,4.988955020904541,4.352514743804932,True
magnitude,202,4,4.362979888916016,3.678950309753418,True
magnitude,202,5,3.689818859100342,3.00887393951416,True
magnitude,202,6,3.018383026123047,2.3662607669830322,True
magnitude,202,7,2.375697612762451,1.7969245910644531,True
magnitude,202,8,1.8063167333602905,1.3910322189331055,True
magnitude,202,9,1.3978017568588257,1.2321258783340454,True
magnitude,202,10,1.2349035739898682,1.2418862581253052,True
magnitude,202,11,1.2428845167160034,1.2944908142089844,True
magnitude,202,12,1.2966011762619019,1.345234751701355,True
magnitude,202,13,1.3475573062896729,1.379786491394043,True
magnitude,202,14,1.3819726705551147,1.3953245878219604,True
magnitude,202,15,1.396688461303711,1.3899891376495361,True
magnitude,202,16,1.3923057317733765,1.3703469038009644,True
magnitude,202,17,1.3721413612365723,1.3391236066818237,True
magnitude,303,1,5.268408298492432,7.399685859680176,True
magnitude,303,2,7.444672584533691,7.027853012084961,True
magnitude,303,3,7.0655670166015625,6.268982410430908,True
magnitude,303,4,6.3036885261535645,5.436247825622559,True
magnitude,303,5,5.46954345703125,4.7446064949035645,True
magnitude,303,6,4.778232097625732,4.221063137054443,True
magnitude,303,7,4.255199909210205,3.7392845153808594,True
magnitude,303,8,3.7727601528167725,3.2726385593414307,True
magnitude,303,9,3.3002419471740723,2.8690528869628906,True
magnitude,303,10,2.8879973888397217,2.620607376098633,True
magnitude,303,11,2.6319167613983154,2.4611682891845703,True
magnitude,303,12,2.4686479568481445,2.257657051086426,True
magnitude,303,13,2.2635445594787598,2.0142717361450195,True
magnitude,303,14,2.022157669067383,1.827445387840271,True
magnitude,303,15,1.8392728567123413,1.7206312417984009,True
magnitude,303,16,1.7364548444747925,1.608647108078003,True
magnitude,303,17,1.6254658699035645,1.4915575981140137,True
magnitude,303,18,1.5022990703582764,1.4057093858718872,True
magnitude,303,19,1.4114800691604614,1.3593497276306152,True
magnitude,303,20,1.36348557472229,1.3051650524139404,True
magnitude,303,21,1.3057286739349365,1.2277849912643433,True
magnitude,303,22,1.2324113845825195,1.179365873336792,True
magnitude,303,23,1.1875665187835693,1.1374056339263916,True
magnitude,303,24,1.144002079963684,1.0889605283737183,True
magnitude,303,25,1.092158555984497,1.0670313835144043,True
magnitude,303,26,1.064510703086853,1.0068451166152954,True
magnitude,303,27,1.0106323957443237,0.9782628417015076,True
magnitude,303,28,0.9874868392944336,0.9363245368003845,True
magnitude,303,29,0.9426709413528442,0.9304997324943542,True
magnitude,303,30,0.9281625747680664,0.8647069334983826,True
magnitude,303,31,0.8764426708221436,0.8327365517616272,True
magnitude,303,32,0.8419011831283569,0.8210244178771973,True
magnitude,303,33,0.8219515085220337,0.7593385577201843,True
magnitude,303,34,0.77315354347229,0.7081707119941711,True
magnitude,303,35,0.7132322788238525,0.6746023893356323,True
magnitude,303,36,0.6765859723091125,0.6515456438064575,True
magnitude,303,37,0.663564145565033,0.6333895325660706,True
magnitude,303,38,0.6305274963378906,0.5429144501686096,True
magnitude,303,39,0.5624858736991882,0.49448198080062866,True
magnitude,303,40,0.5049828290939331,0.4904024600982666,True
magnitude,303,41,0.4911265969276428,0.42946213483810425,True
magnitude,303,42,0.44398555159568787,0.3402189314365387,True
magnitude,303,43,0.3493962585926056,0.32528257369995117,True
magnitude,303,44,0.3308410346508026,0.312541127204895,True
magnitude,303,45,0.32568255066871643,0.22619925439357758,True
magnitude,303,46,0.2292754352092743,0.20381154119968414,True
magnitude,303,47,0.20491772890090942,0.17841973900794983,True
magnitude,303,48,0.2056998312473297,0.07920956611633301,True
magnitude,303,49,0.1017361655831337,0.13595809042453766,True
magnitude,303,50,0.15096086263656616,0.0761367678642273,True
